=== CED_Schedule Configuration ===
Data directory: "data"
Data file: data_matrix_100.txt
Generations: 10000
Population size: 40
Random seed: 6
Pini (heuristic prob): 0.4
Solver: CCHIHH
Cnum/Enum/Dnum/Tnum/Mopt: 100/100/300/100/5
Migration: disabled
Stable mode: enabled
  resample_gate=15 reward_clip=0.2 eps0=0.2 eps_min=0.02 eps_k=0.01 lr0=0.05 lr_k=0.002
=================================
[Initial] Loading data from: "data\\data_matrix_100.txt"

=== Running CC-HIHH-UCB Solver ===
[CC-HIHH] Initializing solver...
  CE_Tnum=100, M_Jnum=100, M_OPTnum=5, ops=500
  Nvar=1200, popsize=40, nSubpop=8
  Block 0 (offload): start=0, len=200
  Block 1 (seq): start=200, len=500
  Block 2 (dev): start=700, len=500
[CC-HIHH] Initial evaluation...
[CC-HIHH] Initial gbest_fit = 55.8196
Gen 50: best_fit = 55.749
Gen 100: best_fit = 55.7043
Gen 150: best_fit = 55.6893
Gen 200: best_fit = 55.6843
Gen 250: best_fit = 55.6591
Gen 300: best_fit = 55.6369
Gen 350: best_fit = 55.6233
Gen 400: best_fit = 55.5984
Gen 450: best_fit = 55.5873
Gen 500: best_fit = 55.571
Gen 550: best_fit = 55.5589
Gen 600: best_fit = 55.5411
Gen 650: best_fit = 55.5294
Gen 700: best_fit = 55.518
Gen 750: best_fit = 55.4955
Gen 800: best_fit = 55.4875
Gen 850: best_fit = 55.4733
Gen 900: best_fit = 55.4613
Gen 950: best_fit = 55.453
Gen 1000: best_fit = 55.4481
Gen 1050: best_fit = 55.44
Gen 1100: best_fit = 55.4327
Gen 1150: best_fit = 55.4265
Gen 1200: best_fit = 55.408
Gen 1250: best_fit = 55.404
Gen 1300: best_fit = 55.3929
Gen 1350: best_fit = 55.3843
Gen 1400: best_fit = 55.38
Gen 1450: best_fit = 55.3726
Gen 1500: best_fit = 55.3686
Gen 1550: best_fit = 55.3615
Gen 1600: best_fit = 55.3593
Gen 1650: best_fit = 55.3556
Gen 1700: best_fit = 55.3476
Gen 1750: best_fit = 55.3436
Gen 1800: best_fit = 55.3421
Gen 1850: best_fit = 55.335
Gen 1900: best_fit = 55.3307
Gen 1950: best_fit = 55.327
Gen 2000: best_fit = 55.3227
Gen 2050: best_fit = 55.3156
Gen 2100: best_fit = 55.315
