Command: 'C:\Users\Hu\Desktop\CED_schedule_Final_Branch2_åˆ†å—+HIHH_CLEAN\build\Release\CED_Schedule.exe' --solver CCHIHH --stable --seed 10 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\CED_schedule_Final_Branch2_åˆ†å—+HIHH_CLEAN\data' --data_file data_matrix_T200_E100_D300.txt --cnum 100 --enum 100 --dnum 300 --tnum 200 --mopt 5
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final_Branch2_·Ö¿é+HIHH_CLEAN\\data"
Data file: data_matrix_T200_E100_D300.txt
Generations: 10000
Population size: 40
Random seed: 10
Pini (heuristic prob): 0.4
Solver: CCHIHH
Cnum/Enum/Dnum/Tnum/Mopt: 100/100/300/200/5
Migration: disabled
Stable mode: enabled
  resample_gate=15 reward_clip=0.2 eps0=0.2 eps_min=0.02 eps_k=0.01 lr0=0.05 lr_k=0.002
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final_Branch2_·Ö¿é+HIHH_CLEAN\\data\\data_matrix_T200_E100_D300.txt"

=== Running CC-HIHH-UCB Solver ===
[CC-HIHH] Initializing solver...
  CE_Tnum=200, M_Jnum=200, M_OPTnum=5, ops=1000
  Nvar=2400, popsize=40, nSubpop=8
  Block 0 (offload): start=0, len=400
  Block 1 (seq): start=400, len=1000
  Block 2 (dev): start=1400, len=1000
[CC-HIHH] Initial evaluation...
[CC-HIHH] Initial gbest_fit = 4771.99
Gen 50: best_fit = 1528.77
Gen 100: best_fit = 1394.2
Gen 150: best_fit = 1340.99
Gen 200: best_fit = 1272.79
Gen 250: best_fit = 1244.56
Gen 300: best_fit = 1210.53
Gen 350: best_fit = 1202.22
Gen 400: best_fit = 1189.1
Gen 450: best_fit = 1171.77
Gen 500: best_fit = 1149.56
Gen 550: best_fit = 1139.18
Gen 600: best_fit = 1131.46
Gen 650: best_fit = 1127.96
Gen 700: best_fit = 1123.2
Gen 750: best_fit = 1119.34
Gen 800: best_fit = 1113.21
Gen 850: best_fit = 1105.79
Gen 900: best_fit = 1103.12
Gen 950: best_fit = 1101.92
Gen 1000: best_fit = 1099.98
Gen 1050: best_fit = 1098.81
Gen 1100: best_fit = 1097.52
