gen,GA mean,GA var,DE mean,DE var,GDE mean,GDE var,CCHIHH_base mean,CCHIHH_base var,CCHIHH_stable mean,CCHIHH_stable var
50,1695.5040000000001,2977.177023999999,1669.214,1010.8527639999999,1580.542,5377.884315999996,1538.909,2088.3612089999983,1505.656,2214.672064
100,1688.387,2940.1901210000024,1657.218,1083.7218360000006,1514.193,6234.104320999994,1444.5459999999998,1415.4543840000003,1409.699,1972.7421090000012
150,1675.4080000000001,3051.067556000003,1656.348,1016.2742760000003,1458.5819999999999,5018.117855999995,1392.76,1804.7540799999974,1345.2549999999999,2392.9090450000012
200,1669.131,2210.6822889999994,1651.3580000000002,1080.1875159999995,1431.904,4224.069143999999,1363.039,1754.603268999997,1293.182,1785.1100559999966
250,1660.67,1801.462699999999,1648.81,973.1747000000001,1410.763,3711.736140999999,1338.391,1653.9317489999983,1260.05,2364.929179999999
300,1653.1779999999999,1609.5298359999965,1642.703,1113.2418209999996,1385.085,2961.4192250000015,1316.904,1742.7897839999991,1233.676,2156.2241640000016
350,1642.747,2270.027760999999,1638.556,1084.0216639999983,1370.518,2685.2697760000005,1299.359,2410.014989000002,1212.9569999999999,2000.6223610000009
400,1637.717,2676.2873809999996,1637.956,1044.5848639999983,1361.106,2774.500144000001,1286.115,2639.1636449999983,1194.697,1814.6676209999994
450,1627.795,2906.144865,1637.956,1044.5848639999983,1341.81,2528.685559999997,1276.98,2425.226940000004,1177.85,1800.1374399999993
500,1625.269,2959.7500689999974,1633.955,949.4370249999998,1325.4940000000001,2478.456164000005,1265.952,2304.0493960000013,1165.127,1792.5842210000003
550,1612.399,3729.0421690000016,1633.8029999999999,939.258801,1316.807,2481.442501,1258.723,2315.946361000001,1151.328,1302.996235999999
600,1601.117,4406.755081000001,1632.416,823.2348640000009,1308.078,2261.159395999998,1251.392,2534.5673359999982,1142.791,1179.652268999999
650,1600.318,4371.334556000002,1628.289,1350.809909000001,1294.321,2479.2502689999974,1240.1029999999998,1725.7631609999996,1132.5059999999999,1330.1804040000009
700,1595.48,3905.5346800000043,1628.289,1350.809909000001,1282.528,2174.782676000001,1233.669,1807.6137889999998,1124.7440000000001,1199.4456640000003
750,1590.01,4126.219279999998,1620.642,1527.627616000002,1274.076,2090.141543999999,1223.335,1731.0509650000015,1119.795,1202.8024650000002
800,1585.014,4467.931044000003,1617.897,1578.3379410000018,1264.73,2291.24212,1213.46,1926.3722199999975,1113.915,1028.8368250000017
850,1578.202,3893.114436000005,1617.897,1578.3379410000018,1255.529,1896.5320289999968,1207.469,2195.3220490000017,1109.325,923.4447449999994
900,1575.876,3660.084484,1617.897,1578.3379410000018,1250.664,1903.4674640000019,1202.208,2104.8784960000003,1103.6380000000001,1092.351175999997
950,1574.848,3694.5101960000015,1617.213,1514.0077410000024,1242.464,1922.0744039999995,1195.1119999999999,2264.290156,1098.008,872.6947160000012
1000,1573.2069999999999,3771.5461609999975,1617.213,1514.0077410000024,1238.301,1903.244349000001,1192.514,2269.3827439999977,1094.645,781.664744999998
1050,1571.24,3894.5387399999977,1616.835,1477.9571250000029,1234.362,1813.9357760000003,1186.9969999999998,2159.766461,1091.072,640.1387360000003
1100,1570.346,3919.0993439999993,1615.375,1374.4691050000013,1231.1100000000001,1842.0202600000018,1182.8200000000002,1947.2166400000006,1087.8139999999999,669.2866839999997
1150,1569.535,3911.7553249999983,1615.375,1374.4691050000013,1227.316,1866.6413439999983,1175.405,1874.9639449999981,1085.6860000000001,637.1790439999984
1200,1566.621,4034.2275690000015,1614.868,1377.3554560000011,1223.126,1867.5201239999988,1172.2189999999998,1851.5443089999983,1083.603,646.1813810000019
1250,1565.576,4028.503563999998,1614.838,1374.7702360000017,1219.48,1944.3111000000013,1166.5210000000002,1923.3850290000005,1081.359,677.4941289999994
1300,1564.173,4055.2169809999987,1614.838,1374.7702360000017,1217.033,2049.376200999999,1162.444,1996.681623999999,1077.91,699.1385999999984
1350,1563.102,4070.4997759999983,1614.838,1374.7702360000017,1215.269,2055.5786490000005,1158.618,2091.0551559999963,1074.3120000000001,706.9391759999974
