Command: 'C:\Users\Hu\Desktop\CED_schedule_Final_Branch2_åˆ†å—+HIHH_CLEAN\build\Release\CED_Schedule.exe' --solver CCHIHH --seed 2 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\CED_schedule_Final_Branch2_åˆ†å—+HIHH_CLEAN\data' --data_file data_matrix_T300_E150_D500.txt --cnum 150 --enum 150 --dnum 500 --tnum 300 --mopt 5
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final_Branch2_·Ö¿é+HIHH_CLEAN\\data"
Data file: data_matrix_T300_E150_D500.txt
Generations: 10000
Population size: 40
Random seed: 2
Pini (heuristic prob): 0.4
Solver: CCHIHH
Cnum/Enum/Dnum/Tnum/Mopt: 150/150/500/300/5
Migration: disabled
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final_Branch2_·Ö¿é+HIHH_CLEAN\\data\\data_matrix_T300_E150_D500.txt"

=== Running CC-HIHH-UCB Solver ===
[CC-HIHH] Initializing solver...
  CE_Tnum=300, M_Jnum=300, M_OPTnum=5, ops=1500
  Nvar=3600, popsize=40, nSubpop=8
  Block 0 (offload): start=0, len=600
  Block 1 (seq): start=600, len=1500
  Block 2 (dev): start=2100, len=1500
[CC-HIHH] Initial evaluation...
[CC-HIHH] Initial gbest_fit = 2035.16
Gen 50: best_fit = 1727.66
Gen 100: best_fit = 1660.46
Gen 150: best_fit = 1580.57
Gen 200: best_fit = 1541.53
Gen 250: best_fit = 1529.67
Gen 300: best_fit = 1521.01
Gen 350: best_fit = 1499.85
Gen 400: best_fit = 1475.37
Gen 450: best_fit = 1458.28
Gen 500: best_fit = 1450.21
Gen 550: best_fit = 1438.6
Gen 600: best_fit = 1428.37
Gen 650: best_fit = 1412.61
Gen 700: best_fit = 1403.38
Gen 750: best_fit = 1385.6
Gen 800: best_fit = 1382.58
Gen 850: best_fit = 1373.26
Gen 900: best_fit = 1370.31
Gen 950: best_fit = 1335.1
Gen 1000: best_fit = 1329.98
Gen 1050: best_fit = 1313.18
Gen 1100: best_fit = 1308.3
Gen 1150: best_fit = 1301.57
Gen 1200: best_fit = 1294.43
Gen 1250: best_fit = 1278.07
Gen 1300: best_fit = 1269.38
