Command: 'C:\Users\Hu\Desktop\CED_schedule_Final_Branch2_åˆ†å—+HIHH_CLEAN\build\Release\CED_Schedule.exe' --solver GA --seed 10 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\CED_schedule_Final_Branch2_åˆ†å—+HIHH_CLEAN\data' --data_file data_matrix_T500_E200_D800.txt --cnum 200 --enum 200 --dnum 800 --tnum 500 --mopt 5
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final_Branch2_·Ö¿é+HIHH_CLEAN\\data"
Data file: data_matrix_T500_E200_D800.txt
Generations: 10000
Population size: 40
Random seed: 10
Pini (heuristic prob): 0.4
Solver: GA
Cnum/Enum/Dnum/Tnum/Mopt: 200/200/800/500/5
Migration: disabled
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final_Branch2_·Ö¿é+HIHH_CLEAN\\data\\data_matrix_T500_E200_D800.txt"
Gen 50: best_fit = 2082.8
Gen 100: best_fit = 2082.59
Gen 150: best_fit = 2079.58
Gen 200: best_fit = 2079.58
Gen 250: best_fit = 2078.81
Gen 300: best_fit = 2074.48
Gen 350: best_fit = 2074.48
Gen 400: best_fit = 2074.19
Gen 450: best_fit = 2064.43
Gen 500: best_fit = 2063.48
Gen 550: best_fit = 2063.1
Gen 600: best_fit = 2063.06
Gen 650: best_fit = 2062.68
Gen 700: best_fit = 2062.67
Gen 750: best_fit = 2062.65
Gen 800: best_fit = 2059.38
Gen 850: best_fit = 2058.1
Gen 900: best_fit = 2058.1
Gen 950: best_fit = 2055.16
Gen 1000: best_fit = 2055.16
Gen 1050: best_fit = 2053.56
Gen 1100: best_fit = 2053.56
Gen 1150: best_fit = 2053.56
Gen 1200: best_fit = 2020.89
Gen 1250: best_fit = 2018.62
Gen 1300: best_fit = 2017.15
Gen 1350: best_fit = 2014.99
Gen 1400: best_fit = 2006.11
Gen 1450: best_fit = 2003.22
Gen 1500: best_fit = 2003.19
Gen 1550: best_fit = 2002.5
Gen 1600: best_fit = 2001.91
Gen 1650: best_fit = 2001.77
Gen 1700: best_fit = 2001.77
Gen 1750: best_fit = 2001.38
Gen 1800: best_fit = 1998.21
Gen 1850: best_fit = 1998.21
Gen 1900: best_fit = 1998.21
Gen 1950: best_fit = 1997.13
Gen 2000: best_fit = 1997.06
Gen 2050: best_fit = 1996.73
Gen 2100: best_fit = 1996.72
Gen 2150: best_fit = 1996.36
Gen 2200: best_fit = 1996.35
Gen 2250: best_fit = 1996.26
Gen 2300: best_fit = 1996.02
Gen 2350: best_fit = 1996.02
Gen 2400: best_fit = 1995.92
Gen 2450: best_fit = 1995.92
Gen 2500: best_fit = 1995.92
Gen 2550: best_fit = 1994.93
Gen 2600: best_fit = 1994.93
Gen 2650: best_fit = 1990.78
Gen 2700: best_fit = 1990.75
Gen 2750: best_fit = 1990.75
Gen 2800: best_fit = 1990.74
Gen 2850: best_fit = 1990.74
Gen 2900: best_fit = 1989.93
Gen 2950: best_fit = 1968.39
Gen 3000: best_fit = 1968.39
Gen 3050: best_fit = 1967.3
Gen 3100: best_fit = 1965.1
Gen 3150: best_fit = 1964.91
Gen 3200: best_fit = 1964.91
Gen 3250: best_fit = 1964.87
Gen 3300: best_fit = 1964.72
Gen 3350: best_fit = 1964.72
Gen 3400: best_fit = 1964.23
Gen 3450: best_fit = 1961.59
Gen 3500: best_fit = 1961.58
Gen 3550: best_fit = 1959.89
Gen 3600: best_fit = 1959.86
Gen 3650: best_fit = 1959.86
Gen 3700: best_fit = 1959.82
Gen 3750: best_fit = 1959.67
Gen 3800: best_fit = 1949.75
Gen 3850: best_fit = 1949.59
Gen 3900: best_fit = 1948.15
Gen 3950: best_fit = 1948.14
Gen 4000: best_fit = 1948.04
Gen 4050: best_fit = 1948.04
Gen 4100: best_fit = 1948.04
Gen 4150: best_fit = 1946.91
Gen 4200: best_fit = 1927.29
Gen 4250: best_fit = 1927.29
Gen 4300: best_fit = 1926.45
Gen 4350: best_fit = 1926.45
Gen 4400: best_fit = 1920.74
Gen 4450: best_fit = 1919.06
Gen 4500: best_fit = 1916.88
Gen 4550: best_fit = 1916.88
Gen 4600: best_fit = 1915.88
Gen 4650: best_fit = 1915.75
Gen 4700: best_fit = 1911.73
Gen 4750: best_fit = 1910.84
Gen 4800: best_fit = 1910.65
Gen 4850: best_fit = 1910.65
Gen 4900: best_fit = 1910.61
Gen 4950: best_fit = 1910.53
Gen 5000: best_fit = 1910.11
Gen 5050: best_fit = 1910.07
Gen 5100: best_fit = 1910.07
Gen 5150: best_fit = 1910.07
Gen 5200: best_fit = 1907.12
Gen 5250: best_fit = 1906.89
Gen 5300: best_fit = 1906.82
Gen 5350: best_fit = 1906.65
Gen 5400: best_fit = 1905.55
Gen 5450: best_fit = 1905.55
Gen 5500: best_fit = 1904.02
Gen 5550: best_fit = 1903.95
Gen 5600: best_fit = 1903.07
Gen 5650: best_fit = 1891.23
Gen 5700: best_fit = 1891.12
Gen 5750: best_fit = 1887.61
Gen 5800: best_fit = 1885.76
Gen 5850: best_fit = 1885.62
Gen 5900: best_fit = 1884.55
Gen 5950: best_fit = 1883.62
Gen 6000: best_fit = 1883.2
Gen 6050: best_fit = 1881
Gen 6100: best_fit = 1880.74
Gen 6150: best_fit = 1880.55
Gen 6200: best_fit = 1880.33
Gen 6250: best_fit = 1880.33
Gen 6300: best_fit = 1880.33
Gen 6350: best_fit = 1879.74
Gen 6400: best_fit = 1879.74
Gen 6450: best_fit = 1877.51
Gen 6500: best_fit = 1877.36
Gen 6550: best_fit = 1877.35
Gen 6600: best_fit = 1877.35
Gen 6650: best_fit = 1877.35
Gen 6700: best_fit = 1877.23
Gen 6750: best_fit = 1875.33
Gen 6800: best_fit = 1875.33
Gen 6850: best_fit = 1875.29
Gen 6900: best_fit = 1871.27
Gen 6950: best_fit = 1871.27
Gen 7000: best_fit = 1871.16
Gen 7050: best_fit = 1871.16
Gen 7100: best_fit = 1871.07
Gen 7150: best_fit = 1869.55
Gen 7200: best_fit = 1869.55
Gen 7250: best_fit = 1869.54
Gen 7300: best_fit = 1869.38
Gen 7350: best_fit = 1869.38
Gen 7400: best_fit = 1869.38
Gen 7450: best_fit = 1869.28
Gen 7500: best_fit = 1869.04
Gen 7550: best_fit = 1869.01
Gen 7600: best_fit = 1867.19
Gen 7650: best_fit = 1866.79
Gen 7700: best_fit = 1861.96
Gen 7750: best_fit = 1861.96
Gen 7800: best_fit = 1861.16
Gen 7850: best_fit = 1860.84
Gen 7900: best_fit = 1860.77
Gen 7950: best_fit = 1860.73
Gen 8000: best_fit = 1858.72
Gen 8050: best_fit = 1858.72
Gen 8100: best_fit = 1854.86
Gen 8150: best_fit = 1854.86
Gen 8200: best_fit = 1854.86
Gen 8250: best_fit = 1854.26
Gen 8300: best_fit = 1854.26
Gen 8350: best_fit = 1854.26
Gen 8400: best_fit = 1853.59
Gen 8450: best_fit = 1851.03
Gen 8500: best_fit = 1850.99
Gen 8550: best_fit = 1847.2
Gen 8600: best_fit = 1847.16
Gen 8650: best_fit = 1847.01
Gen 8700: best_fit = 1846.3
Gen 8750: best_fit = 1830.44
Gen 8800: best_fit = 1830.27
Gen 8850: best_fit = 1830.14
Gen 8900: best_fit = 1830.06
Gen 8950: best_fit = 1830.06
Gen 9000: best_fit = 1829.86
Gen 9050: best_fit = 1829.86
Gen 9100: best_fit = 1829.82
Gen 9150: best_fit = 1829.55
Gen 9200: best_fit = 1829.55
Gen 9250: best_fit = 1829.55
Gen 9300: best_fit = 1829.55
Gen 9350: best_fit = 1829.48
Gen 9400: best_fit = 1829.44
Gen 9450: best_fit = 1827.05
Gen 9500: best_fit = 1826.78
Gen 9550: best_fit = 1826.78
Gen 9600: best_fit = 1826.02
Gen 9650: best_fit = 1825.82
Gen 9700: best_fit = 1825.78
Gen 9750: best_fit = 1825.47
Gen 9800: best_fit = 1825.25
Gen 9850: best_fit = 1825.25
Gen 9900: best_fit = 1825.25
Gen 9950: best_fit = 1824.82
Gen 10000: best_fit = 1823.48

=== Final Results ===
Solver: GA
Generation = 10000
The best solution = 1823.48
Time = 312.302 s

exit code 0
