Command: 'C:\Users\Hu\Desktop\CED_schedule_Final_Branch2_åˆ†å—+HIHH_CLEAN\build\Release\CED_Schedule.exe' --solver GDE --seed 7 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\CED_schedule_Final_Branch2_åˆ†å—+HIHH_CLEAN\data' --data_file data_matrix_T500_E200_D800.txt --cnum 200 --enum 200 --dnum 800 --tnum 500 --mopt 5
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final_Branch2_·Ö¿é+HIHH_CLEAN\\data"
Data file: data_matrix_T500_E200_D800.txt
Generations: 10000
Population size: 40
Random seed: 7
Pini (heuristic prob): 0.4
Solver: GDE
Cnum/Enum/Dnum/Tnum/Mopt: 200/200/800/500/5
Migration: disabled
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final_Branch2_·Ö¿é+HIHH_CLEAN\\data\\data_matrix_T500_E200_D800.txt"
Gen 50: best_fit = 1901.36
Gen 100: best_fit = 1869.63
Gen 150: best_fit = 1833.15
Gen 200: best_fit = 1785.54
Gen 250: best_fit = 1761.43
Gen 300: best_fit = 1735.25
Gen 350: best_fit = 1710.67
Gen 400: best_fit = 1691.7
Gen 450: best_fit = 1660.27
Gen 500: best_fit = 1651.42
Gen 550: best_fit = 1639.25
Gen 600: best_fit = 1631.58
Gen 650: best_fit = 1623.88
Gen 700: best_fit = 1616.86
Gen 750: best_fit = 1608.63
Gen 800: best_fit = 1596.49
Gen 850: best_fit = 1591.13
Gen 900: best_fit = 1585.94
Gen 950: best_fit = 1580.1
Gen 1000: best_fit = 1574.12
Gen 1050: best_fit = 1567.96
Gen 1100: best_fit = 1563.14
Gen 1150: best_fit = 1559.24
Gen 1200: best_fit = 1552.81
Gen 1250: best_fit = 1548.61
Gen 1300: best_fit = 1544.75
Gen 1350: best_fit = 1541.69
Gen 1400: best_fit = 1539.19
Gen 1450: best_fit = 1535.35
Gen 1500: best_fit = 1533.29
Gen 1550: best_fit = 1527.34
Gen 1600: best_fit = 1501.11
Gen 1650: best_fit = 1491.34
Gen 1700: best_fit = 1487.17
Gen 1750: best_fit = 1485.4
Gen 1800: best_fit = 1477.24
Gen 1850: best_fit = 1474.23
Gen 1900: best_fit = 1468.68
Gen 1950: best_fit = 1463.43
Gen 2000: best_fit = 1461.4
Gen 2050: best_fit = 1459.61
Gen 2100: best_fit = 1458.06
Gen 2150: best_fit = 1455.93
Gen 2200: best_fit = 1452.92
Gen 2250: best_fit = 1449.15
Gen 2300: best_fit = 1448.14
Gen 2350: best_fit = 1446.09
Gen 2400: best_fit = 1443.1
Gen 2450: best_fit = 1441.27
Gen 2500: best_fit = 1436.87
Gen 2550: best_fit = 1434.28
Gen 2600: best_fit = 1433.36
Gen 2650: best_fit = 1432.58
Gen 2700: best_fit = 1431.07
Gen 2750: best_fit = 1430.49
Gen 2800: best_fit = 1422.27
Gen 2850: best_fit = 1421.54
Gen 2900: best_fit = 1421.02
Gen 2950: best_fit = 1419.96
Gen 3000: best_fit = 1419.09
Gen 3050: best_fit = 1417.83
Gen 3100: best_fit = 1417.27
Gen 3150: best_fit = 1416.33
Gen 3200: best_fit = 1415.25
Gen 3250: best_fit = 1413.86
Gen 3300: best_fit = 1412.87
Gen 3350: best_fit = 1395.82
