problem,seed,final_fitness,retrained_flag,same_policy_flag,notes
T100,1,0.3873770469,True,False,每个 seed 对应一次独立训练；单 seed 目录中的 statistics.txt 为 std=0，跨 seed 汇总后 std>0
T100,2,0.3874587416,True,False,每个 seed 对应一次独立训练；单 seed 目录中的 statistics.txt 为 std=0，跨 seed 汇总后 std>0
T100,3,0.3885411966,True,False,每个 seed 对应一次独立训练；单 seed 目录中的 statistics.txt 为 std=0，跨 seed 汇总后 std>0
T100,4,0.3895215333,True,False,每个 seed 对应一次独立训练；单 seed 目录中的 statistics.txt 为 std=0，跨 seed 汇总后 std>0
T100,5,0.3900117016,True,False,每个 seed 对应一次独立训练；单 seed 目录中的 statistics.txt 为 std=0，跨 seed 汇总后 std>0
T100,6,0.3919111038,True,False,每个 seed 对应一次独立训练；单 seed 目录中的 statistics.txt 为 std=0，跨 seed 汇总后 std>0
T100,7,0.3882552651,True,False,每个 seed 对应一次独立训练；单 seed 目录中的 statistics.txt 为 std=0，跨 seed 汇总后 std>0
T100,8,0.3886024677,True,False,每个 seed 对应一次独立训练；单 seed 目录中的 statistics.txt 为 std=0，跨 seed 汇总后 std>0
T100,9,0.3889905176,True,False,每个 seed 对应一次独立训练；单 seed 目录中的 statistics.txt 为 std=0，跨 seed 汇总后 std>0
T100,10,0.3887862808,True,False,每个 seed 对应一次独立训练；单 seed 目录中的 statistics.txt 为 std=0，跨 seed 汇总后 std>0
T200,1,0.0698432241,True,False,每个 seed 对应一次独立训练；单 seed 目录中的 statistics.txt 为 std=0，跨 seed 汇总后 std>0
T200,2,0.0694646888,True,False,每个 seed 对应一次独立训练；单 seed 目录中的 statistics.txt 为 std=0，跨 seed 汇总后 std>0
T200,3,0.0682176149,True,False,每个 seed 对应一次独立训练；单 seed 目录中的 statistics.txt 为 std=0，跨 seed 汇总后 std>0
T200,4,0.0718451304,True,False,每个 seed 对应一次独立训练；单 seed 目录中的 statistics.txt 为 std=0，跨 seed 汇总后 std>0
T200,5,0.0696056903,True,False,每个 seed 对应一次独立训练；单 seed 目录中的 statistics.txt 为 std=0，跨 seed 汇总后 std>0
T200,6,0.072833433,True,False,每个 seed 对应一次独立训练；单 seed 目录中的 statistics.txt 为 std=0，跨 seed 汇总后 std>0
T200,7,0.0670860105,True,False,每个 seed 对应一次独立训练；单 seed 目录中的 statistics.txt 为 std=0，跨 seed 汇总后 std>0
T200,8,0.0893340474,True,False,每个 seed 对应一次独立训练；单 seed 目录中的 statistics.txt 为 std=0，跨 seed 汇总后 std>0
T200,9,0.0692226247,True,False,每个 seed 对应一次独立训练；单 seed 目录中的 statistics.txt 为 std=0，跨 seed 汇总后 std>0
T200,10,0.070172081,True,False,每个 seed 对应一次独立训练；单 seed 目录中的 statistics.txt 为 std=0，跨 seed 汇总后 std>0
T500,1,0.0544336156,True,False,每个 seed 对应一次独立训练；单 seed 目录中的 statistics.txt 为 std=0，跨 seed 汇总后 std>0
T500,2,0.0558709341,True,False,每个 seed 对应一次独立训练；单 seed 目录中的 statistics.txt 为 std=0，跨 seed 汇总后 std>0
T500,3,0.0535251925,True,False,每个 seed 对应一次独立训练；单 seed 目录中的 statistics.txt 为 std=0，跨 seed 汇总后 std>0
T500,4,0.0564307399,True,False,每个 seed 对应一次独立训练；单 seed 目录中的 statistics.txt 为 std=0，跨 seed 汇总后 std>0
T500,5,0.0556132253,True,False,每个 seed 对应一次独立训练；单 seed 目录中的 statistics.txt 为 std=0，跨 seed 汇总后 std>0
T500,6,0.0561296131,True,False,每个 seed 对应一次独立训练；单 seed 目录中的 statistics.txt 为 std=0，跨 seed 汇总后 std>0
T500,7,0.0440594456,True,False,每个 seed 对应一次独立训练；单 seed 目录中的 statistics.txt 为 std=0，跨 seed 汇总后 std>0
T500,8,0.0442141299,True,False,每个 seed 对应一次独立训练；单 seed 目录中的 statistics.txt 为 std=0，跨 seed 汇总后 std>0
T500,9,0.1085919457,True,False,每个 seed 对应一次独立训练；单 seed 目录中的 statistics.txt 为 std=0，跨 seed 汇总后 std>0
T500,10,0.046271507,True,False,每个 seed 对应一次独立训练；单 seed 目录中的 statistics.txt 为 std=0，跨 seed 汇总后 std>0
