eval_count,time_seconds,generation,best_fitness,best_f1,best_f2
300,0.0000000000,0,0.7654932094,90.5761060316,4.0294748702
556,0.0117733000,1,0.7630630345,90.0392816895,4.0373682936
774,0.0217411000,2,0.7484305834,89.1125445602,3.8935743355
959,0.0301003000,3,0.7320769102,89.5819098188,3.6079676086
1117,0.0370607000,4,0.7320769102,89.5819098188,3.6079676086
1252,0.0430182000,5,0.7320769102,89.5819098188,3.6079676086
1367,0.0480852000,6,0.7300240170,90.0383299022,3.5391295432
1465,0.0523388000,7,0.7197789386,85.9538468855,3.7235467181
1548,0.0560218000,8,0.7197789386,85.9538468855,3.7235467181
1619,0.0592497000,9,0.7169068153,85.0212302329,3.7576182046
1679,0.0619808000,10,0.7097592382,85.0388663478,3.6483499235
1731,0.0644557000,11,0.7097592382,85.0388663478,3.6483499235
1775,0.0665139000,12,0.6975874710,85.0380217727,3.4648368431
1812,0.0683687000,13,0.6975874710,85.0380217727,3.4648368431
1844,0.0698460000,14,0.6936728098,85.0387319847,3.4057342300
1871,0.0710944000,15,0.6936728098,85.0387319847,3.4057342300
1894,0.0721202000,16,0.6923852310,85.0212302329,3.3877663999
1914,0.0730175000,17,0.6923852310,85.0212302329,3.3877663999
1931,0.0737953000,18,0.6923852310,85.0212302329,3.3877663999
1945,0.0745562000,19,0.6923852310,85.0212302329,3.3877663999
1957,0.0752359000,20,0.6838523183,85.0223222343,3.2589763835
1967,0.0757566000,21,0.6838523183,85.0223222343,3.2589763835
1976,0.0762335000,22,0.6739557488,85.0724236158,3.1055518138
1984,0.0767039000,23,0.6739557488,85.0724236158,3.1055518138
1990,0.0772872000,24,0.6739557488,85.0724236158,3.1055518138
1995,0.0777647000,25,0.6739557488,85.0724236158,3.1055518138
2000,0.0780912000,26,0.6712787027,85.0380852940,3.0680241986
