Command: 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\build_ablation\Release\CED_Schedule.exe' --solver CCHIHH --stable --resample_gate 15 --seed 1 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\data' --data_file data_matrix_T200_E100_D300.txt --cnum 100 --enum 100 --dnum 300 --tnum 200 --mopt 5
Command: 'C:\Users\Hu\Desktop\论文\CED_schedule_Final\build_ablation\Release\CED_Schedule.exe' '--solver' 'CCHIHH' '--stable' '--resample_gate' '15' '--seed' '1' '--generations' '10000' '--log_every' '50' '--data_dir' 'C:\Users\Hu\Desktop\论文\CED_schedule_Final\data' '--data_file' 'data_matrix_T200_E100_D300.txt' '--cnum' '100' '--enum' '100' '--dnum' '300' '--tnum' '200' '--mopt' '5'
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data"
Data file: data_matrix_T200_E100_D300.txt
Generations: 10000
Population size: 40
Random seed: 1
Pini (heuristic prob): 0.4
Objective alpha: 0.5
Solver: CCHIHH
Cnum/Enum/Dnum/Tnum/Mopt: 100/100/300/200/5
Migration: disabled
Stable mode: enabled
  resample_gate=15 reward_clip=0.2 eps0=0.2 eps_min=0.02 eps_k=0.01 lr0=0.05 lr_k=0.002
CCHIHH gate: enabled
CCHIHH blocks: enabled
CCHIHH migration: enabled
CCHIHH bandit: enabled
CCHIHH fixed ops: disabled
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data\\data_matrix_T200_E100_D300.txt"
[Normalization] f1_ref (makespan) = 22665.1
[Normalization] f2_ref (energy) = 1874.7
[Normalization] alpha = 0.5

=== Running CC-HIHH-UCB Solver ===
[CC-HIHH] Initializing solver...
  CE_Tnum=200, M_Jnum=200, M_OPTnum=5, ops=1000
  Nvar=2400, popsize=40, nSubpop=8
  Block 0 (offload): start=0, len=400
  Block 1 (seq): start=400, len=1000
  Block 2 (dev): start=1400, len=1000
[CC-HIHH] Initial evaluation...
[CC-HIHH] Initial gbest_fit = 0.111917
Gen 50: best_fit = 0.0743289
Gen 100: best_fit = 0.0680628
Gen 150: best_fit = 0.0624203
Gen 200: best_fit = 0.0598079
Gen 250: best_fit = 0.0559973
Gen 300: best_fit = 0.0544569
Gen 350: best_fit = 0.052662
Gen 400: best_fit = 0.0515408
Gen 450: best_fit = 0.0506603
Gen 500: best_fit = 0.0495924
Gen 550: best_fit = 0.048467
Gen 600: best_fit = 0.0477625
Gen 650: best_fit = 0.047308
Gen 700: best_fit = 0.0469337
Gen 750: best_fit = 0.0464817
Gen 800: best_fit = 0.0460301
Gen 850: best_fit = 0.0456444
Gen 900: best_fit = 0.0452182
Gen 950: best_fit = 0.044911
Gen 1000: best_fit = 0.0444398
Gen 1050: best_fit = 0.0440513
Gen 1100: best_fit = 0.0436004
Gen 1150: best_fit = 0.0431423
Gen 1200: best_fit = 0.042929
Gen 1250: best_fit = 0.0426015
Gen 1300: best_fit = 0.0424403
Gen 1350: best_fit = 0.0423236
Gen 1400: best_fit = 0.042274
Gen 1450: best_fit = 0.0420197
Gen 1500: best_fit = 0.0419476
