Command: 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\build_ablation\Release\CED_Schedule.exe' --solver CCHIHH --stable --resample_gate 15 --cchihh_fixed_ops --seed 4 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\data' --data_file data_matrix_T200_E100_D300.txt --cnum 100 --enum 100 --dnum 300 --tnum 200 --mopt 5
Command: 'C:\Users\Hu\Desktop\论文\CED_schedule_Final\build_ablation\Release\CED_Schedule.exe' '--solver' 'CCHIHH' '--stable' '--resample_gate' '15' '--cchihh_fixed_ops' '--seed' '4' '--generations' '10000' '--log_every' '50' '--data_dir' 'C:\Users\Hu\Desktop\论文\CED_schedule_Final\data' '--data_file' 'data_matrix_T200_E100_D300.txt' '--cnum' '100' '--enum' '100' '--dnum' '300' '--tnum' '200' '--mopt' '5'
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data"
Data file: data_matrix_T200_E100_D300.txt
Generations: 10000
Population size: 40
Random seed: 4
Pini (heuristic prob): 0.4
Objective alpha: 0.5
Solver: CCHIHH
Cnum/Enum/Dnum/Tnum/Mopt: 100/100/300/200/5
Migration: disabled
Stable mode: enabled
  resample_gate=15 reward_clip=0.2 eps0=0.2 eps_min=0.02 eps_k=0.01 lr0=0.05 lr_k=0.002
CCHIHH gate: enabled
CCHIHH blocks: enabled
CCHIHH migration: enabled
CCHIHH bandit: enabled
CCHIHH fixed ops: enabled
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data\\data_matrix_T200_E100_D300.txt"
[Normalization] f1_ref (makespan) = 22665.1
[Normalization] f2_ref (energy) = 1886.15
[Normalization] alpha = 0.5

=== Running CC-HIHH-UCB Solver ===
[CC-HIHH] Initializing solver...
  CE_Tnum=200, M_Jnum=200, M_OPTnum=5, ops=1000
  Nvar=2400, popsize=40, nSubpop=8
  Block 0 (offload): start=0, len=400
  Block 1 (seq): start=400, len=1000
  Block 2 (dev): start=1400, len=1000
[CC-HIHH] Initial evaluation...
[CC-HIHH] Initial gbest_fit = 0.102453
Gen 50: best_fit = 0.0752854
Gen 100: best_fit = 0.0694068
Gen 150: best_fit = 0.0653535
Gen 200: best_fit = 0.0625483
Gen 250: best_fit = 0.0606627
Gen 300: best_fit = 0.0588959
Gen 350: best_fit = 0.0574022
Gen 400: best_fit = 0.0565529
Gen 450: best_fit = 0.0556036
Gen 500: best_fit = 0.0548407
Gen 550: best_fit = 0.0541608
Gen 600: best_fit = 0.0536412
Gen 650: best_fit = 0.0530042
Gen 700: best_fit = 0.0527217
Gen 750: best_fit = 0.052448
Gen 800: best_fit = 0.0521815
Gen 850: best_fit = 0.0520261
Gen 900: best_fit = 0.0519361
Gen 950: best_fit = 0.0518824
Gen 1000: best_fit = 0.0517831
Gen 1050: best_fit = 0.0515302
Gen 1100: best_fit = 0.0515012
Gen 1150: best_fit = 0.051423
Gen 1200: best_fit = 0.0514031
Gen 1250: best_fit = 0.0513809
Gen 1300: best_fit = 0.0513569
Gen 1350: best_fit = 0.0512842
Gen 1400: best_fit = 0.0512842
Gen 1450: best_fit = 0.0512368
Gen 1500: best_fit = 0.0511108
Gen 1550: best_fit = 0.0509774
Gen 1600: best_fit = 0.0509197
Gen 1650: best_fit = 0.0509197
Gen 1700: best_fit = 0.0508327
Gen 1750: best_fit = 0.0508201
Gen 1800: best_fit = 0.0507017
Gen 1850: best_fit = 0.0505982
Gen 1900: best_fit = 0.0505829
Gen 1950: best_fit = 0.0501229
Gen 2000: best_fit = 0.0501199
Gen 2050: best_fit = 0.0501199
Gen 2100: best_fit = 0.0500753
Gen 2150: best_fit = 0.0499573
