gen,bandit_adaptive mean,bandit_adaptive var,fixed_ops mean,fixed_ops var
50,0.054951530000000005,1.4698069180999992e-06,0.056382430000000004,8.421954981000015e-07
100,0.05077222,1.2715007896000007e-06,0.05369235,1.9798986784999993e-06
150,0.0483989,1.9073182440000005e-06,0.051326079999999996,1.617886815599999e-06
200,0.04633273,2.261669518099999e-06,0.049495529999999996,1.5283386080999994e-06
250,0.04471117,2.5283377561000013e-06,0.04798784,1.6023168683999987e-06
300,0.04326386,2.443367184400003e-06,0.04661364,1.4124425704000006e-06
350,0.04205097,2.225077708100003e-06,0.045443689999999995,1.3855156589000008e-06
400,0.04103797,2.3414476880999972e-06,0.04439749,1.1260793589e-06
450,0.04016045,2.1315906804999977e-06,0.04348903,9.024021020999998e-07
500,0.03921657,1.542356182099999e-06,0.04261222,7.390216336000003e-07
550,0.03856933,1.195912202100001e-06,0.04190696,6.197376224000003e-07
600,0.03796998,9.875438316000008e-07,0.04126646,5.63309110399999e-07
650,0.037428420000000004,8.103502955999986e-07,0.04069608,5.204429355999994e-07
700,0.03693554,7.216993223999983e-07,0.04016528,4.559468975999985e-07
750,0.03653255,6.615466864999995e-07,0.039698739999999996,3.732534484000006e-07
800,0.03615397,6.362981500999995e-07,0.03931023,3.829242461000004e-07
850,0.03575997,5.098753020999996e-07,0.03896603,3.780282500999993e-07
900,0.03540414,4.392320924000003e-07,0.03865131,3.988252029000006e-07
950,0.03507674,4.1651214039999934e-07,0.038379170000000004,3.662775001000001e-07
1000,0.03478786,3.747360184000004e-07,0.03812587,3.780383801000007e-07
1050,0.03450981,3.1886206690000047e-07,0.03784581,3.446580689000006e-07
1100,0.03425203,2.850116500999993e-07,0.03761961,3.329206948999992e-07
1150,0.03399585,2.762482765000003e-07,0.03742956,3.4931655440000003e-07
1200,0.03377299,2.598189608999997e-07,0.03725446,3.444242443999986e-07
1250,0.033553,2.7736335799999994e-07,0.0370804,3.416550999999997e-07
1300,0.03327581,2.3312343690000105e-07,0.036945149999999996,3.3957460849999995e-07
1350,0.03306672,2.3696172959999952e-07,0.036814980000000004,3.2648618160000084e-07
1400,0.03285421,2.377137108999993e-07,0.03671675,3.0063083849999924e-07
1450,0.0326461,1.9632709000000028e-07,0.0366283,2.84360751999999e-07
1500,0.03247861,1.8744605089999942e-07,0.036525430000000005,2.5780460210000167e-07
1550,0.03230677,1.8705507209999886e-07,0.03641764,2.278783823999993e-07
