gen,op_id,w0,w1,w2,w3,w4,w5,w6,norm
50,0,-1.503274116374553e-07,-1.178895908586614e-07,-0.0001510093913135017,0.0004672100722554474,-0.002188140063773414,0.001136823495121815,0.00229350309508733,0.003403170605377369
50,1,-2.116589993233064e-08,-1.831946382956162e-08,0.001521803702704185,8.996947835608473e-05,0.00180128880600666,0.0008027018639799223,0.00122420089464531,0.002776980463185788
50,2,-1.1814715298235e-08,-9.307584485700738e-09,0.0005995543643651662,8.111285660738106e-05,0.001235568232407356,0.0005195822980665093,0.0009748413551324698,0.00176435682916959
50,3,-7.712779354767028e-08,-5.540024327594968e-08,-0.00058555590161107,-0.0001450331129633511,-0.0022672527773332,-0.002337419976941509,-0.004611722766055756,0.005677663648251152
100,0,-2.100155455861067e-07,-1.270746264465334e-07,-0.0001524292320236027,0.00046705306760446,-0.002374115065560439,0.0007405186556835695,0.001502633864962174,0.002946874964272516
100,1,-7.845890860028533e-08,-2.4826559620549e-08,0.001520711896831554,8.946099905074515e-05,0.001579478908259674,0.0003992069515930417,0.0004182265092998762,0.00226927327027991
100,2,-3.226783959727769e-08,-1.184474372487735e-08,0.0005989835874120247,8.07988057173095e-05,0.001161663041871414,0.0003989921938978315,0.0007330041719608232,0.001552823459356908
100,3,-1.932393525510773e-07,-7.192795945931218e-08,-0.0005875162647595262,-0.0001453762154669897,-0.002668971240167557,-0.00310009970493177,-0.006134160231249602,0.007397854895298997
150,0,-2.629663026190497e-07,-1.417778670372413e-07,-0.0001527595975162829,0.0004667918324527408,-0.002447087508306156,0.0005191217421735841,0.001060005898460083,0.002760899737405489
150,1,-1.146757347592356e-07,-2.728394430099972e-08,0.001520467353308568,8.92208806109177e-05,0.001477465455586533,0.0002512888818896825,0.0001225234985760946,0.002140290549020226
150,2,-7.644629091601466e-08,-1.652609012271472e-08,0.0005985591204062091,8.026700640488088e-05,0.001008967951091737,0.0002240551697493731,0.0003835786350073342,0.001257006536861114
150,3,-2.530997130092104e-07,-8.233966210276636e-08,-0.0005876342011566515,-0.0001460289010893222,-0.0027666406418153,-0.003336458166369708,-0.0066064763648003,0.007924545536540624
200,0,-3.000957868585584e-07,-1.450572936428255e-07,-0.000152813318647375,0.0004665558399967064,-0.002474257871662025,0.0004021384220854375,0.0008261677796630424,0.002684631613358223
200,1,-1.611929905799944e-07,-2.826729198212103e-08,0.00152033888539549,8.881349689694311e-05,0.001367942520334225,0.0001178873572642484,-0.000144157988856267,0.002055544668488395
200,2,-1.098880643459337e-07,-1.659547143055997e-08,0.0005984149655254556,7.988278899798517e-05,0.0009035556767546581,0.0001278454673891597,0.0001913071188240117,0.001110782373615098
