gen,offload_GA,offload_DE,offload_BITFLIP,offload_RESAMPLE,seq_GA,seq_SWAP,seq_VNS,seq_RESAMPLE,dev_DE,dev_GDE,dev_LEVY,dev_RESAMPLE,overall_GA,overall_DE,overall_GDE,overall_BITFLIP,overall_SWAP,overall_VNS,overall_LEVY,overall_RESAMPLE
50,0.405,0.4725,0.1225,0,0.6975,0.25,0.0525,0,0.685,0.235,0.08,0,0.3675,0.385833,0.0783333,0.0408333,0.0833333,0.0175,0.0266667,0
100,0.535,0.3775,0.0875,0,0.6625,0.2525,0.085,0,0.445,0.1875,0.3675,0,0.399167,0.274167,0.0625,0.0291667,0.0841667,0.0283333,0.1225,0
150,0.7675,0.1625,0.07,0,0.6725,0.2075,0.12,0,0.475,0.1725,0.3525,0,0.48,0.2125,0.0575,0.0233333,0.0691667,0.04,0.1175,0
200,0.395,0.5025,0.1025,0,0.6075,0.2925,0.1,0,0.5175,0.0925,0.39,0,0.334167,0.34,0.0308333,0.0341667,0.0975,0.0333333,0.13,0
250,0.6675,0.28,0.0525,0,0.6325,0.1725,0.195,0,0.3925,0.115,0.4925,0,0.433333,0.224167,0.0383333,0.0175,0.0575,0.065,0.164167,0
300,0.7425,0.2375,0.02,0,0.5325,0.17,0.2975,0,0.4525,0.1025,0.445,0,0.425,0.23,0.0341667,0.00666667,0.0566667,0.0991667,0.148333,0
350,0.5625,0.415,0.0225,0,0.525,0.11,0.365,0,0.3675,0.1325,0.5,0,0.3625,0.260833,0.0441667,0.0075,0.0366667,0.121667,0.166667,0
400,0.7875,0.185,0.0275,0,0.5775,0.08,0.3425,0,0.3725,0.0425,0.585,0,0.455,0.185833,0.0141667,0.00916667,0.0266667,0.114167,0.195,0
450,0.615,0.355,0.03,0,0.435,0.1275,0.4375,0,0.475,0.14,0.385,0,0.35,0.276667,0.0466667,0.01,0.0425,0.145833,0.128333,0
500,0.76,0.2175,0.0225,0,0.6625,0.02,0.3175,0,0.525,0.1425,0.3325,0,0.474167,0.2475,0.0475,0.0075,0.00666667,0.105833,0.110833,0
550,0.6375,0.335,0.0275,0,0.46,0.04,0.5,0,0.6,0.125,0.275,0,0.365833,0.311667,0.0416667,0.00916667,0.0133333,0.166667,0.0916667,0
600,0.53,0.4125,0.0575,0,0.5475,0.0425,0.41,0,0.5,0.16,0.34,0,0.359167,0.304167,0.0533333,0.0191667,0.0141667,0.136667,0.113333,0
