gen,bandit_adaptive mean,bandit_adaptive var,random_ops mean,random_ops var,fixed_ops mean,fixed_ops var
50,0.07382252,2.461394113600003e-06,0.07082374,2.7133854903999955e-06,0.07612661,3.1765877089000065e-06
100,0.06699785,4.6889317705000035e-06,0.06463988,4.317777529599998e-06,0.06838085,2.7347782645000014e-06
150,0.06294854,5.634959544400004e-06,0.061299919999999994,3.3543151076000064e-06,0.06391881,2.8910619168999984e-06
200,0.05992538000000001,4.439338629600005e-06,0.05890023,2.8644695480999994e-06,0.060622960000000004,1.5400836044000008e-06
250,0.05732275,5.1131178805000026e-06,0.05680425,2.783166622499998e-06,0.058469150000000004,1.3358642964999985e-06
300,0.05531967,3.668798712100005e-06,0.05517755,3.033232334499999e-06,0.056914070000000004,1.6603151500999998e-06
350,0.05371009,3.4082482289e-06,0.05365605,3.2007730224999973e-06,0.05558644,2.6272041723999977e-06
400,0.052292399999999996,3.377941024000002e-06,0.05256519,3.341606272900004e-06,0.054540540000000005,3.0076273064000003e-06
450,0.05126693,2.816177216100001e-06,0.051640620000000005,3.256811281600001e-06,0.053665700000000004,3.0637047520000003e-06
500,0.05047984,2.468153602399998e-06,0.05080633,2.5536111861000004e-06,0.05279427,2.9840918281000007e-06
550,0.04974381,2.3708023028999987e-06,0.04993354,2.0011093404000005e-06,0.052064049999999994,2.705056432499999e-06
600,0.04900595,2.0988347624999974e-06,0.04907048,2.060127523600001e-06,0.051374569999999994,2.6150231381e-06
650,0.04847997,2.0588595360999987e-06,0.04844023,2.0761205761000003e-06,0.050781160000000006,2.310418566399999e-06
700,0.048013230000000004,2.0241728721000006e-06,0.04788425,2.077240742500001e-06,0.050281299999999994,2.3114050260000007e-06
750,0.04746081,1.9788544908999993e-06,0.047422360000000004,2.184889858399997e-06,0.04986593,2.2849682401e-06
800,0.047036299999999996,1.9901399819999994e-06,0.0470077,2.063255914e-06,0.04940783,2.159141756099997e-06
850,0.04668785,1.9606505144999997e-06,0.046632190000000004,1.9031912709e-06,0.0489406,2.035480730000003e-06
900,0.04629883,1.7509124501000002e-06,0.046256530000000004,1.853608102099999e-06,0.04850747,2.0594370341000003e-06
950,0.045978019999999994,1.674562083600002e-06,0.04592083,1.8008946321000003e-06,0.0482031,1.918990624e-06
1000,0.04562256,1.6852504263999985e-06,0.045629949999999996,1.8048861984999993e-06,0.04791396,1.9760780984000007e-06
1050,0.04533001,1.6595880789000004e-06,0.04530784,1.9061368003999987e-06,0.047540139999999995,1.7566898584000002e-06
1100,0.04506657,1.7093785781000015e-06,0.04504821,1.9248444169000013e-06,0.0472542,1.5680993659999986e-06
1150,0.04481198,1.6993017255999956e-06,0.044833109999999995,1.9461952129000014e-06,0.046954590000000004,1.6204230789000016e-06
1200,0.04457671,1.713151800899998e-06,0.04461201,1.8535889609e-06,0.046660820000000006,1.530007435600001e-06
1250,0.04431561,1.8057977309000006e-06,0.044383,1.9408551259999987e-06,0.04634667,1.4920218860999982e-06
1300,0.04412695,1.8038821185000003e-06,0.04414063,2.054826812100002e-06,0.04606503,1.5292242821e-06
1350,0.04390264,1.755418716399999e-06,0.04395342,2.0289384315999987e-06,0.04581305,1.4556356024999992e-06
1400,0.04369948,1.7236282335999989e-06,0.04373908,1.8734515055999997e-06,0.04560211,1.4531158408999998e-06
1450,0.04352571,1.8043481129000003e-06,0.04359264,1.9309168263999997e-06,0.04540482,1.4830049015999989e-06
1500,0.043349280000000004,1.8040803455999991e-06,0.04335705,1.6330220684999973e-06,0.0452252,1.4970647019999976e-06
1550,0.043230950000000004,1.7372123084999983e-06,0.0431166,1.4464688499999997e-06,0.04505303,1.4864288640999983e-06
1600,0.04310656,1.752389814400002e-06,0.042914629999999995,1.4408548941000023e-06,0.04487294,1.4660859663999981e-06
1650,0.04296609,1.7300457388999992e-06,0.042783260000000004,1.4457513843999986e-06,0.04466147,1.5542373840999977e-06
1700,0.04282128,1.7449984995999996e-06,0.04263446,1.4104795103999998e-06,0.0444592,1.6248137380000027e-06
1750,0.04271727,1.740699980099999e-06,0.04247612,1.3352077716000026e-06,0.044282510000000004,1.6270170689000002e-06
1800,0.042643310000000004,1.7265984548999977e-06,0.04232238,1.3511916335999997e-06,0.04410274,1.7175040384000013e-06
1850,0.0425663,1.7389218440000009e-06,0.04217299,1.261546482900001e-06,0.04394377,1.735924564100001e-06
1900,0.042464550000000004,1.736743266500003e-06,0.04202802,1.1791000135999994e-06,0.043798920000000005,1.7386900755999997e-06
