gen,offload_GA,offload_DE,offload_BITFLIP,offload_RESAMPLE,seq_GA,seq_SWAP,seq_VNS,seq_RESAMPLE,dev_DE,dev_GDE,dev_LEVY,dev_RESAMPLE,overall_GA,overall_DE,overall_GDE,overall_BITFLIP,overall_SWAP,overall_VNS,overall_LEVY,overall_RESAMPLE
50,0.03,0.8525,0.1,0.0175,0.025,0.85,0.12,0.005,0.0475,0.7325,0.2025,0.0175,0.0183333,0.3,0.244167,0.0333333,0.283333,0.04,0.0675,0.0133333
100,0.13,0.6575,0.1875,0.025,0.0025,0.755,0.235,0.0075,0.0625,0.2525,0.6775,0.0075,0.0441667,0.24,0.0841667,0.0625,0.251667,0.0783333,0.225833,0.0133333
150,0.1525,0.71,0.1375,0,0.1525,0.3275,0.4925,0.0275,0.19,0.2025,0.6025,0.005,0.101667,0.3,0.0675,0.0458333,0.109167,0.164167,0.200833,0.0108333
200,0.295,0.5125,0.1925,0,0.2775,0.39,0.3275,0.005,0.12,0.545,0.33,0.005,0.190833,0.210833,0.181667,0.0641667,0.13,0.109167,0.11,0.00333333
250,0.2975,0.5325,0.165,0.005,0.405,0.265,0.3225,0.0075,0.16,0.675,0.165,0,0.234167,0.230833,0.225,0.055,0.0883333,0.1075,0.055,0.00416667
300,0.3425,0.455,0.15,0.0525,0.39,0.455,0.155,0,0.25,0.6825,0.0675,0,0.244167,0.235,0.2275,0.05,0.151667,0.0516667,0.0225,0.0175
350,0.36,0.37,0.1425,0.1275,0.3525,0.51,0.1375,0,0.285,0.64,0.075,0,0.2375,0.218333,0.213333,0.0475,0.17,0.0458333,0.025,0.0425
400,0.3775,0.345,0.085,0.1925,0.3325,0.4925,0.1675,0.0075,0.155,0.74,0.105,0,0.236667,0.166667,0.246667,0.0283333,0.164167,0.0558333,0.035,0.0666667
450,0.425,0.3875,0.0625,0.125,0.4825,0.315,0.2025,0,0.27,0.6425,0.0875,0,0.3025,0.219167,0.214167,0.0208333,0.105,0.0675,0.0291667,0.0416667
500,0.4475,0.2425,0.0725,0.2375,0.4325,0.4475,0.12,0,0.1825,0.695,0.1225,0,0.293333,0.141667,0.231667,0.0241667,0.149167,0.04,0.0408333,0.0791667
550,0.4425,0.255,0.0525,0.25,0.365,0.3825,0.2525,0,0.0675,0.7925,0.14,0,0.269167,0.1075,0.264167,0.0175,0.1275,0.0841667,0.0466667,0.0833333
600,0.445,0.24,0.0675,0.2475,0.45,0.3175,0.2325,0,0.065,0.845,0.09,0,0.298333,0.101667,0.281667,0.0225,0.105833,0.0775,0.03,0.0825
650,0.4725,0.2525,0.025,0.25,0.405,0.355,0.2225,0.0175,0.21,0.6825,0.1075,0,0.2925,0.154167,0.2275,0.00833333,0.118333,0.0741667,0.0358333,0.0891667
700,0.4275,0.29,0.0375,0.245,0.46,0.3875,0.1525,0,0.18,0.725,0.095,0,0.295833,0.156667,0.241667,0.0125,0.129167,0.0508333,0.0316667,0.0816667
750,0.4825,0.2275,0.1575,0.1325,0.41,0.4475,0.14,0.0025,0.235,0.6975,0.0675,0,0.2975,0.154167,0.2325,0.0525,0.149167,0.0466667,0.0225,0.045
800,0.515,0.315,0.17,0,0.5375,0.335,0.1175,0.01,0.2775,0.675,0.0475,0,0.350833,0.1975,0.225,0.0566667,0.111667,0.0391667,0.0158333,0.00333333
850,0.4975,0.2825,0.22,0,0.465,0.38,0.145,0.01,0.3075,0.54,0.1525,0,0.320833,0.196667,0.18,0.0733333,0.126667,0.0483333,0.0508333,0.00333333
900,0.38,0.445,0.175,0,0.6075,0.2625,0.1125,0.0175,0.4475,0.3725,0.18,0,0.329167,0.2975,0.124167,0.0583333,0.0875,0.0375,0.06,0.00583333
950,0.4675,0.4125,0.12,0,0.4925,0.34,0.1575,0.01,0.415,0.46,0.125,0,0.32,0.275833,0.153333,0.04,0.113333,0.0525,0.0416667,0.00333333
