Command: 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\build_ablation\Release\CED_Schedule.exe' --solver CCHIHH --stable --resample_gate 15 --seed 3 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\data' --data_file data_matrix_T200_E100_D300.txt --cnum 100 --enum 100 --dnum 300 --tnum 200 --mopt 5 --cchihh_op_stats 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\results\cchihh_ablation_suite\bandit\T200\bandit_adaptive_opstats_seed3.csv' --cchihh_op_stats_every 50
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data"
Data file: data_matrix_T200_E100_D300.txt
Generations: 10000
Population size: 40
Random seed: 3
Pini (heuristic prob): 0.4
Objective alpha: 0.5
Solver: CCHIHH
Cnum/Enum/Dnum/Tnum/Mopt: 100/100/300/200/5
Migration: disabled
Stable mode: enabled
  resample_gate=15 reward_clip=0.2 eps0=0.2 eps_min=0.02 eps_k=0.01 lr0=0.05 lr_k=0.002
CCHIHH gate: enabled
CCHIHH blocks: enabled
CCHIHH migration: enabled
CCHIHH bandit: enabled
CCHIHH fixed ops: disabled
CCHIHH op stats: C:\Users\Hu\Desktop\论文\CED_schedule_Final\results\cchihh_ablation_suite\bandit\T200\bandit_adaptive_opstats_seed3.csv
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data\\data_matrix_T200_E100_D300.txt"
[Normalization] f1_ref (makespan) = 22665.1
[Normalization] f2_ref (energy) = 1884.13
[Normalization] alpha = 0.5

=== Running CC-HIHH-UCB Solver ===
[CC-HIHH] Initializing solver...
  CE_Tnum=200, M_Jnum=200, M_OPTnum=5, ops=1000
  Nvar=2400, popsize=40, nSubpop=8
  Block 0 (offload): start=0, len=400
  Block 1 (seq): start=400, len=1000
  Block 2 (dev): start=1400, len=1000
[CC-HIHH] Initial evaluation...
[CC-HIHH] Initial gbest_fit = 0.161504
Gen 50: best_fit = 0.0728843
Gen 100: best_fit = 0.0669341
Gen 150: best_fit = 0.0626064
Gen 200: best_fit = 0.0590397
Gen 250: best_fit = 0.0563421
Gen 300: best_fit = 0.0541775
Gen 350: best_fit = 0.0525115
Gen 400: best_fit = 0.0512086
Gen 450: best_fit = 0.050001
Gen 500: best_fit = 0.0489879
Gen 550: best_fit = 0.0483355
Gen 600: best_fit = 0.0475178
Gen 650: best_fit = 0.0468907
Gen 700: best_fit = 0.0460902
Gen 750: best_fit = 0.0454753
Gen 800: best_fit = 0.0452089
Gen 850: best_fit = 0.0448775
Gen 900: best_fit = 0.0446703
Gen 950: best_fit = 0.0443992
Gen 1000: best_fit = 0.0440886
Gen 1050: best_fit = 0.0437622
Gen 1100: best_fit = 0.0434274
Gen 1150: best_fit = 0.0432461
Gen 1200: best_fit = 0.0430199
Gen 1250: best_fit = 0.042754
Gen 1300: best_fit = 0.042672
Gen 1350: best_fit = 0.0424307
Gen 1400: best_fit = 0.042179
