Command: 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\build_ablation\Release\CED_Schedule.exe' --solver CCHIHH --stable --resample_gate 15 --cchihh_fixed_ops --seed 2 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\data' --data_file data_matrix_T500_E200_D800.txt --cnum 200 --enum 200 --dnum 800 --tnum 500 --mopt 5
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data"
Data file: data_matrix_T500_E200_D800.txt
Generations: 10000
Population size: 40
Random seed: 2
Pini (heuristic prob): 0.4
Objective alpha: 0.5
Solver: CCHIHH
Cnum/Enum/Dnum/Tnum/Mopt: 200/200/800/500/5
Migration: disabled
Stable mode: enabled
  resample_gate=15 reward_clip=0.2 eps0=0.2 eps_min=0.02 eps_k=0.01 lr0=0.05 lr_k=0.002
CCHIHH gate: enabled
CCHIHH blocks: enabled
CCHIHH migration: enabled
CCHIHH bandit: enabled
CCHIHH fixed ops: enabled
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data\\data_matrix_T500_E200_D800.txt"
[Normalization] f1_ref (makespan) = 46167
[Normalization] f2_ref (energy) = 5808.73
[Normalization] alpha = 0.5

=== Running CC-HIHH-UCB Solver ===
[CC-HIHH] Initializing solver...
  CE_Tnum=500, M_Jnum=500, M_OPTnum=5, ops=2500
  Nvar=6000, popsize=40, nSubpop=8
  Block 0 (offload): start=0, len=1000
  Block 1 (seq): start=1000, len=2500
  Block 2 (dev): start=3500, len=2500
[CC-HIHH] Initial evaluation...
[CC-HIHH] Initial gbest_fit = 0.0680216
Gen 50: best_fit = 0.05884
Gen 100: best_fit = 0.0519974
Gen 150: best_fit = 0.0489337
Gen 200: best_fit = 0.0461076
Gen 250: best_fit = 0.044152
Gen 300: best_fit = 0.0428167
Gen 350: best_fit = 0.0415527
Gen 400: best_fit = 0.0409584
Gen 450: best_fit = 0.0403864
Gen 500: best_fit = 0.0396587
Gen 550: best_fit = 0.0390649
Gen 600: best_fit = 0.0387125
Gen 650: best_fit = 0.0383186
Gen 700: best_fit = 0.0378012
Gen 750: best_fit = 0.0371841
Gen 800: best_fit = 0.036743
Gen 850: best_fit = 0.0364601
Gen 900: best_fit = 0.0361062
Gen 950: best_fit = 0.0357602
Gen 1000: best_fit = 0.0354858
Gen 1050: best_fit = 0.0350917
Gen 1100: best_fit = 0.0348893
Gen 1150: best_fit = 0.0346731
