Command: 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\build_ablation\Release\CED_Schedule.exe' --solver CCHIHH --stable --resample_gate 15 --seed 10 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\data' --data_file data_matrix_T200_E100_D300.txt --cnum 100 --enum 100 --dnum 300 --tnum 200 --mopt 5
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data"
Data file: data_matrix_T200_E100_D300.txt
Generations: 10000
Population size: 40
Random seed: 10
Pini (heuristic prob): 0.4
Objective alpha: 0.5
Solver: CCHIHH
Cnum/Enum/Dnum/Tnum/Mopt: 100/100/300/200/5
Migration: disabled
Stable mode: enabled
  resample_gate=15 reward_clip=0.2 eps0=0.2 eps_min=0.02 eps_k=0.01 lr0=0.05 lr_k=0.002
CCHIHH gate: enabled
CCHIHH blocks: enabled
CCHIHH migration: enabled
CCHIHH bandit: enabled
CCHIHH fixed ops: disabled
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data\\data_matrix_T200_E100_D300.txt"
[Normalization] f1_ref (makespan) = 22665.1
[Normalization] f2_ref (energy) = 1882.1
[Normalization] alpha = 0.5

=== Running CC-HIHH-UCB Solver ===
[CC-HIHH] Initializing solver...
  CE_Tnum=200, M_Jnum=200, M_OPTnum=5, ops=1000
  Nvar=2400, popsize=40, nSubpop=8
  Block 0 (offload): start=0, len=400
  Block 1 (seq): start=400, len=1000
  Block 2 (dev): start=1400, len=1000
[CC-HIHH] Initial evaluation...
[CC-HIHH] Initial gbest_fit = 0.151109
Gen 50: best_fit = 0.0769289
Gen 100: best_fit = 0.0664591
Gen 150: best_fit = 0.0635333
Gen 200: best_fit = 0.060083
Gen 250: best_fit = 0.0576433
Gen 300: best_fit = 0.0564587
Gen 350: best_fit = 0.0549789
Gen 400: best_fit = 0.0538469
Gen 450: best_fit = 0.0526683
Gen 500: best_fit = 0.0521919
Gen 550: best_fit = 0.0516949
Gen 600: best_fit = 0.0511162
Gen 650: best_fit = 0.0506641
Gen 700: best_fit = 0.0503577
Gen 750: best_fit = 0.049892
Gen 800: best_fit = 0.0494645
Gen 850: best_fit = 0.0490019
Gen 900: best_fit = 0.048277
Gen 950: best_fit = 0.0479156
Gen 1000: best_fit = 0.0475323
Gen 1050: best_fit = 0.0472924
Gen 1100: best_fit = 0.0471638
Gen 1150: best_fit = 0.0469036
Gen 1200: best_fit = 0.0467509
Gen 1250: best_fit = 0.0466347
Gen 1300: best_fit = 0.0465051
Gen 1350: best_fit = 0.0463613
Gen 1400: best_fit = 0.0461634
Gen 1450: best_fit = 0.0460608
Gen 1500: best_fit = 0.0458582
Gen 1550: best_fit = 0.0457089
Gen 1600: best_fit = 0.0456415
Gen 1650: best_fit = 0.0455645
Gen 1700: best_fit = 0.0453851
Gen 1750: best_fit = 0.0452876
Gen 1800: best_fit = 0.0452215
Gen 1850: best_fit = 0.045168
Gen 1900: best_fit = 0.0450469
Gen 1950: best_fit = 0.044929
Gen 2000: best_fit = 0.0448327
Gen 2050: best_fit = 0.04475
Gen 2100: best_fit = 0.0446682
Gen 2150: best_fit = 0.044551
Gen 2200: best_fit = 0.0444852
Gen 2250: best_fit = 0.04438
Gen 2300: best_fit = 0.0442929
Gen 2350: best_fit = 0.0442193
Gen 2400: best_fit = 0.0441717
Gen 2450: best_fit = 0.043877
Gen 2500: best_fit = 0.0438198
Gen 2550: best_fit = 0.0437248
Gen 2600: best_fit = 0.0436184
Gen 2650: best_fit = 0.0435458
Gen 2700: best_fit = 0.0434727
Gen 2750: best_fit = 0.0434248
Gen 2800: best_fit = 0.0433287
Gen 2850: best_fit = 0.0432656
Gen 2900: best_fit = 0.0432597
Gen 2950: best_fit = 0.0432597
Gen 3000: best_fit = 0.0432597
Gen 3050: best_fit = 0.0432597
Gen 3100: best_fit = 0.0432356
Gen 3150: best_fit = 0.0431837
Gen 3200: best_fit = 0.043146
Gen 3250: best_fit = 0.043146
Gen 3300: best_fit = 0.043146
Gen 3350: best_fit = 0.043146
Gen 3400: best_fit = 0.0431341
Gen 3450: best_fit = 0.0430872
Gen 3500: best_fit = 0.0430833
Gen 3550: best_fit = 0.0430833
Gen 3600: best_fit = 0.0430833
Gen 3650: best_fit = 0.0430252
Gen 3700: best_fit = 0.0429688
Gen 3750: best_fit = 0.042963
Gen 3800: best_fit = 0.0429522
Gen 3850: best_fit = 0.0429522
Gen 3900: best_fit = 0.0429522
Gen 3950: best_fit = 0.0429522
Gen 4000: best_fit = 0.0429235
Gen 4050: best_fit = 0.0427993
Gen 4100: best_fit = 0.042743
Gen 4150: best_fit = 0.0427429
Gen 4200: best_fit = 0.04266
Gen 4250: best_fit = 0.0426155
Gen 4300: best_fit = 0.0425508
Gen 4350: best_fit = 0.0425508
Gen 4400: best_fit = 0.0425508
Gen 4450: best_fit = 0.0425508
Gen 4500: best_fit = 0.0425508
Gen 4550: best_fit = 0.0425508
Gen 4600: best_fit = 0.0425508
Gen 4650: best_fit = 0.0425502
Gen 4700: best_fit = 0.042544
Gen 4750: best_fit = 0.0425364
Gen 4800: best_fit = 0.0425085
Gen 4850: best_fit = 0.0425085
Gen 4900: best_fit = 0.0425085
Gen 4950: best_fit = 0.0425033
Gen 5000: best_fit = 0.0425033
Gen 5050: best_fit = 0.0425033
Gen 5100: best_fit = 0.0425033
Gen 5150: best_fit = 0.0425033
Gen 5200: best_fit = 0.0425009
Gen 5250: best_fit = 0.0425009
Gen 5300: best_fit = 0.0425009
Gen 5350: best_fit = 0.0424787
Gen 5400: best_fit = 0.0424312
Gen 5450: best_fit = 0.0424312
Gen 5500: best_fit = 0.0424312
Gen 5550: best_fit = 0.0424113
Gen 5600: best_fit = 0.0424113
Gen 5650: best_fit = 0.0424113
Gen 5700: best_fit = 0.0424039
Gen 5750: best_fit = 0.0424039
Gen 5800: best_fit = 0.0424039
Gen 5850: best_fit = 0.0424039
Gen 5900: best_fit = 0.0424039
Gen 5950: best_fit = 0.0424039
Gen 6000: best_fit = 0.0424039
Gen 6050: best_fit = 0.0424039
Gen 6100: best_fit = 0.0424039
Gen 6150: best_fit = 0.0424039
Gen 6200: best_fit = 0.0424039
Gen 6250: best_fit = 0.0424039
Gen 6300: best_fit = 0.0424039
Gen 6350: best_fit = 0.0423903
Gen 6400: best_fit = 0.0423903
Gen 6450: best_fit = 0.0423855
Gen 6500: best_fit = 0.0423855
Gen 6550: best_fit = 0.0423855
Gen 6600: best_fit = 0.0423855
Gen 6650: best_fit = 0.042366
Gen 6700: best_fit = 0.0423562
Gen 6750: best_fit = 0.0423562
Gen 6800: best_fit = 0.0423053
Gen 6850: best_fit = 0.0423053
Gen 6900: best_fit = 0.0423053
Gen 6950: best_fit = 0.0423043
Gen 7000: best_fit = 0.042231
Gen 7050: best_fit = 0.0421963
Gen 7100: best_fit = 0.0421615
Gen 7150: best_fit = 0.0421615
Gen 7200: best_fit = 0.0421615
Gen 7250: best_fit = 0.0421504
Gen 7300: best_fit = 0.0421504
Gen 7350: best_fit = 0.04215
Gen 7400: best_fit = 0.0421032
Gen 7450: best_fit = 0.0421032
Gen 7500: best_fit = 0.0420886
Gen 7550: best_fit = 0.0420886
Gen 7600: best_fit = 0.0420886
Gen 7650: best_fit = 0.0420886
Gen 7700: best_fit = 0.0420886
Gen 7750: best_fit = 0.0420886
Gen 7800: best_fit = 0.0420886
Gen 7850: best_fit = 0.0420883
Gen 7900: best_fit = 0.0420883
Gen 7950: best_fit = 0.0420725
Gen 8000: best_fit = 0.0420725
Gen 8050: best_fit = 0.0420725
Gen 8100: best_fit = 0.0420605
Gen 8150: best_fit = 0.0420605
Gen 8200: best_fit = 0.0420605
Gen 8250: best_fit = 0.0420605
Gen 8300: best_fit = 0.0420605
Gen 8350: best_fit = 0.0420605
Gen 8400: best_fit = 0.0420191
Gen 8450: best_fit = 0.0420191
