Command: 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\build_ablation\Release\CED_Schedule.exe' --solver CGA --seed 5 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\data' --data_file data_matrix_T200_E100_D300.txt --cnum 100 --enum 100 --dnum 300 --tnum 200 --mopt 5
Command: 'C:\Users\Hu\Desktop\论文\CED_schedule_Final\build_ablation\Release\CED_Schedule.exe' '--solver' 'CGA' '--seed' '5' '--generations' '10000' '--log_every' '50' '--data_dir' 'C:\Users\Hu\Desktop\论文\CED_schedule_Final\data' '--data_file' 'data_matrix_T200_E100_D300.txt' '--cnum' '100' '--enum' '100' '--dnum' '300' '--tnum' '200' '--mopt' '5'
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data"
Data file: data_matrix_T200_E100_D300.txt
Generations: 10000
Population size: 40
Random seed: 5
Pini (heuristic prob): 0.4
Objective alpha: 0.5
Solver: CGA
Cnum/Enum/Dnum/Tnum/Mopt: 100/100/300/200/5
Migration: disabled
CGA input: (raw data mode via --data_dir/--data_file)
CGA VM count (raw mode): 70
CGA communication scale (raw mode): 0.01
CGA edge ratio (raw mode): 0.6
CGA deadline factor (raw mode): 1.5
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data\\data_matrix_T200_E100_D300.txt"
[Normalization] f1_ref (makespan) = 22665.1
[Normalization] f2_ref (energy) = 1886.65
[Normalization] alpha = 0.5

=== Running CGA Solver ===
CGA mode: objective-compatible with CED_Schedule (best_fit smaller is better)
CGA params: pop=300, gen=10000, pc=0.75, pm(early/late)=0.03/0.01, cat=150, cat_apply_gen<=5000
Gen 50: best_fit = 0.0792754
Gen 100: best_fit = 0.0770297
Gen 150: best_fit = 0.0770101
Gen 200: best_fit = 0.0759861
Gen 250: best_fit = 0.0759861
Gen 300: best_fit = 0.0759861
Gen 350: best_fit = 0.0753049
Gen 400: best_fit = 0.0741132
Gen 450: best_fit = 0.073977
Gen 500: best_fit = 0.0734502
Gen 550: best_fit = 0.0732885
Gen 600: best_fit = 0.0729279
Gen 650: best_fit = 0.0724061
Gen 700: best_fit = 0.071469
Gen 750: best_fit = 0.0707865
Gen 800: best_fit = 0.0700832
Gen 850: best_fit = 0.0698316
Gen 900: best_fit = 0.0691912
Gen 950: best_fit = 0.0681995
Gen 1000: best_fit = 0.0672944
Gen 1050: best_fit = 0.0672008
Gen 1100: best_fit = 0.0671318
Gen 1150: best_fit = 0.0668957
Gen 1200: best_fit = 0.0666204
Gen 1250: best_fit = 0.0659613
Gen 1300: best_fit = 0.0657335
Gen 1350: best_fit = 0.0656224
Gen 1400: best_fit = 0.0654748
Gen 1450: best_fit = 0.0653823
Gen 1500: best_fit = 0.0644253
Gen 1550: best_fit = 0.0642726
Gen 1600: best_fit = 0.0641559
Gen 1650: best_fit = 0.0638917
Gen 1700: best_fit = 0.0637344
Gen 1750: best_fit = 0.0636412
Gen 1800: best_fit = 0.0634694
Gen 1850: best_fit = 0.0634221
Gen 1900: best_fit = 0.063068
Gen 1950: best_fit = 0.0629111
Gen 2000: best_fit = 0.0627187
Gen 2050: best_fit = 0.0626174
Gen 2100: best_fit = 0.0625416
Gen 2150: best_fit = 0.0623728
Gen 2200: best_fit = 0.0621993
Gen 2250: best_fit = 0.0620981
Gen 2300: best_fit = 0.0620045
Gen 2350: best_fit = 0.0617803
Gen 2400: best_fit = 0.0616846
Gen 2450: best_fit = 0.06141
Gen 2500: best_fit = 0.061178
Gen 2550: best_fit = 0.0610099
Gen 2600: best_fit = 0.0608518
Gen 2650: best_fit = 0.0606611
Gen 2700: best_fit = 0.0605079
Gen 2750: best_fit = 0.0604242
Gen 2800: best_fit = 0.060294
Gen 2850: best_fit = 0.0602859
Gen 2900: best_fit = 0.0601579
Gen 2950: best_fit = 0.0600868
Gen 3000: best_fit = 0.059988
Gen 3050: best_fit = 0.0599219
Gen 3100: best_fit = 0.0597813
Gen 3150: best_fit = 0.0595823
Gen 3200: best_fit = 0.059471
Gen 3250: best_fit = 0.0593966
Gen 3300: best_fit = 0.0593515
Gen 3350: best_fit = 0.059299
Gen 3400: best_fit = 0.0592079
Gen 3450: best_fit = 0.0590887
Gen 3500: best_fit = 0.0590237
Gen 3550: best_fit = 0.0589843
Gen 3600: best_fit = 0.0588443
Gen 3650: best_fit = 0.0586627
Gen 3700: best_fit = 0.0585841
Gen 3750: best_fit = 0.0584176
Gen 3800: best_fit = 0.0582961
Gen 3850: best_fit = 0.0582491
Gen 3900: best_fit = 0.0580844
Gen 3950: best_fit = 0.0579721
Gen 4000: best_fit = 0.0578949
Gen 4050: best_fit = 0.0577956
Gen 4100: best_fit = 0.0573344
Gen 4150: best_fit = 0.0572795
Gen 4200: best_fit = 0.0571914
Gen 4250: best_fit = 0.0571445
Gen 4300: best_fit = 0.0569623
Gen 4350: best_fit = 0.0569221
Gen 4400: best_fit = 0.0568544
Gen 4450: best_fit = 0.0566726
Gen 4500: best_fit = 0.0565621
Gen 4550: best_fit = 0.0563415
Gen 4600: best_fit = 0.056314
Gen 4650: best_fit = 0.0563071
Gen 4700: best_fit = 0.0561858
Gen 4750: best_fit = 0.056109
Gen 4800: best_fit = 0.0559029
Gen 4850: best_fit = 0.055822
Gen 4900: best_fit = 0.0557433
Gen 4950: best_fit = 0.0556168
Gen 5000: best_fit = 0.0555258
Gen 5050: best_fit = 0.0554811
Gen 5100: best_fit = 0.055356
Gen 5150: best_fit = 0.0553049
Gen 5200: best_fit = 0.0552014
Gen 5250: best_fit = 0.0550938
Gen 5300: best_fit = 0.0550168
Gen 5350: best_fit = 0.0549714
Gen 5400: best_fit = 0.0548778
Gen 5450: best_fit = 0.0548393
Gen 5500: best_fit = 0.0546309
Gen 5550: best_fit = 0.0545632
Gen 5600: best_fit = 0.0545072
Gen 5650: best_fit = 0.0544167
Gen 5700: best_fit = 0.0543894
Gen 5750: best_fit = 0.0542639
Gen 5800: best_fit = 0.0541692
Gen 5850: best_fit = 0.0540504
Gen 5900: best_fit = 0.0539764
Gen 5950: best_fit = 0.053854
Gen 6000: best_fit = 0.0538318
Gen 6050: best_fit = 0.0535063
Gen 6100: best_fit = 0.0534266
Gen 6150: best_fit = 0.0533386
Gen 6200: best_fit = 0.053243
Gen 6250: best_fit = 0.0532324
Gen 6300: best_fit = 0.0531399
Gen 6350: best_fit = 0.0530219
Gen 6400: best_fit = 0.0529886
Gen 6450: best_fit = 0.0529444
Gen 6500: best_fit = 0.0529388
Gen 6550: best_fit = 0.0528519
Gen 6600: best_fit = 0.0528018
Gen 6650: best_fit = 0.0526882
Gen 6700: best_fit = 0.0525947
Gen 6750: best_fit = 0.0525653
Gen 6800: best_fit = 0.0524286
Gen 6850: best_fit = 0.0523595
Gen 6900: best_fit = 0.0523095
Gen 6950: best_fit = 0.0523095
Gen 7000: best_fit = 0.0522547
Gen 7050: best_fit = 0.0521929
Gen 7100: best_fit = 0.0521789
Gen 7150: best_fit = 0.0521349
Gen 7200: best_fit = 0.0521145
Gen 7250: best_fit = 0.0521021
Gen 7300: best_fit = 0.0521001
Gen 7350: best_fit = 0.052068
Gen 7400: best_fit = 0.0520467
Gen 7450: best_fit = 0.052028
Gen 7500: best_fit = 0.052028
Gen 7550: best_fit = 0.0520021
Gen 7600: best_fit = 0.0519644
Gen 7650: best_fit = 0.0518274
Gen 7700: best_fit = 0.0518274
Gen 7750: best_fit = 0.0517753
Gen 7800: best_fit = 0.0517753
Gen 7850: best_fit = 0.0516909
Gen 7900: best_fit = 0.0516304
Gen 7950: best_fit = 0.0515947
Gen 8000: best_fit = 0.0515926
Gen 8050: best_fit = 0.0515679
Gen 8100: best_fit = 0.0515524
Gen 8150: best_fit = 0.0515524
Gen 8200: best_fit = 0.0515329
Gen 8250: best_fit = 0.0515115
Gen 8300: best_fit = 0.0514926
Gen 8350: best_fit = 0.0514177
Gen 8400: best_fit = 0.0513716
Gen 8450: best_fit = 0.0512776
Gen 8500: best_fit = 0.0512776
Gen 8550: best_fit = 0.0512264
Gen 8600: best_fit = 0.0512226
Gen 8650: best_fit = 0.0512226
Gen 8700: best_fit = 0.0511844
Gen 8750: best_fit = 0.0511615
Gen 8800: best_fit = 0.0511615
Gen 8850: best_fit = 0.0510675
Gen 8900: best_fit = 0.0510675
Gen 8950: best_fit = 0.0510675
Gen 9000: best_fit = 0.0510049
Gen 9050: best_fit = 0.0509771
Gen 9100: best_fit = 0.0509771
Gen 9150: best_fit = 0.0508393
Gen 9200: best_fit = 0.0508393
Gen 9250: best_fit = 0.0508072
Gen 9300: best_fit = 0.0508044
Gen 9350: best_fit = 0.0507634
Gen 9400: best_fit = 0.0507465
Gen 9450: best_fit = 0.0507465
Gen 9500: best_fit = 0.050708
Gen 9550: best_fit = 0.0506629
Gen 9600: best_fit = 0.0506506
Gen 9650: best_fit = 0.0506506
Gen 9700: best_fit = 0.0506171
Gen 9750: best_fit = 0.0506171
Gen 9800: best_fit = 0.0505328
Gen 9850: best_fit = 0.0502875
Gen 9900: best_fit = 0.0502875
Gen 9950: best_fit = 0.0502844
Gen 10000: best_fit = 0.0502154

=== Final Results (CGA) ===
Solver: CGA
Generations = 10000
Best generation = 9999
Catastrophe triggers = 0
Best fitness = 0.0502154
The best solution = 0.0502154
Time = 207.209 s

exit code 0

exit code 0
