gen,CCHIHH_Full mean,CCHIHH_Full var,GDE mean,GDE var,CGA mean,CGA var,IMOMA mean,IMOMA var
50,0.07382252,2.461394113600003e-06,0.07652681,5.914709676899998e-06,0.08041503,4.585884768100004e-06,0.07438095,2.662402612500007e-06
100,0.06699785,4.6889317705000035e-06,0.06998538,1.0973259773599998e-05,0.07787150000000001,3.19452860199999e-06,0.07199295,3.915614948500003e-06
150,0.06294854,5.634959544400004e-06,0.06539805,1.1099852848499999e-05,0.0764265,2.2740833959999994e-06,0.0703835,5.0066130840000145e-06
200,0.05992538000000001,4.439338629600005e-06,0.06190313000000001,9.230605142099995e-06,0.07541066,2.8674083343999993e-06,0.06988381,3.3775072249000015e-06
250,0.05732275,5.1131178805000026e-06,0.05947812,7.060324639600004e-06,0.07505634,2.314075396399997e-06,0.06931745,2.3428175685000044e-06
300,0.05531967,3.668798712100005e-06,0.057329830000000005,5.516864266099998e-06,0.07414906,3.0630279103999973e-06,0.06907084,2.159328182400006e-06
350,0.05371009,3.4082482289e-06,0.055731569999999994,5.470171328100001e-06,0.07360118,3.3284363396e-06,0.06866364999999999,2.036619678500006e-06
400,0.052292399999999996,3.377941024000002e-06,0.05445546,4.462018186400003e-06,0.07295874,2.5336841464000035e-06,0.06828267,3.3204995221000036e-06
450,0.05126693,2.816177216100001e-06,0.05312736,3.775906254399994e-06,0.07271464,2.6364945924000074e-06,0.06821292,3.3517357336000063e-06
500,0.05047984,2.468153602399998e-06,0.05204403,3.5617917821000003e-06,0.07226919000000001,2.432019606899998e-06,0.06813811,3.372501576900004e-06
550,0.04974381,2.3708023028999987e-06,0.05113189,3.5619803068999936e-06,0.0718218,2.963082597999995e-06,0.06792859,3.6227479848999997e-06
600,0.04900595,2.0988347624999974e-06,0.05018184,3.222007762399998e-06,0.07129286,2.6894983263999977e-06,0.0676713,3.197253044000002e-06
650,0.04847997,2.0588595360999987e-06,0.04942263,3.2723586840999967e-06,0.07093752,2.8051288516000036e-06,0.06759129,3.4905980088999993e-06
700,0.048013230000000004,2.0241728721000006e-06,0.04886805,3.3854312185000016e-06,0.07040862,2.3860766396000055e-06,0.06735521,3.7703011408999967e-06
750,0.04746081,1.9788544908999993e-06,0.04811554,2.769546174400002e-06,0.06994446,2.4008202203999995e-06,0.06703664000000001,3.535754790399999e-06
800,0.047036299999999996,1.9901399819999994e-06,0.04748066,2.7386071164000023e-06,0.06959539000000001,2.085509678899999e-06,0.06676541,3.618027562899996e-06
850,0.04668785,1.9606505144999997e-06,0.04692385,2.3473190925000008e-06,0.06909101,2.1120510628999956e-06,0.06621989,4.980504100899998e-06
900,0.04629883,1.7509124501000002e-06,0.04639075,2.0661207005000024e-06,0.06852242,2.5696008256000007e-06,0.06557589999999999,2.554564085999997e-06
950,0.045978019999999994,1.674562083600002e-06,0.04592979,1.8317545089e-06,0.06809245,2.2358179644999923e-06,0.06521207999999999,3.4358101875999983e-06
