Command: 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\build_ablation\Release\CED_Schedule.exe' --solver CCHIHH --stable --resample_gate 15 --seed 2 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\data' --data_file data_matrix_T200_E100_D300.txt --cnum 100 --enum 100 --dnum 300 --tnum 200 --mopt 5
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data"
Data file: data_matrix_T200_E100_D300.txt
Generations: 10000
Population size: 40
Random seed: 2
Pini (heuristic prob): 0.4
Objective alpha: 0.5
Solver: CCHIHH
Cnum/Enum/Dnum/Tnum/Mopt: 100/100/300/200/5
Migration: disabled
Stable mode: enabled
  resample_gate=15 reward_clip=0.2 eps0=0.2 eps_min=0.02 eps_k=0.01 lr0=0.05 lr_k=0.002
CCHIHH gate: enabled
CCHIHH blocks: enabled
CCHIHH migration: enabled
CCHIHH bandit: enabled
CCHIHH fixed ops: disabled
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data\\data_matrix_T200_E100_D300.txt"
[Normalization] f1_ref (makespan) = 22665.1
[Normalization] f2_ref (energy) = 1882
[Normalization] alpha = 0.5

=== Running CC-HIHH-UCB Solver ===
[CC-HIHH] Initializing solver...
  CE_Tnum=200, M_Jnum=200, M_OPTnum=5, ops=1000
  Nvar=2400, popsize=40, nSubpop=8
  Block 0 (offload): start=0, len=400
  Block 1 (seq): start=400, len=1000
  Block 2 (dev): start=1400, len=1000
[CC-HIHH] Initial evaluation...
[CC-HIHH] Initial gbest_fit = 0.155999
Gen 50: best_fit = 0.0704397
Gen 100: best_fit = 0.0635669
Gen 150: best_fit = 0.0588903
Gen 200: best_fit = 0.0565812
Gen 250: best_fit = 0.0534364
Gen 300: best_fit = 0.0511892
Gen 350: best_fit = 0.0500108
Gen 400: best_fit = 0.0487693
Gen 450: best_fit = 0.0481378
Gen 500: best_fit = 0.0477222
Gen 550: best_fit = 0.0473757
Gen 600: best_fit = 0.046995
Gen 650: best_fit = 0.0465711
Gen 700: best_fit = 0.0462872
Gen 750: best_fit = 0.0459753
Gen 800: best_fit = 0.0455973
Gen 850: best_fit = 0.0453444
Gen 900: best_fit = 0.045
Gen 950: best_fit = 0.04469
Gen 1000: best_fit = 0.0442193
Gen 1050: best_fit = 0.0439892
Gen 1100: best_fit = 0.0437563
Gen 1150: best_fit = 0.0435713
Gen 1200: best_fit = 0.0433758
Gen 1250: best_fit = 0.0429669
Gen 1300: best_fit = 0.0427452
Gen 1350: best_fit = 0.0425246
Gen 1400: best_fit = 0.0423705
Gen 1450: best_fit = 0.0420821
Gen 1500: best_fit = 0.0419006
Gen 1550: best_fit = 0.0418195
Gen 1600: best_fit = 0.0416624
Gen 1650: best_fit = 0.0415187
Gen 1700: best_fit = 0.0413976
Gen 1750: best_fit = 0.0413328
Gen 1800: best_fit = 0.0412579
Gen 1850: best_fit = 0.0411888
Gen 1900: best_fit = 0.0411555
Gen 1950: best_fit = 0.0411555
Gen 2000: best_fit = 0.0410356
Gen 2050: best_fit = 0.0408745
Gen 2100: best_fit = 0.0408623
Gen 2150: best_fit = 0.0408623
Gen 2200: best_fit = 0.0408623
Gen 2250: best_fit = 0.0408623
Gen 2300: best_fit = 0.040769
Gen 2350: best_fit = 0.0407382
Gen 2400: best_fit = 0.0407377
Gen 2450: best_fit = 0.0407377
Gen 2500: best_fit = 0.0407377
Gen 2550: best_fit = 0.0406961
Gen 2600: best_fit = 0.0406961
Gen 2650: best_fit = 0.0406961
Gen 2700: best_fit = 0.0406961
Gen 2750: best_fit = 0.0406961
Gen 2800: best_fit = 0.0406865
Gen 2850: best_fit = 0.0406809
Gen 2900: best_fit = 0.0406418
Gen 2950: best_fit = 0.0405813
Gen 3000: best_fit = 0.0404884
Gen 3050: best_fit = 0.0404369
Gen 3100: best_fit = 0.0404349
Gen 3150: best_fit = 0.0404119
Gen 3200: best_fit = 0.0404119
Gen 3250: best_fit = 0.0404119
Gen 3300: best_fit = 0.0403922
Gen 3350: best_fit = 0.0403625
Gen 3400: best_fit = 0.0403379
Gen 3450: best_fit = 0.0403315
Gen 3500: best_fit = 0.0403315
Gen 3550: best_fit = 0.0403315
Gen 3600: best_fit = 0.0403191
Gen 3650: best_fit = 0.040097
Gen 3700: best_fit = 0.0400122
Gen 3750: best_fit = 0.0399673
Gen 3800: best_fit = 0.0399276
Gen 3850: best_fit = 0.0398782
Gen 3900: best_fit = 0.039803
Gen 3950: best_fit = 0.0397622
Gen 4000: best_fit = 0.0397622
Gen 4050: best_fit = 0.0397622
Gen 4100: best_fit = 0.0397622
Gen 4150: best_fit = 0.0397622
Gen 4200: best_fit = 0.0397622
Gen 4250: best_fit = 0.0397622
Gen 4300: best_fit = 0.0397287
Gen 4350: best_fit = 0.0396542
Gen 4400: best_fit = 0.0396483
Gen 4450: best_fit = 0.0396186
Gen 4500: best_fit = 0.0396163
Gen 4550: best_fit = 0.0396163
Gen 4600: best_fit = 0.0396131
Gen 4650: best_fit = 0.0395576
Gen 4700: best_fit = 0.0395576
Gen 4750: best_fit = 0.0395576
Gen 4800: best_fit = 0.0395576
Gen 4850: best_fit = 0.0395576
Gen 4900: best_fit = 0.0395557
Gen 4950: best_fit = 0.0395557
Gen 5000: best_fit = 0.0395557
Gen 5050: best_fit = 0.0395527
Gen 5100: best_fit = 0.0395527
Gen 5150: best_fit = 0.0395527
Gen 5200: best_fit = 0.0395276
Gen 5250: best_fit = 0.0395276
Gen 5300: best_fit = 0.0394757
Gen 5350: best_fit = 0.0394673
Gen 5400: best_fit = 0.0394673
Gen 5450: best_fit = 0.0393679
Gen 5500: best_fit = 0.039305
Gen 5550: best_fit = 0.0392867
Gen 5600: best_fit = 0.0392547
Gen 5650: best_fit = 0.0392377
Gen 5700: best_fit = 0.0392129
Gen 5750: best_fit = 0.0391811
Gen 5800: best_fit = 0.0391736
Gen 5850: best_fit = 0.0391527
Gen 5900: best_fit = 0.0391206
Gen 5950: best_fit = 0.0390296
Gen 6000: best_fit = 0.0390199
Gen 6050: best_fit = 0.0390057
Gen 6100: best_fit = 0.0389856
Gen 6150: best_fit = 0.0389323
Gen 6200: best_fit = 0.0389122
Gen 6250: best_fit = 0.0389075
Gen 6300: best_fit = 0.0389075
Gen 6350: best_fit = 0.0389037
Gen 6400: best_fit = 0.0389037
Gen 6450: best_fit = 0.0388941
Gen 6500: best_fit = 0.0388764
Gen 6550: best_fit = 0.0388486
Gen 6600: best_fit = 0.0388278
Gen 6650: best_fit = 0.0388234
Gen 6700: best_fit = 0.0387932
Gen 6750: best_fit = 0.0387799
Gen 6800: best_fit = 0.0387799
Gen 6850: best_fit = 0.0387725
Gen 6900: best_fit = 0.0387725
Gen 6950: best_fit = 0.0387509
Gen 7000: best_fit = 0.0386973
Gen 7050: best_fit = 0.0386908
Gen 7100: best_fit = 0.0386691
Gen 7150: best_fit = 0.038662
Gen 7200: best_fit = 0.0386171
Gen 7250: best_fit = 0.0386014
Gen 7300: best_fit = 0.0385977
Gen 7350: best_fit = 0.0385747
Gen 7400: best_fit = 0.0385504
Gen 7450: best_fit = 0.0385386
Gen 7500: best_fit = 0.0385351
Gen 7550: best_fit = 0.0385275
Gen 7600: best_fit = 0.0385275
Gen 7650: best_fit = 0.0384937
Gen 7700: best_fit = 0.0384815
Gen 7750: best_fit = 0.0384648
Gen 7800: best_fit = 0.0384556
Gen 7850: best_fit = 0.0384553
Gen 7900: best_fit = 0.0384519
Gen 7950: best_fit = 0.0384328
Gen 8000: best_fit = 0.0384298
Gen 8050: best_fit = 0.0384298
Gen 8100: best_fit = 0.038418
Gen 8150: best_fit = 0.0383931
Gen 8200: best_fit = 0.0383909
Gen 8250: best_fit = 0.0383802
Gen 8300: best_fit = 0.0383802
Gen 8350: best_fit = 0.0383802
Gen 8400: best_fit = 0.038378
Gen 8450: best_fit = 0.0383738
Gen 8500: best_fit = 0.0383576
Gen 8550: best_fit = 0.0383323
Gen 8600: best_fit = 0.038315
Gen 8650: best_fit = 0.038315
Gen 8700: best_fit = 0.038295
Gen 8750: best_fit = 0.038295
Gen 8800: best_fit = 0.0382897
Gen 8850: best_fit = 0.0382879
Gen 8900: best_fit = 0.0382779
Gen 8950: best_fit = 0.0382759
Gen 9000: best_fit = 0.0382759
Gen 9050: best_fit = 0.0382737
Gen 9100: best_fit = 0.0382737
Gen 9150: best_fit = 0.0382728
Gen 9200: best_fit = 0.0382728
Gen 9250: best_fit = 0.0382673
Gen 9300: best_fit = 0.0382673
Gen 9350: best_fit = 0.0382478
Gen 9400: best_fit = 0.0382221
Gen 9450: best_fit = 0.0382221
Gen 9500: best_fit = 0.038212
Gen 9550: best_fit = 0.0381873
Gen 9600: best_fit = 0.038174
Gen 9650: best_fit = 0.0381669
Gen 9700: best_fit = 0.0381364
Gen 9750: best_fit = 0.0381135
Gen 9800: best_fit = 0.038111
Gen 9850: best_fit = 0.038101
Gen 9900: best_fit = 0.0380572
Gen 9950: best_fit = 0.0380464
Gen 10000: best_fit = 0.0380103

=== Final Results (CC-HIHH-UCB) ===
Solver: CCHIHH
Subpopulations per block: 8
Generations = 10000
The best solution = 0.0380103
CCHIHH gate_blocked_total = 20431
CCHIHH gate_fallback_total = 20431
Time = 74.688 s

exit code 0
