Command: 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\build_ablation\Release\CED_Schedule.exe' --solver CCHIHH --stable --resample_gate 15 --migration --seed 9 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\data' --data_file data_matrix_T500_E200_D800.txt --cnum 200 --enum 200 --dnum 800 --tnum 500 --mopt 5 --cchihh_op_stats 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\results\cchihh_full_canonical_multiscale\T500\CCHIHH_full_opstats_seed9.csv' --cchihh_op_stats_every 50
Command: 'C:\Users\Hu\Desktop\论文\CED_schedule_Final\build_ablation\Release\CED_Schedule.exe' '--solver' 'CCHIHH' '--stable' '--resample_gate' '15' '--migration' '--seed' '9' '--generations' '10000' '--log_every' '50' '--data_dir' 'C:\Users\Hu\Desktop\论文\CED_schedule_Final\data' '--data_file' 'data_matrix_T500_E200_D800.txt' '--cnum' '200' '--enum' '200' '--dnum' '800' '--tnum' '500' '--mopt' '5' '--cchihh_op_stats' 'C:\Users\Hu\Desktop\论文\CED_schedule_Final\results\cchihh_full_canonical_multiscale\T500\CCHIHH_full_opstats_seed9.csv' '--cchihh_op_stats_every' '50'
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data"
Data file: data_matrix_T500_E200_D800.txt
Generations: 10000
Population size: 40
Random seed: 9
Pini (heuristic prob): 0.4
Objective alpha: 0.5
Solver: CCHIHH
Cnum/Enum/Dnum/Tnum/Mopt: 200/200/800/500/5
Migration: enabled
  Subpopulations: 8
Stable mode: enabled
  resample_gate=15 reward_clip=0.2 eps0=0.2 eps_min=0.02 eps_k=0.01 lr0=0.05 lr_k=0.002
CCHIHH gate: enabled
CCHIHH blocks: enabled
CCHIHH migration: enabled
CCHIHH bandit: enabled
CCHIHH fixed ops: disabled
CCHIHH op stats: C:\Users\Hu\Desktop\论文\CED_schedule_Final\results\cchihh_full_canonical_multiscale\T500\CCHIHH_full_opstats_seed9.csv
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data\\data_matrix_T500_E200_D800.txt"
[Normalization] f1_ref (makespan) = 47562.7
[Normalization] f2_ref (energy) = 5814.22
[Normalization] alpha = 0.5
[Migration] Initialized: 8 subpops, interval=5, pElitist=0.8

=== Running CC-HIHH-UCB Solver ===
[CC-HIHH] Initializing solver...
  CE_Tnum=500, M_Jnum=500, M_OPTnum=5, ops=2500
  Nvar=6000, popsize=40, nSubpop=8
  Block 0 (offload): start=0, len=1000
  Block 1 (seq): start=1000, len=2500
  Block 2 (dev): start=3500, len=2500
[CC-HIHH] Initial evaluation...
[CC-HIHH] Initial gbest_fit = 0.0650117
Gen 50: best_fit = 0.0564061
Gen 100: best_fit = 0.0533306
Gen 150: best_fit = 0.0512612
Gen 200: best_fit = 0.0493165
Gen 250: best_fit = 0.0478929
Gen 300: best_fit = 0.0465136
Gen 350: best_fit = 0.0453734
Gen 400: best_fit = 0.0445
Gen 450: best_fit = 0.0435526
Gen 500: best_fit = 0.0420558
Gen 550: best_fit = 0.0408493
Gen 600: best_fit = 0.039986
Gen 650: best_fit = 0.0392498
Gen 700: best_fit = 0.0387581
Gen 750: best_fit = 0.0383419
Gen 800: best_fit = 0.0378383
Gen 850: best_fit = 0.0372037
Gen 900: best_fit = 0.0367268
Gen 950: best_fit = 0.0364202
Gen 1000: best_fit = 0.0360211
Gen 1050: best_fit = 0.0354541
Gen 1100: best_fit = 0.0349713
Gen 1150: best_fit = 0.0346749
Gen 1200: best_fit = 0.0344269
Gen 1250: best_fit = 0.0342836
Gen 1300: best_fit = 0.0339155
Gen 1350: best_fit = 0.033609
Gen 1400: best_fit = 0.0334658
Gen 1450: best_fit = 0.0331926
Gen 1500: best_fit = 0.0330206
Gen 1550: best_fit = 0.0328797
Gen 1600: best_fit = 0.0327603
Gen 1650: best_fit = 0.0325798
Gen 1700: best_fit = 0.0324878
Gen 1750: best_fit = 0.0323688
Gen 1800: best_fit = 0.0322456
Gen 1850: best_fit = 0.0320893
Gen 1900: best_fit = 0.0319334
Gen 1950: best_fit = 0.0317651
Gen 2000: best_fit = 0.0316415
Gen 2050: best_fit = 0.0315224
Gen 2100: best_fit = 0.0313876
Gen 2150: best_fit = 0.0312975
Gen 2200: best_fit = 0.0311808
Gen 2250: best_fit = 0.0310228
Gen 2300: best_fit = 0.0308975
Gen 2350: best_fit = 0.0307435
Gen 2400: best_fit = 0.0306425
Gen 2450: best_fit = 0.0305697
Gen 2500: best_fit = 0.0304716
Gen 2550: best_fit = 0.0303962
Gen 2600: best_fit = 0.030333
Gen 2650: best_fit = 0.0302174
Gen 2700: best_fit = 0.0301311
Gen 2750: best_fit = 0.0300135
Gen 2800: best_fit = 0.0299583
Gen 2850: best_fit = 0.0298908
Gen 2900: best_fit = 0.0298422
Gen 2950: best_fit = 0.0297655
Gen 3000: best_fit = 0.0296792
Gen 3050: best_fit = 0.0295859
Gen 3100: best_fit = 0.0295507
Gen 3150: best_fit = 0.0294795
Gen 3200: best_fit = 0.0294044
Gen 3250: best_fit = 0.0293196
Gen 3300: best_fit = 0.0292993
Gen 3350: best_fit = 0.0292993
Gen 3400: best_fit = 0.029186
Gen 3450: best_fit = 0.0291257
Gen 3500: best_fit = 0.0290762
Gen 3550: best_fit = 0.0290153
Gen 3600: best_fit = 0.0290153
Gen 3650: best_fit = 0.0290153
Gen 3700: best_fit = 0.0289696
Gen 3750: best_fit = 0.0288907
Gen 3800: best_fit = 0.0288412
Gen 3850: best_fit = 0.0287728
Gen 3900: best_fit = 0.0286936
Gen 3950: best_fit = 0.0286206
Gen 4000: best_fit = 0.0285732
Gen 4050: best_fit = 0.0285149
Gen 4100: best_fit = 0.0284775
Gen 4150: best_fit = 0.0284369
Gen 4200: best_fit = 0.0283838
Gen 4250: best_fit = 0.0283409
Gen 4300: best_fit = 0.0282779
Gen 4350: best_fit = 0.0282362
Gen 4400: best_fit = 0.0282004
Gen 4450: best_fit = 0.0281608
Gen 4500: best_fit = 0.0281313
Gen 4550: best_fit = 0.0281028
Gen 4600: best_fit = 0.0280819
Gen 4650: best_fit = 0.0280432
Gen 4700: best_fit = 0.0280266
Gen 4750: best_fit = 0.0279897
Gen 4800: best_fit = 0.0279726
Gen 4850: best_fit = 0.0279523
Gen 4900: best_fit = 0.0279223
Gen 4950: best_fit = 0.0278765
Gen 5000: best_fit = 0.0278336
Gen 5050: best_fit = 0.0277954
Gen 5100: best_fit = 0.0277732
Gen 5150: best_fit = 0.0277679
Gen 5200: best_fit = 0.0277658
Gen 5250: best_fit = 0.0277658
Gen 5300: best_fit = 0.0277658
Gen 5350: best_fit = 0.0277658
Gen 5400: best_fit = 0.027754
Gen 5450: best_fit = 0.027754
Gen 5500: best_fit = 0.027754
Gen 5550: best_fit = 0.0277401
Gen 5600: best_fit = 0.0277401
Gen 5650: best_fit = 0.0277397
Gen 5700: best_fit = 0.0277397
Gen 5750: best_fit = 0.0277397
Gen 5800: best_fit = 0.0276931
Gen 5850: best_fit = 0.027692
Gen 5900: best_fit = 0.027691
Gen 5950: best_fit = 0.0276878
Gen 6000: best_fit = 0.0276878
Gen 6050: best_fit = 0.0276816
Gen 6100: best_fit = 0.0276504
Gen 6150: best_fit = 0.0276315
Gen 6200: best_fit = 0.0276298
Gen 6250: best_fit = 0.0276137
Gen 6300: best_fit = 0.0276105
Gen 6350: best_fit = 0.0275972
Gen 6400: best_fit = 0.0275878
Gen 6450: best_fit = 0.0275606
Gen 6500: best_fit = 0.027559
Gen 6550: best_fit = 0.0275519
Gen 6600: best_fit = 0.0275157
Gen 6650: best_fit = 0.0275157
Gen 6700: best_fit = 0.0275126
Gen 6750: best_fit = 0.0275126
Gen 6800: best_fit = 0.0274782
Gen 6850: best_fit = 0.0274782
Gen 6900: best_fit = 0.0274782
Gen 6950: best_fit = 0.0274741
Gen 7000: best_fit = 0.027436
Gen 7050: best_fit = 0.0274271
Gen 7100: best_fit = 0.0273939
