Command: 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\build_ablation\Release\CED_Schedule.exe' --solver CCHIHH --stable --resample_gate 15 --cchihh_no_migration --seed 9 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\data' --data_file data_matrix_T200_E100_D300.txt --cnum 100 --enum 100 --dnum 300 --tnum 200 --mopt 5
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data"
Data file: data_matrix_T200_E100_D300.txt
Generations: 10000
Population size: 40
Random seed: 9
Pini (heuristic prob): 0.4
Objective alpha: 0.5
Solver: CCHIHH
Cnum/Enum/Dnum/Tnum/Mopt: 100/100/300/200/5
Migration: disabled
Stable mode: enabled
  resample_gate=15 reward_clip=0.2 eps0=0.2 eps_min=0.02 eps_k=0.01 lr0=0.05 lr_k=0.002
CCHIHH gate: enabled
CCHIHH blocks: enabled
CCHIHH migration: disabled
CCHIHH bandit: enabled
CCHIHH fixed ops: disabled
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data\\data_matrix_T200_E100_D300.txt"
[Normalization] f1_ref (makespan) = 22665.1
[Normalization] f2_ref (energy) = 1879.96
[Normalization] alpha = 0.5

=== Running CC-HIHH-UCB Solver ===
[CC-HIHH] Initializing solver...
  CE_Tnum=200, M_Jnum=200, M_OPTnum=5, ops=1000
  Nvar=2400, popsize=40, nSubpop=8
  Block 0 (offload): start=0, len=400
  Block 1 (seq): start=400, len=1000
  Block 2 (dev): start=1400, len=1000
[CC-HIHH] Initial evaluation...
[CC-HIHH] Initial gbest_fit = 0.0998317
Gen 50: best_fit = 0.0752334
Gen 100: best_fit = 0.0711793
Gen 150: best_fit = 0.069016
Gen 200: best_fit = 0.0670046
Gen 250: best_fit = 0.065702
Gen 300: best_fit = 0.0642279
Gen 350: best_fit = 0.0627447
Gen 400: best_fit = 0.0627447
Gen 450: best_fit = 0.0618855
Gen 500: best_fit = 0.0604267
Gen 550: best_fit = 0.0598334
Gen 600: best_fit = 0.0595953
Gen 650: best_fit = 0.0592885
Gen 700: best_fit = 0.0585284
Gen 750: best_fit = 0.0583501
Gen 800: best_fit = 0.0582058
Gen 850: best_fit = 0.0578712
Gen 900: best_fit = 0.0578712
Gen 950: best_fit = 0.0578712
Gen 1000: best_fit = 0.0578712
Gen 1050: best_fit = 0.0574223
Gen 1100: best_fit = 0.0574223
Gen 1150: best_fit = 0.0571771
Gen 1200: best_fit = 0.0566158
Gen 1250: best_fit = 0.0561673
Gen 1300: best_fit = 0.0559903
Gen 1350: best_fit = 0.0559903
Gen 1400: best_fit = 0.055363
Gen 1450: best_fit = 0.0547743
Gen 1500: best_fit = 0.053821
Gen 1550: best_fit = 0.0535507
Gen 1600: best_fit = 0.0533227
Gen 1650: best_fit = 0.0533227
Gen 1700: best_fit = 0.0526755
Gen 1750: best_fit = 0.0526755
Gen 1800: best_fit = 0.0526755
Gen 1850: best_fit = 0.0523555
Gen 1900: best_fit = 0.0522181
Gen 1950: best_fit = 0.0520914
Gen 2000: best_fit = 0.0517287
Gen 2050: best_fit = 0.0516535
Gen 2100: best_fit = 0.0515095
Gen 2150: best_fit = 0.0512576
Gen 2200: best_fit = 0.0511153
Gen 2250: best_fit = 0.0510214
Gen 2300: best_fit = 0.0508118
Gen 2350: best_fit = 0.0508118
Gen 2400: best_fit = 0.0508118
Gen 2450: best_fit = 0.0508118
Gen 2500: best_fit = 0.0508118
Gen 2550: best_fit = 0.0507602
Gen 2600: best_fit = 0.0503822
Gen 2650: best_fit = 0.0501477
