Command: 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\build_ablation\Release\CED_Schedule.exe' --solver CCHIHH --stable --resample_gate 15 --seed 4 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\data' --data_file data_matrix_T200_E100_D300.txt --cnum 100 --enum 100 --dnum 300 --tnum 200 --mopt 5
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data"
Data file: data_matrix_T200_E100_D300.txt
Generations: 10000
Population size: 40
Random seed: 4
Pini (heuristic prob): 0.4
Objective alpha: 0.5
Solver: CCHIHH
Cnum/Enum/Dnum/Tnum/Mopt: 100/100/300/200/5
Migration: disabled
Stable mode: enabled
  resample_gate=15 reward_clip=0.2 eps0=0.2 eps_min=0.02 eps_k=0.01 lr0=0.05 lr_k=0.002
CCHIHH gate: enabled
CCHIHH blocks: enabled
CCHIHH migration: enabled
CCHIHH bandit: enabled
CCHIHH fixed ops: disabled
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data\\data_matrix_T200_E100_D300.txt"
[Normalization] f1_ref (makespan) = 22665.1
[Normalization] f2_ref (energy) = 1886.15
[Normalization] alpha = 0.5

=== Running CC-HIHH-UCB Solver ===
[CC-HIHH] Initializing solver...
  CE_Tnum=200, M_Jnum=200, M_OPTnum=5, ops=1000
  Nvar=2400, popsize=40, nSubpop=8
  Block 0 (offload): start=0, len=400
  Block 1 (seq): start=400, len=1000
  Block 2 (dev): start=1400, len=1000
[CC-HIHH] Initial evaluation...
[CC-HIHH] Initial gbest_fit = 0.102453
Gen 50: best_fit = 0.0730956
Gen 100: best_fit = 0.0680172
Gen 150: best_fit = 0.0639672
Gen 200: best_fit = 0.0605235
Gen 250: best_fit = 0.0574669
Gen 300: best_fit = 0.0557756
Gen 350: best_fit = 0.0539993
Gen 400: best_fit = 0.0528883
Gen 450: best_fit = 0.051575
Gen 500: best_fit = 0.0509829
Gen 550: best_fit = 0.0503468
Gen 600: best_fit = 0.049704
Gen 650: best_fit = 0.0490541
Gen 700: best_fit = 0.0484634
Gen 750: best_fit = 0.0478064
Gen 800: best_fit = 0.0471981
Gen 850: best_fit = 0.0468447
Gen 900: best_fit = 0.0463832
Gen 950: best_fit = 0.0458653
Gen 1000: best_fit = 0.0456254
Gen 1050: best_fit = 0.045384
Gen 1100: best_fit = 0.0451497
Gen 1150: best_fit = 0.0448229
Gen 1200: best_fit = 0.0445089
Gen 1250: best_fit = 0.0444106
Gen 1300: best_fit = 0.0441928
Gen 1350: best_fit = 0.0438343
Gen 1400: best_fit = 0.0433284
Gen 1450: best_fit = 0.0429742
Gen 1500: best_fit = 0.0428792
Gen 1550: best_fit = 0.0427077
Gen 1600: best_fit = 0.0425424
Gen 1650: best_fit = 0.0423186
Gen 1700: best_fit = 0.0421499
Gen 1750: best_fit = 0.0420243
Gen 1800: best_fit = 0.0420243
Gen 1850: best_fit = 0.0419915
Gen 1900: best_fit = 0.0418049
Gen 1950: best_fit = 0.0416966
Gen 2000: best_fit = 0.0416934
Gen 2050: best_fit = 0.0415919
Gen 2100: best_fit = 0.0415327
Gen 2150: best_fit = 0.0414675
Gen 2200: best_fit = 0.0413844
Gen 2250: best_fit = 0.0413121
Gen 2300: best_fit = 0.0410525
Gen 2350: best_fit = 0.0409141
Gen 2400: best_fit = 0.0408936
Gen 2450: best_fit = 0.0408688
Gen 2500: best_fit = 0.0407331
Gen 2550: best_fit = 0.0406095
Gen 2600: best_fit = 0.0405796
Gen 2650: best_fit = 0.0405277
Gen 2700: best_fit = 0.0404494
Gen 2750: best_fit = 0.0402782
Gen 2800: best_fit = 0.0402278
