gen,migration_true mean,migration_true var,migration_false mean,migration_false var
50,0.054951530000000005,1.4698069180999992e-06,0.05611499,5.244171889000005e-07
100,0.05077222,1.2715007896000007e-06,0.05472709,3.206819509e-07
150,0.0483989,1.9073182440000005e-06,0.053159109999999996,9.163745349000002e-07
200,0.04633273,2.261669518099999e-06,0.05153702,1.4153757735999987e-06
250,0.04471117,2.5283377561000013e-06,0.050976940000000005,1.951757040400001e-06
300,0.04326386,2.443367184400003e-06,0.050126420000000005,1.9056246256000016e-06
350,0.04205097,2.225077708100003e-06,0.04962482,2.481066673600002e-06
400,0.04103797,2.3414476880999972e-06,0.04922371,2.315375666899997e-06
450,0.04016045,2.1315906804999977e-06,0.0488706,2.328698902e-06
500,0.03921657,1.542356182099999e-06,0.04850758,2.170045919600003e-06
550,0.03856933,1.195912202100001e-06,0.04831462,2.3133738456000043e-06
600,0.03796998,9.875438316000008e-07,0.0480824,2.6642643820000028e-06
650,0.037428420000000004,8.103502955999986e-07,0.04780677,3.208821924100001e-06
700,0.03693554,7.216993223999983e-07,0.04739237,3.4863535061000006e-06
750,0.03653255,6.615466864999995e-07,0.04723352,3.4417225515999998e-06
800,0.03615397,6.362981500999995e-07,0.04692209,2.957231692900002e-06
850,0.03575997,5.098753020999996e-07,0.04671752,2.6105411535999995e-06
900,0.03540414,4.392320924000003e-07,0.04653029,2.4734857408999992e-06
950,0.03507674,4.1651214039999934e-07,0.04644708,2.505732185600001e-06
1000,0.03478786,3.747360184000004e-07,0.04634091,2.6151407689000016e-06
1050,0.03450981,3.1886206690000047e-07,0.04607737,3.0475412640999963e-06
1100,0.03425203,2.850116500999993e-07,0.04587914,3.3188835724000014e-06
1150,0.03399585,2.762482765000003e-07,0.04573263,3.2356087181000003e-06
1200,0.03377299,2.598189608999997e-07,0.04561633,3.487408228099998e-06
1250,0.033553,2.7736335799999994e-07,0.04547625,3.6354459025e-06
1300,0.03327581,2.3312343690000105e-07,0.04538812,3.815133995599998e-06
1350,0.03306672,2.3696172959999952e-07,0.04520632,4.0742835076e-06
1400,0.03285421,2.377137108999993e-07,0.04508377,4.0821647360999995e-06
1450,0.0326461,1.9632709000000028e-07,0.04492353,4.304605972099999e-06
1500,0.03247861,1.8744605089999942e-07,0.04483698,4.0592427036e-06
1550,0.03230677,1.8705507209999886e-07,0.04473244,4.1569326764e-06
1600,0.03212843,1.642291521000001e-07,0.04463372,4.2927341315999965e-06
1650,0.03196311,1.6777215289999966e-07,0.04453393,4.5961924941e-06
1700,0.0318148,1.745586639999995e-07,0.044391400000000004,4.895825475999998e-06
1750,0.03164106,1.762573664000005e-07,0.04431574,5.264412790399998e-06
1800,0.03148089,1.7366225489999956e-07,0.044194489999999996,5.614160618899998e-06
1850,0.03133661,1.7052754490000053e-07,0.04411734,5.643867684400006e-06
1900,0.031193969999999998,1.7084645009999987e-07,0.043954270000000004,5.3966811661000016e-06
1950,0.031075399999999996,1.6156936199999944e-07,0.04389339,5.594978320900001e-06
2000,0.03097783,1.455678621000002e-07,0.04373477,5.9205969681000055e-06
2050,0.030868529999999998,1.3485535009999944e-07,0.04363191,5.775042006900003e-06
2100,0.03076016,1.4453575439999987e-07,0.04356626,5.788160644399998e-06
2150,0.03066043,1.515455880999998e-07,0.04347703,5.6338479341e-06
2200,0.03052786,1.635575403999997e-07,0.043407509999999996,5.356796658899996e-06
2250,0.030408599999999997,1.5597964200000005e-07,0.04338414,5.384976324400001e-06
2300,0.03031036,1.5302438239999992e-07,0.04328223,5.171292492099999e-06
2350,0.030215749999999996,1.6325743849999978e-07,0.04324788,5.165036307599999e-06
2400,0.030118689999999997,1.6406967890000036e-07,0.04324679,5.1759282089e-06
2450,0.03002374,1.7918035040000018e-07,0.04323411,5.304205428899997e-06
2500,0.029923490000000004,1.8461821490000006e-07,0.04312097,5.244594862099998e-06
2550,0.029834640000000003,1.9580321440000028e-07,0.04299994,5.454190748400003e-06
2600,0.029764230000000003,2.062535300999999e-07,0.042943379999999996,5.441871471600001e-06
2650,0.02968364,2.0727431839999992e-07,0.042932,5.562804227999998e-06
2700,0.02958848,2.0963777760000002e-07,0.04290696,5.564897000399998e-06
2750,0.02950098,2.1974239960000066e-07,0.0428901,5.596161877999996e-06
2800,0.029422379999999998,2.2683457559999973e-07,0.04281016,5.525032282399998e-06
2850,0.02932476,2.5183042639999925e-07,0.042754969999999996,5.491519908100001e-06
2900,0.029249340000000002,2.655593184e-07,0.0427171,5.696790895999998e-06
2950,0.029162630000000002,2.6860218409999964e-07,0.0426909,5.9200469399999954e-06
3000,0.029069119999999997,2.7689013760000035e-07,0.042620809999999995,5.872381594900002e-06
3050,0.02899008,2.7238804959999985e-07,0.0425378,6.036522390000001e-06
3100,0.02891745,2.907702904999997e-07,0.042477100000000004,6.099447982000001e-06
3150,0.028847489999999996,2.972488709000003e-07,0.04237573,5.593963334100001e-06
