Command: 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\build_ablation\Release\CED_Schedule.exe' --solver CCHIHH --stable --resample_gate 15 --seed 8 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\data' --data_file data_matrix_T200_E100_D300.txt --cnum 100 --enum 100 --dnum 300 --tnum 200 --mopt 5
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data"
Data file: data_matrix_T200_E100_D300.txt
Generations: 10000
Population size: 40
Random seed: 8
Pini (heuristic prob): 0.4
Objective alpha: 0.5
Solver: CCHIHH
Cnum/Enum/Dnum/Tnum/Mopt: 100/100/300/200/5
Migration: disabled
Stable mode: enabled
  resample_gate=15 reward_clip=0.2 eps0=0.2 eps_min=0.02 eps_k=0.01 lr0=0.05 lr_k=0.002
CCHIHH gate: enabled
CCHIHH blocks: enabled
CCHIHH migration: enabled
CCHIHH bandit: enabled
CCHIHH fixed ops: disabled
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data\\data_matrix_T200_E100_D300.txt"
[Normalization] f1_ref (makespan) = 22665.1
[Normalization] f2_ref (energy) = 1883.51
[Normalization] alpha = 0.5

=== Running CC-HIHH-UCB Solver ===
[CC-HIHH] Initializing solver...
  CE_Tnum=200, M_Jnum=200, M_OPTnum=5, ops=1000
  Nvar=2400, popsize=40, nSubpop=8
  Block 0 (offload): start=0, len=400
  Block 1 (seq): start=400, len=1000
  Block 2 (dev): start=1400, len=1000
[CC-HIHH] Initial evaluation...
[CC-HIHH] Initial gbest_fit = 0.0990317
Gen 50: best_fit = 0.0751108
Gen 100: best_fit = 0.067332
Gen 150: best_fit = 0.0638636
Gen 200: best_fit = 0.0609463
Gen 250: best_fit = 0.0591688
Gen 300: best_fit = 0.0568912
Gen 350: best_fit = 0.0551538
Gen 400: best_fit = 0.0539752
Gen 450: best_fit = 0.0526829
Gen 500: best_fit = 0.0518632
Gen 550: best_fit = 0.051237
Gen 600: best_fit = 0.0503114
Gen 650: best_fit = 0.0499074
Gen 700: best_fit = 0.049383
Gen 750: best_fit = 0.0486142
Gen 800: best_fit = 0.0481154
Gen 850: best_fit = 0.047772
Gen 900: best_fit = 0.0472312
Gen 950: best_fit = 0.0468585
Gen 1000: best_fit = 0.0464734
Gen 1050: best_fit = 0.0460913
Gen 1100: best_fit = 0.0459266
Gen 1150: best_fit = 0.0457698
Gen 1200: best_fit = 0.0455714
Gen 1250: best_fit = 0.0450133
Gen 1300: best_fit = 0.0448248
Gen 1350: best_fit = 0.0446385
Gen 1400: best_fit = 0.0442409
Gen 1450: best_fit = 0.0440347
Gen 1500: best_fit = 0.0438149
Gen 1550: best_fit = 0.0437152
Gen 1600: best_fit = 0.0435548
Gen 1650: best_fit = 0.0433898
Gen 1700: best_fit = 0.0433279
Gen 1750: best_fit = 0.0432629
Gen 1800: best_fit = 0.0432397
Gen 1850: best_fit = 0.0432345
Gen 1900: best_fit = 0.0430781
Gen 1950: best_fit = 0.0430207
Gen 2000: best_fit = 0.0428048
Gen 2050: best_fit = 0.0427209
Gen 2100: best_fit = 0.0426038
Gen 2150: best_fit = 0.0425513
Gen 2200: best_fit = 0.0425129
Gen 2250: best_fit = 0.0424309
Gen 2300: best_fit = 0.0423945
Gen 2350: best_fit = 0.0423251
Gen 2400: best_fit = 0.0422595
Gen 2450: best_fit = 0.0421974
Gen 2500: best_fit = 0.0420201
Gen 2550: best_fit = 0.0419625
Gen 2600: best_fit = 0.0418241
Gen 2650: best_fit = 0.0416801
Gen 2700: best_fit = 0.0416009
Gen 2750: best_fit = 0.0415522
Gen 2800: best_fit = 0.0414872
Gen 2850: best_fit = 0.0414113
Gen 2900: best_fit = 0.0413684
Gen 2950: best_fit = 0.0412982
Gen 3000: best_fit = 0.0412454
Gen 3050: best_fit = 0.0411907
Gen 3100: best_fit = 0.0410673
Gen 3150: best_fit = 0.0409631
Gen 3200: best_fit = 0.0409262
Gen 3250: best_fit = 0.0408998
Gen 3300: best_fit = 0.0408852
Gen 3350: best_fit = 0.0407688
Gen 3400: best_fit = 0.0407069
Gen 3450: best_fit = 0.040649
Gen 3500: best_fit = 0.0406399
Gen 3550: best_fit = 0.0406139
Gen 3600: best_fit = 0.0405892
Gen 3650: best_fit = 0.0405427
Gen 3700: best_fit = 0.0405212
Gen 3750: best_fit = 0.0404768
Gen 3800: best_fit = 0.0404031
Gen 3850: best_fit = 0.0403515
Gen 3900: best_fit = 0.0403134
Gen 3950: best_fit = 0.040287
Gen 4000: best_fit = 0.0402735
Gen 4050: best_fit = 0.0402082
Gen 4100: best_fit = 0.0401763
Gen 4150: best_fit = 0.0400901
Gen 4200: best_fit = 0.0399985
Gen 4250: best_fit = 0.0398359
Gen 4300: best_fit = 0.0397943
Gen 4350: best_fit = 0.039752
Gen 4400: best_fit = 0.0397495
Gen 4450: best_fit = 0.0396779
Gen 4500: best_fit = 0.0396294
Gen 4550: best_fit = 0.0395922
Gen 4600: best_fit = 0.0395711
Gen 4650: best_fit = 0.0395396
Gen 4700: best_fit = 0.0395099
Gen 4750: best_fit = 0.0394697
Gen 4800: best_fit = 0.0394498
Gen 4850: best_fit = 0.0394494
Gen 4900: best_fit = 0.0394229
Gen 4950: best_fit = 0.0394209
Gen 5000: best_fit = 0.0394185
Gen 5050: best_fit = 0.0394172
Gen 5100: best_fit = 0.0394013
Gen 5150: best_fit = 0.0393853
Gen 5200: best_fit = 0.0393329
Gen 5250: best_fit = 0.0393319
Gen 5300: best_fit = 0.0393278
Gen 5350: best_fit = 0.0393161
Gen 5400: best_fit = 0.0392988
Gen 5450: best_fit = 0.039293
Gen 5500: best_fit = 0.0392712
Gen 5550: best_fit = 0.0392384
Gen 5600: best_fit = 0.0392384
Gen 5650: best_fit = 0.0392294
Gen 5700: best_fit = 0.0391973
Gen 5750: best_fit = 0.0391805
Gen 5800: best_fit = 0.0391706
Gen 5850: best_fit = 0.0391546
Gen 5900: best_fit = 0.0391449
Gen 5950: best_fit = 0.0391275
Gen 6000: best_fit = 0.0391138
Gen 6050: best_fit = 0.0391105
Gen 6100: best_fit = 0.0391056
Gen 6150: best_fit = 0.0390801
Gen 6200: best_fit = 0.0390569
Gen 6250: best_fit = 0.0390376
Gen 6300: best_fit = 0.0390303
Gen 6350: best_fit = 0.0390179
Gen 6400: best_fit = 0.0390055
Gen 6450: best_fit = 0.0389964
Gen 6500: best_fit = 0.0389928
Gen 6550: best_fit = 0.0389765
Gen 6600: best_fit = 0.0389747
Gen 6650: best_fit = 0.0389706
Gen 6700: best_fit = 0.0389463
Gen 6750: best_fit = 0.0389279
Gen 6800: best_fit = 0.0389247
Gen 6850: best_fit = 0.0389064
Gen 6900: best_fit = 0.0388839
Gen 6950: best_fit = 0.0388758
Gen 7000: best_fit = 0.038865
Gen 7050: best_fit = 0.0388636
Gen 7100: best_fit = 0.0388549
Gen 7150: best_fit = 0.0388482
Gen 7200: best_fit = 0.0388393
Gen 7250: best_fit = 0.038826
Gen 7300: best_fit = 0.0388224
Gen 7350: best_fit = 0.0388202
Gen 7400: best_fit = 0.0388069
Gen 7450: best_fit = 0.0388059
Gen 7500: best_fit = 0.0387955
Gen 7550: best_fit = 0.0387906
Gen 7600: best_fit = 0.0387697
Gen 7650: best_fit = 0.0387666
Gen 7700: best_fit = 0.0387606
Gen 7750: best_fit = 0.0387555
Gen 7800: best_fit = 0.0387414
Gen 7850: best_fit = 0.0387247
Gen 7900: best_fit = 0.0387166
Gen 7950: best_fit = 0.0387077
Gen 8000: best_fit = 0.038695
Gen 8050: best_fit = 0.0386931
Gen 8100: best_fit = 0.0386759
Gen 8150: best_fit = 0.0386685
Gen 8200: best_fit = 0.0386604
Gen 8250: best_fit = 0.0386556
Gen 8300: best_fit = 0.0386305
Gen 8350: best_fit = 0.0385999
Gen 8400: best_fit = 0.0385958
Gen 8450: best_fit = 0.0385622
Gen 8500: best_fit = 0.0385526
Gen 8550: best_fit = 0.0385484
Gen 8600: best_fit = 0.0385435
Gen 8650: best_fit = 0.0385285
Gen 8700: best_fit = 0.0385279
Gen 8750: best_fit = 0.0384879
Gen 8800: best_fit = 0.0384787
Gen 8850: best_fit = 0.0384687
Gen 8900: best_fit = 0.0384631
Gen 8950: best_fit = 0.0384606
Gen 9000: best_fit = 0.0384573
Gen 9050: best_fit = 0.0384229
Gen 9100: best_fit = 0.0384169
Gen 9150: best_fit = 0.0384112
Gen 9200: best_fit = 0.0384094
Gen 9250: best_fit = 0.0384068
Gen 9300: best_fit = 0.0384004
Gen 9350: best_fit = 0.038396
Gen 9400: best_fit = 0.0383739
Gen 9450: best_fit = 0.0383654
Gen 9500: best_fit = 0.0383616
Gen 9550: best_fit = 0.0383615
Gen 9600: best_fit = 0.0383593
Gen 9650: best_fit = 0.0383558
Gen 9700: best_fit = 0.0383558
Gen 9750: best_fit = 0.0383486
Gen 9800: best_fit = 0.0383317
Gen 9850: best_fit = 0.038322
Gen 9900: best_fit = 0.0383213
Gen 9950: best_fit = 0.0383177
Gen 10000: best_fit = 0.038311

=== Final Results (CC-HIHH-UCB) ===
Solver: CCHIHH
Subpopulations per block: 8
Generations = 10000
The best solution = 0.038311
CCHIHH gate_blocked_total = 4924
CCHIHH gate_fallback_total = 4924
Time = 75.829 s

exit code 0
