gen,stable_true_gate15 mean,stable_true_gate15 var,stable_false mean,stable_false var
50,0.054951530000000005,1.4698069180999992e-06,0.054410650000000005,9.020460925000016e-07
100,0.05077222,1.2715007896000007e-06,0.05104923,1.647268040999995e-07
150,0.0483989,1.9073182440000005e-06,0.04887852,1.0937686095999987e-06
200,0.04633273,2.261669518099999e-06,0.04741006,2.119806942400003e-06
250,0.04471117,2.5283377561000013e-06,0.04631731,2.7711698088999996e-06
300,0.04326386,2.443367184400003e-06,0.045315430000000004,3.2286774460999993e-06
350,0.04205097,2.225077708100003e-06,0.044385629999999995,3.5911171081000024e-06
400,0.04103797,2.3414476880999972e-06,0.04356046,4.047660982400001e-06
450,0.04016045,2.1315906804999977e-06,0.042745860000000004,4.074218936399994e-06
500,0.03921657,1.542356182099999e-06,0.04207245,4.250817020500003e-06
550,0.03856933,1.195912202100001e-06,0.04140974,4.7763873704e-06
600,0.03796998,9.875438316000008e-07,0.0407169,4.728144882000003e-06
650,0.037428420000000004,8.103502955999986e-07,0.04024713,4.600647190100002e-06
700,0.03693554,7.216993223999983e-07,0.039753720000000006,4.254494509599995e-06
750,0.03653255,6.615466864999995e-07,0.03924021,4.182938134900001e-06
800,0.03615397,6.362981500999995e-07,0.03881044,3.9419782904e-06
850,0.03575997,5.098753020999996e-07,0.038402069999999996,3.865222796099999e-06
900,0.03540414,4.392320924000003e-07,0.03800796,3.562408440400002e-06
950,0.03507674,4.1651214039999934e-07,0.03761787,3.4948787220999993e-06
1000,0.03478786,3.747360184000004e-07,0.03729932,3.1618079596000014e-06
1050,0.03450981,3.1886206690000047e-07,0.03698669,2.8939274049e-06
1100,0.03425203,2.850116500999993e-07,0.03670999,2.666840766900001e-06
1150,0.03399585,2.762482765000003e-07,0.03639463,2.546867290100003e-06
1200,0.03377299,2.598189608999997e-07,0.03604285,2.4701890645e-06
1250,0.033553,2.7736335799999994e-07,0.03574472,2.2000421575999996e-06
1300,0.03327581,2.3312343690000105e-07,0.03551687,2.1187611881000017e-06
1350,0.03306672,2.3696172959999952e-07,0.03528343,1.9314957320999963e-06
1400,0.03285421,2.377137108999993e-07,0.035039759999999996,1.6860249503999985e-06
1450,0.0326461,1.9632709000000028e-07,0.03482939,1.5379763969000016e-06
1500,0.03247861,1.8744605089999942e-07,0.03460296,1.4883476583999993e-06
1550,0.03230677,1.8705507209999886e-07,0.03439925,1.4419181524999992e-06
1600,0.03212843,1.642291521000001e-07,0.03419642,1.4486504235999996e-06
1650,0.03196311,1.6777215289999966e-07,0.03401339,1.3941788049e-06
1700,0.0318148,1.745586639999995e-07,0.03381786,1.3684260144000014e-06
1750,0.03164106,1.762573664000005e-07,0.033635280000000004,1.2898463395999998e-06
1800,0.03148089,1.7366225489999956e-07,0.03346806,1.239819200400002e-06
1850,0.03133661,1.7052754490000053e-07,0.033302,1.168574379999999e-06
1900,0.031193969999999998,1.7084645009999987e-07,0.03312582,1.1238275916000006e-06
1950,0.031075399999999996,1.6156936199999944e-07,0.03295654,1.0531065224000002e-06
2000,0.03097783,1.455678621000002e-07,0.032826690000000006,1.011818096899999e-06
2050,0.030868529999999998,1.3485535009999944e-07,0.03268689,9.947345648999996e-07
2100,0.03076016,1.4453575439999987e-07,0.03253865,9.794083604999992e-07
2150,0.03066043,1.515455880999998e-07,0.03240282,9.770708136000028e-07
2200,0.03052786,1.635575403999997e-07,0.032276860000000004,9.603282503999985e-07
2250,0.030408599999999997,1.5597964200000005e-07,0.03215018,9.249361675999993e-07
2300,0.03031036,1.5302438239999992e-07,0.03202547,8.757072600999992e-07
2350,0.030215749999999996,1.6325743849999978e-07,0.03189815,8.33849674499999e-07
2400,0.030118689999999997,1.6406967890000036e-07,0.031787710000000004,7.84554208900001e-07
2450,0.03002374,1.7918035040000018e-07,0.031672729999999996,7.447568401000001e-07
2500,0.029923490000000004,1.8461821490000006e-07,0.0315847,7.671196059999995e-07
2550,0.029834640000000003,1.9580321440000028e-07,0.03148597,7.535841341000014e-07
2600,0.029764230000000003,2.062535300999999e-07,0.03139398,7.728433676000019e-07
2650,0.02968364,2.0727431839999992e-07,0.031298389999999995,7.545112628999982e-07
2700,0.02958848,2.0963777760000002e-07,0.03120265,7.866588945000011e-07
2750,0.02950098,2.1974239960000066e-07,0.031123210000000002,7.981698448999987e-07
2800,0.029422379999999998,2.2683457559999973e-07,0.0310508,7.762833960000003e-07
2850,0.02932476,2.5183042639999925e-07,0.030958560000000003,7.511166244e-07
2900,0.029249340000000002,2.655593184e-07,0.03087956,7.09045812400001e-07
2950,0.029162630000000002,2.6860218409999964e-07,0.030818699999999997,6.880023939999991e-07
3000,0.029069119999999997,2.7689013760000035e-07,0.03072434,6.585261743999995e-07
3050,0.02899008,2.7238804959999985e-07,0.030655850000000002,6.270682945000001e-07
3100,0.02891745,2.907702904999997e-07,0.03058843,6.030640320999999e-07
3150,0.028847489999999996,2.972488709000003e-07,0.03053057,5.832745301000005e-07
3200,0.028782429999999998,3.0149851409999987e-07,0.03047112,6.002804316000004e-07
3250,0.028714339999999998,3.0240280240000036e-07,0.03041278,5.892143636e-07
3300,0.028671629999999997,3.1803974610000006e-07,0.030359370000000004,5.626351860999997e-07
3350,0.028644350000000002,3.3188125249999997e-07,0.03029661,5.715339128999993e-07
3400,0.02858599,3.306390728999997e-07,0.03025118,5.811504756000003e-07
3450,0.02853102,3.317302176e-07,0.03021358,5.954796656000003e-07
3500,0.02849565,3.2996918650000016e-07,0.03016563,6.063505641000007e-07
3550,0.02843834,3.3883161039999965e-07,0.030120590000000003,6.084881788999997e-07
3600,0.02841163,3.349486481e-07,0.03006825,6.174783325000006e-07
3650,0.028384029999999998,3.402885581000005e-07,0.030004350000000003,6.130113525000003e-07
3700,0.028330070000000002,3.5189595009999986e-07,0.029958560000000002,5.950235624000005e-07
3750,0.02828144,3.549899804e-07,0.029916520000000002,5.939786536000006e-07
3800,0.02823853,3.6664979410000014e-07,0.02988365,5.777759524999997e-07
3850,0.028189380000000003,3.8506842159999953e-07,0.02986031,5.683260748999996e-07
3900,0.02815432,3.937026556e-07,0.029833389999999998,5.547855149000009e-07
3950,0.02810502,4.23977017600001e-07,0.02978459,5.410836768999998e-07
4000,0.0280657,4.3639291600000116e-07,0.029749750000000002,5.277648804999998e-07
4050,0.028032099999999997,4.415078999999996e-07,0.02970846,5.214843704000005e-07
4100,0.0279825,4.5837379599999995e-07,0.0296642,5.154626479999998e-07
4150,0.027944010000000002,4.739619989000004e-07,0.02961615,5.105022265000005e-07
4200,0.02791495,4.7449144649999986e-07,0.02957995,4.994817304999999e-07
4250,0.02788727,4.523568361000006e-07,0.02953732,4.851967115999993e-07
4300,0.0278415,4.572852900000005e-07,0.02949711,4.7005796090000027e-07
4350,0.02780377,4.7411664810000026e-07,0.02944889,4.4866464890000006e-07
4400,0.02777648,4.773608575999995e-07,0.029403630000000004,4.444834101000001e-07
4450,0.02775631,4.799520469e-07,0.029369899999999997,4.309301160000002e-07
4500,0.027741710000000003,4.881028788999999e-07,0.029342059999999996,4.1706470239999984e-07
4550,0.02772213,4.991826041000004e-07,0.029308820000000003,4.021817175999991e-07
4600,0.02770034,5.149181643999998e-07,0.029282429999999998,3.815876980999999e-07
4650,0.02767772,5.305913235999995e-07,0.02924794,3.7925870640000087e-07
4700,0.02764875,5.584364244999998e-07,0.02920106,3.8260109439999987e-07
4750,0.027625860000000002,5.767191664000003e-07,0.029164459999999996,3.660983063999998e-07
4800,0.02759569,6.070775709000003e-07,0.02913295,3.5795411050000046e-07
4850,0.02757983,6.229243600999993e-07,0.02910806,3.493365483999999e-07
4900,0.027557530000000004,6.328364560999995e-07,0.02906855,3.302996204999997e-07
4950,0.02752761,6.396923288999995e-07,0.029030060000000003,3.2146843039999966e-07
5000,0.027491179999999997,6.379636655999995e-07,0.028996840000000003,3.188235384000001e-07
5050,0.02746623,6.393436101000006e-07,0.02895566,3.140811084000004e-07
5100,0.027452880000000002,6.494154896000003e-07,0.02892494,3.1069110239999973e-07
5150,0.027426440000000003,6.688470844000013e-07,0.02887548,3.176546156000003e-07
5200,0.027415279999999997,6.585844136000002e-07,0.02884875,3.194793584999996e-07
5250,0.02740757,6.560727780999996e-07,0.028817159999999998,3.1675637240000036e-07
5300,0.02739059,6.675450969000004e-07,0.028784720000000003,3.232625295999996e-07
5350,0.02737229,6.630837769000002e-07,0.02875506,3.2479125440000007e-07
5400,0.0273502,6.737710459999999e-07,0.02872535,3.270447005000002e-07
5450,0.02732777,6.852214200999992e-07,0.02869795,3.223844304999999e-07
5500,0.02730978,6.982332196000005e-07,0.02866192,3.194122095999997e-07
5550,0.027296090000000002,6.933174189000002e-07,0.02863091,3.2390146689999994e-07
5600,0.027273730000000003,7.020332820999996e-07,0.02860082,3.2608711159999937e-07
5650,0.027256930000000002,7.055620901000005e-07,0.02857679,3.2371513290000005e-07
5700,0.02723711,7.191018069000008e-07,0.0285439,3.1896373600000026e-07
5750,0.0272137,7.349871200000007e-07,0.02852149,3.1957678889999977e-07
5800,0.02718178,7.387538596000001e-07,0.028492079999999996,3.153727676000001e-07
5850,0.02716608,7.382384496000001e-07,0.028462969999999997,3.0073076609999975e-07
5900,0.02714901,7.388335288999992e-07,0.028438960000000003,2.901193324000004e-07
5950,0.02713101,7.525407308999991e-07,0.028412120000000003,2.8460598960000014e-07
6000,0.02711865,7.584295125000001e-07,0.02838047,2.753097820999996e-07
6050,0.027111049999999998,7.618233304999998e-07,0.028345389999999998,2.585674949000004e-07
6100,0.02708995,7.541784125000001e-07,0.0283093,2.679585740000002e-07
6150,0.02707616,7.50517508400001e-07,0.02827831,2.710989729000005e-07
6200,0.02706215,7.588965965000007e-07,0.028245179999999998,2.743714335999995e-07
6250,0.027054089999999996,7.583291129000002e-07,0.02821732,2.7836289160000015e-07
6300,0.02703766,7.764099403999994e-07,0.02818966,2.813871364000002e-07
6350,0.027020489999999998,7.911066708999997e-07,0.028161770000000003,2.8674731810000045e-07
6400,0.026999659999999998,8.007350084e-07,0.02813544,2.919858324000004e-07
6450,0.026966570000000002,7.577491381000003e-07,0.02810672,2.9394823960000016e-07
6500,0.026947660000000002,7.646771224e-07,0.028079609999999998,3.0112908090000024e-07
6550,0.026932679999999997,7.622817295999993e-07,0.0280554,3.0385329400000037e-07
6600,0.02691613,7.492054480999995e-07,0.02801944,3.088799203999999e-07
