Command: 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\build_ablation\Release\CED_Schedule.exe' --solver CCHIHH --resample_gate 0 --seed 8 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\璁烘枃\CED_schedule_Final\data' --data_file data_matrix_T500_E200_D800.txt --cnum 200 --enum 200 --dnum 800 --tnum 500 --mopt 5
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data"
Data file: data_matrix_T500_E200_D800.txt
Generations: 10000
Population size: 40
Random seed: 8
Pini (heuristic prob): 0.4
Objective alpha: 0.5
Solver: CCHIHH
Cnum/Enum/Dnum/Tnum/Mopt: 200/200/800/500/5
Migration: disabled
CCHIHH gate: disabled
CCHIHH blocks: enabled
CCHIHH migration: enabled
CCHIHH bandit: enabled
CCHIHH fixed ops: disabled
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\论文\\CED_schedule_Final\\data\\data_matrix_T500_E200_D800.txt"
[Normalization] f1_ref (makespan) = 47474.5
[Normalization] f2_ref (energy) = 5813.88
[Normalization] alpha = 0.5

=== Running CC-HIHH-UCB Solver ===
[CC-HIHH] Initializing solver...
  CE_Tnum=500, M_Jnum=500, M_OPTnum=5, ops=2500
  Nvar=6000, popsize=40, nSubpop=8
  Block 0 (offload): start=0, len=1000
  Block 1 (seq): start=1000, len=2500
  Block 2 (dev): start=3500, len=2500
[CC-HIHH] Initial evaluation...
[CC-HIHH] Initial gbest_fit = 0.0665847
Gen 50: best_fit = 0.0536883
Gen 100: best_fit = 0.0509329
Gen 150: best_fit = 0.0484646
Gen 200: best_fit = 0.0466441
Gen 250: best_fit = 0.0454897
Gen 300: best_fit = 0.0446262
Gen 350: best_fit = 0.0435474
Gen 400: best_fit = 0.0429321
Gen 450: best_fit = 0.042381
Gen 500: best_fit = 0.0419002
Gen 550: best_fit = 0.0412058
Gen 600: best_fit = 0.0399068
Gen 650: best_fit = 0.0395696
Gen 700: best_fit = 0.0390597
Gen 750: best_fit = 0.0386485
Gen 800: best_fit = 0.0383401
Gen 850: best_fit = 0.0379209
Gen 900: best_fit = 0.0377019
Gen 950: best_fit = 0.0374071
Gen 1000: best_fit = 0.0370538
Gen 1050: best_fit = 0.0368229
Gen 1100: best_fit = 0.0363953
Gen 1150: best_fit = 0.0360705
Gen 1200: best_fit = 0.0356955
Gen 1250: best_fit = 0.0354549
Gen 1300: best_fit = 0.0351735
Gen 1350: best_fit = 0.0349793
Gen 1400: best_fit = 0.0348094
Gen 1450: best_fit = 0.0346073
Gen 1500: best_fit = 0.0344037
Gen 1550: best_fit = 0.0341859
Gen 1600: best_fit = 0.034022
Gen 1650: best_fit = 0.0338561
Gen 1700: best_fit = 0.0336088
Gen 1750: best_fit = 0.03347
Gen 1800: best_fit = 0.0332745
Gen 1850: best_fit = 0.0331698
Gen 1900: best_fit = 0.0330594
Gen 1950: best_fit = 0.0329164
Gen 2000: best_fit = 0.0328311
Gen 2050: best_fit = 0.0327195
Gen 2100: best_fit = 0.0325607
Gen 2150: best_fit = 0.0324505
Gen 2200: best_fit = 0.0323287
Gen 2250: best_fit = 0.0321701
Gen 2300: best_fit = 0.0321059
Gen 2350: best_fit = 0.0319733
Gen 2400: best_fit = 0.0318697
Gen 2450: best_fit = 0.0317633
Gen 2500: best_fit = 0.0316807
Gen 2550: best_fit = 0.0315852
Gen 2600: best_fit = 0.0314873
Gen 2650: best_fit = 0.0313561
Gen 2700: best_fit = 0.0312889
Gen 2750: best_fit = 0.0311996
Gen 2800: best_fit = 0.0311243
Gen 2850: best_fit = 0.0310106
Gen 2900: best_fit = 0.0309085
Gen 2950: best_fit = 0.0308347
Gen 3000: best_fit = 0.0307202
Gen 3050: best_fit = 0.030648
Gen 3100: best_fit = 0.030558
Gen 3150: best_fit = 0.030492
Gen 3200: best_fit = 0.0304092
Gen 3250: best_fit = 0.0303497
Gen 3300: best_fit = 0.0302874
Gen 3350: best_fit = 0.030207
Gen 3400: best_fit = 0.0301731
Gen 3450: best_fit = 0.0301537
Gen 3500: best_fit = 0.0301536
Gen 3550: best_fit = 0.0301105
Gen 3600: best_fit = 0.0300391
Gen 3650: best_fit = 0.0300117
Gen 3700: best_fit = 0.0300117
Gen 3750: best_fit = 0.0299565
Gen 3800: best_fit = 0.0299085
Gen 3850: best_fit = 0.0298723
Gen 3900: best_fit = 0.0297943
Gen 3950: best_fit = 0.0297574
Gen 4000: best_fit = 0.0297339
Gen 4050: best_fit = 0.029694
Gen 4100: best_fit = 0.0296632
Gen 4150: best_fit = 0.0296423
Gen 4200: best_fit = 0.0296423
Gen 4250: best_fit = 0.0296263
Gen 4300: best_fit = 0.0296092
Gen 4350: best_fit = 0.0296012
Gen 4400: best_fit = 0.0295658
Gen 4450: best_fit = 0.029483
Gen 4500: best_fit = 0.0294388
Gen 4550: best_fit = 0.0293785
Gen 4600: best_fit = 0.0293391
Gen 4650: best_fit = 0.0292986
Gen 4700: best_fit = 0.0292572
Gen 4750: best_fit = 0.0292411
Gen 4800: best_fit = 0.0292411
Gen 4850: best_fit = 0.0292411
Gen 4900: best_fit = 0.0292029
Gen 4950: best_fit = 0.0291967
Gen 5000: best_fit = 0.0291652
Gen 5050: best_fit = 0.0291246
Gen 5100: best_fit = 0.0291246
Gen 5150: best_fit = 0.0290762
Gen 5200: best_fit = 0.0290748
Gen 5250: best_fit = 0.0290748
Gen 5300: best_fit = 0.0290438
Gen 5350: best_fit = 0.0290154
Gen 5400: best_fit = 0.0289828
Gen 5450: best_fit = 0.0289657
Gen 5500: best_fit = 0.0289657
Gen 5550: best_fit = 0.0289657
Gen 5600: best_fit = 0.0289049
Gen 5650: best_fit = 0.0288649
Gen 5700: best_fit = 0.0288388
Gen 5750: best_fit = 0.0288388
Gen 5800: best_fit = 0.0288388
Gen 5850: best_fit = 0.0288387
Gen 5900: best_fit = 0.028833
Gen 5950: best_fit = 0.0288024
Gen 6000: best_fit = 0.0287778
Gen 6050: best_fit = 0.0287198
Gen 6100: best_fit = 0.0286905
Gen 6150: best_fit = 0.0286655
Gen 6200: best_fit = 0.0286171
Gen 6250: best_fit = 0.0285928
Gen 6300: best_fit = 0.028552
Gen 6350: best_fit = 0.0285087
Gen 6400: best_fit = 0.0284722
Gen 6450: best_fit = 0.0284234
Gen 6500: best_fit = 0.0283916
Gen 6550: best_fit = 0.0283638
Gen 6600: best_fit = 0.0282427
Gen 6650: best_fit = 0.0282051
Gen 6700: best_fit = 0.0281762
Gen 6750: best_fit = 0.0281527
Gen 6800: best_fit = 0.028116
Gen 6850: best_fit = 0.0280908
Gen 6900: best_fit = 0.0280552
Gen 6950: best_fit = 0.0280111
Gen 7000: best_fit = 0.0279756
Gen 7050: best_fit = 0.0279542
Gen 7100: best_fit = 0.0279354
Gen 7150: best_fit = 0.0279187
Gen 7200: best_fit = 0.0278836
Gen 7250: best_fit = 0.0278684
Gen 7300: best_fit = 0.0278462
Gen 7350: best_fit = 0.0278291
Gen 7400: best_fit = 0.0278136
Gen 7450: best_fit = 0.0278003
Gen 7500: best_fit = 0.0277601
Gen 7550: best_fit = 0.0277221
Gen 7600: best_fit = 0.0276947
Gen 7650: best_fit = 0.0276772
Gen 7700: best_fit = 0.0276613
