gen,offload_GA,offload_DE,offload_BITFLIP,offload_RESAMPLE,seq_GA,seq_SWAP,seq_VNS,seq_RESAMPLE,dev_DE,dev_GDE,dev_LEVY,dev_RESAMPLE,overall_GA,overall_DE,overall_GDE,overall_BITFLIP,overall_SWAP,overall_VNS,overall_LEVY,overall_RESAMPLE
50,0.195,0.6925,0.0825,0.03,0.09,0.88,0.0225,0.0075,0.275,0.6675,0.0275,0.03,0.095,0.3225,0.2225,0.0275,0.293333,0.0075,0.00916667,0.0225
100,0.32,0.505,0.175,0,0.3125,0.6525,0.035,0,0.8175,0.125,0.055,0.0025,0.210833,0.440833,0.0416667,0.0583333,0.2175,0.0116667,0.0183333,0.000833333
150,0.2725,0.635,0.0925,0,0.2375,0.57,0.1875,0.005,0.36,0.43,0.2075,0.0025,0.17,0.331667,0.143333,0.0308333,0.19,0.0625,0.0691667,0.0025
200,0.315,0.5125,0.17,0.0025,0.3325,0.515,0.1525,0,0.2625,0.5475,0.1875,0.0025,0.215833,0.258333,0.1825,0.0566667,0.171667,0.0508333,0.0625,0.00166667
250,0.4525,0.395,0.1525,0,0.3375,0.4675,0.195,0,0.155,0.745,0.0975,0.0025,0.263333,0.183333,0.248333,0.0508333,0.155833,0.065,0.0325,0.000833333
300,0.345,0.5075,0.1425,0.005,0.2375,0.59,0.1725,0,0.4475,0.445,0.1075,0,0.194167,0.318333,0.148333,0.0475,0.196667,0.0575,0.0358333,0.00166667
350,0.4725,0.3775,0.0175,0.1325,0.2275,0.685,0.0875,0,0.4925,0.425,0.0825,0,0.233333,0.29,0.141667,0.00583333,0.228333,0.0291667,0.0275,0.0441667
400,0.5025,0.3325,0.035,0.13,0.3175,0.43,0.2525,0,0.37,0.52,0.1075,0.0025,0.273333,0.234167,0.173333,0.0116667,0.143333,0.0841667,0.0358333,0.0441667
450,0.4825,0.375,0.0175,0.125,0.2875,0.5875,0.125,0,0.2825,0.6875,0.03,0,0.256667,0.219167,0.229167,0.00583333,0.195833,0.0416667,0.01,0.0416667
500,0.425,0.4375,0.015,0.1225,0.22,0.5475,0.23,0.0025,0.295,0.675,0.03,0,0.215,0.244167,0.225,0.005,0.1825,0.0766667,0.01,0.0416667
550,0.355,0.4925,0.0275,0.125,0.37,0.42,0.21,0,0.44,0.4125,0.1475,0,0.241667,0.310833,0.1375,0.00916667,0.14,0.07,0.0491667,0.0416667
600,0.33,0.5325,0.015,0.1225,0.24,0.5225,0.2375,0,0.42,0.565,0.015,0,0.19,0.3175,0.188333,0.005,0.174167,0.0791667,0.005,0.0408333
650,0.395,0.54,0.04,0.025,0.355,0.37,0.275,0,0.585,0.315,0.1,0,0.25,0.375,0.105,0.0133333,0.123333,0.0916667,0.0333333,0.00833333
700,0.39,0.4925,0.1175,0,0.4,0.3825,0.215,0.0025,0.405,0.5125,0.0825,0,0.263333,0.299167,0.170833,0.0391667,0.1275,0.0716667,0.0275,0.000833333
750,0.42,0.45,0.045,0.085,0.4425,0.315,0.2425,0,0.455,0.385,0.16,0,0.2875,0.301667,0.128333,0.015,0.105,0.0808333,0.0533333,0.0283333
800,0.4425,0.415,0.0225,0.12,0.3375,0.285,0.3775,0,0.47,0.4525,0.0775,0,0.26,0.295,0.150833,0.0075,0.095,0.125833,0.0258333,0.04
850,0.55,0.315,0.01,0.125,0.3375,0.245,0.4175,0,0.5875,0.335,0.0775,0,0.295833,0.300833,0.111667,0.00333333,0.0816667,0.139167,0.0258333,0.0416667
900,0.585,0.295,0.0625,0.0575,0.4375,0.23,0.3325,0,0.7125,0.16,0.1275,0,0.340833,0.335833,0.0533333,0.0208333,0.0766667,0.110833,0.0425,0.0191667
950,0.535,0.3375,0.1275,0,0.245,0.3775,0.3775,0,0.5625,0.195,0.2425,0,0.26,0.3,0.065,0.0425,0.125833,0.125833,0.0808333,0
1000,0.585,0.31,0.105,0,0.2375,0.3325,0.43,0,0.5975,0.2825,0.12,0,0.274167,0.3025,0.0941667,0.035,0.110833,0.143333,0.04,0
1050,0.555,0.3325,0.0675,0.045,0.3775,0.22,0.4,0.0025,0.59,0.2925,0.1175,0,0.310833,0.3075,0.0975,0.0225,0.0733333,0.133333,0.0391667,0.0158333
1100,0.55,0.3275,0.09,0.0325,0.625,0.1575,0.2175,0,0.825,0.1075,0.0675,0,0.391667,0.384167,0.0358333,0.03,0.0525,0.0725,0.0225,0.0108333
1150,0.49,0.3875,0.1225,0,0.3675,0.21,0.4225,0,0.7175,0.2075,0.075,0,0.285833,0.368333,0.0691667,0.0408333,0.07,0.140833,0.025,0
1200,0.4575,0.41,0.1325,0,0.4325,0.195,0.3725,0,0.5825,0.255,0.1625,0,0.296667,0.330833,0.085,0.0441667,0.065,0.124167,0.0541667,0
1250,0.48,0.3925,0.1275,0,0.4125,0.245,0.3425,0,0.5725,0.235,0.1925,0,0.2975,0.321667,0.0783333,0.0425,0.0816667,0.114167,0.0641667,0
1300,0.5875,0.305,0.1075,0,0.4225,0.1975,0.3775,0.0025,0.505,0.29,0.205,0,0.336667,0.27,0.0966667,0.0358333,0.0658333,0.125833,0.0683333,0.000833333
1350,0.5525,0.315,0.055,0.0775,0.455,0.195,0.35,0,0.6525,0.1975,0.15,0,0.335833,0.3225,0.0658333,0.0183333,0.065,0.116667,0.05,0.0258333
1400,0.5525,0.35,0.0975,0,0.42,0.2125,0.3675,0,0.6275,0.1975,0.175,0,0.324167,0.325833,0.0658333,0.0325,0.0708333,0.1225,0.0583333,0
1450,0.5025,0.46,0.0375,0,0.385,0.2675,0.3475,0,0.58,0.285,0.135,0,0.295833,0.346667,0.095,0.0125,0.0891667,0.115833,0.045,0
1500,0.425,0.5175,0.0575,0,0.4725,0.22,0.3075,0,0.505,0.315,0.18,0,0.299167,0.340833,0.105,0.0191667,0.0733333,0.1025,0.06,0
1550,0.545,0.34,0.115,0,0.4775,0.1975,0.325,0,0.61,0.23,0.16,0,0.340833,0.316667,0.0766667,0.0383333,0.0658333,0.108333,0.0533333,0
1600,0.4775,0.4,0.1225,0,0.375,0.25,0.375,0,0.51,0.265,0.225,0,0.284167,0.303333,0.0883333,0.0408333,0.0833333,0.125,0.075,0
1650,0.59,0.2925,0.1175,0,0.3325,0.26,0.4075,0,0.51,0.3075,0.1825,0,0.3075,0.2675,0.1025,0.0391667,0.0866667,0.135833,0.0608333,0
1700,0.565,0.3675,0.0675,0,0.3775,0.27,0.3525,0,0.3525,0.4575,0.19,0,0.314167,0.24,0.1525,0.0225,0.09,0.1175,0.0633333,0
1750,0.4925,0.3725,0.135,0,0.3825,0.235,0.3825,0,0.515,0.33,0.155,0,0.291667,0.295833,0.11,0.045,0.0783333,0.1275,0.0516667,0
1800,0.435,0.4275,0.1375,0,0.305,0.25,0.445,0,0.4225,0.355,0.2225,0,0.246667,0.283333,0.118333,0.0458333,0.0833333,0.148333,0.0741667,0
1850,0.6075,0.2975,0.095,0,0.3,0.2825,0.4175,0,0.54,0.3075,0.1525,0,0.3025,0.279167,0.1025,0.0316667,0.0941667,0.139167,0.0508333,0
1900,0.39,0.4675,0.1425,0,0.3025,0.2425,0.455,0,0.585,0.2825,0.1325,0,0.230833,0.350833,0.0941667,0.0475,0.0808333,0.151667,0.0441667,0
1950,0.4525,0.4675,0.08,0,0.385,0.22,0.395,0,0.5875,0.2225,0.19,0,0.279167,0.351667,0.0741667,0.0266667,0.0733333,0.131667,0.0633333,0
2000,0.495,0.3825,0.1225,0,0.4025,0.2325,0.365,0,0.52,0.33,0.15,0,0.299167,0.300833,0.11,0.0408333,0.0775,0.121667,0.05,0
2050,0.5875,0.2875,0.125,0,0.3775,0.1825,0.44,0,0.54,0.3,0.16,0,0.321667,0.275833,0.1,0.0416667,0.0608333,0.146667,0.0533333,0
2100,0.5825,0.305,0.1125,0,0.4125,0.22,0.3675,0,0.5075,0.285,0.2075,0,0.331667,0.270833,0.095,0.0375,0.0733333,0.1225,0.0691667,0
2150,0.56,0.33,0.1025,0.0075,0.315,0.2825,0.4025,0,0.5125,0.28,0.2075,0,0.291667,0.280833,0.0933333,0.0341667,0.0941667,0.134167,0.0691667,0.0025
2200,0.5975,0.2575,0.02,0.125,0.335,0.2475,0.4175,0,0.3925,0.3175,0.29,0,0.310833,0.216667,0.105833,0.00666667,0.0825,0.139167,0.0966667,0.0416667
2250,0.33,0.4725,0.1825,0.015,0.21,0.31,0.48,0,0.405,0.3475,0.2475,0,0.18,0.2925,0.115833,0.0608333,0.103333,0.16,0.0825,0.005
2300,0.4375,0.3925,0.17,0,0.325,0.3025,0.3725,0,0.53,0.255,0.215,0,0.254167,0.3075,0.085,0.0566667,0.100833,0.124167,0.0716667,0
2350,0.4675,0.38,0.1525,0,0.3075,0.2375,0.455,0,0.3575,0.4525,0.19,0,0.258333,0.245833,0.150833,0.0508333,0.0791667,0.151667,0.0633333,0
2400,0.6125,0.275,0.1125,0,0.4125,0.2775,0.31,0,0.55,0.275,0.175,0,0.341667,0.275,0.0916667,0.0375,0.0925,0.103333,0.0583333,0
2450,0.56,0.3075,0.1325,0,0.3225,0.25,0.4275,0,0.4325,0.3425,0.225,0,0.294167,0.246667,0.114167,0.0441667,0.0833333,0.1425,0.075,0
2500,0.5825,0.2775,0.14,0,0.4875,0.21,0.3025,0,0.5175,0.3025,0.18,0,0.356667,0.265,0.100833,0.0466667,0.07,0.100833,0.06,0
2550,0.5975,0.275,0.1275,0,0.6225,0.2175,0.16,0,0.53,0.245,0.225,0,0.406667,0.268333,0.0816667,0.0425,0.0725,0.0533333,0.075,0
2600,0.605,0.27,0.125,0,0.4125,0.2275,0.36,0,0.6025,0.265,0.1325,0,0.339167,0.290833,0.0883333,0.0416667,0.0758333,0.12,0.0441667,0
2650,0.59,0.2925,0.1175,0,0.5175,0.275,0.2075,0,0.5325,0.2325,0.235,0,0.369167,0.275,0.0775,0.0391667,0.0916667,0.0691667,0.0783333,0
