gen,GA,DE,GDE,CCHIHH (non-stable),CCHIHH (stable)
1,55.80481612903226,55.80434838709677,55.80339677419355,55.791896774193546,55.791896774193546
2,55.80418709677419,55.80433870967742,55.8028935483871,55.788909677419355,55.788909677419355
3,55.80418709677419,55.80433870967742,55.802354838709675,55.7863064516129,55.78712580645161
4,55.803922580645164,55.80412258064516,55.80114516129032,55.784825806451614,55.78548709677419
5,55.803922580645164,55.804070967741936,55.798806451612904,55.78348064516129,55.78391935483871
6,55.803922580645164,55.804070967741936,55.797829032258065,55.78201612903226,55.782251612903224
7,55.80356451612903,55.804070967741936,55.796474193548384,55.78046451612903,55.78086774193548
8,55.80356451612903,55.80403225806452,55.7947,55.77946129032258,55.7789935483871
9,55.80356451612903,55.80403225806452,55.79328387096774,55.77785161290323,55.77775806451613
10,55.80321612903226,55.80403225806452,55.79268387096774,55.777609677419356,55.77601935483871
11,55.80321612903226,55.80403225806452,55.7913,55.77707419354839,55.77457096774194
12,55.80308709677419,55.803803225806455,55.789109677419354,55.77528064516129,55.773509677419355
13,55.80308709677419,55.80310967741936,55.78803548387097,55.77414838709677,55.77228064516129
14,55.803064516129034,55.80284193548387,55.787225806451616,55.77184193548387,55.771219354838706
15,55.803064516129034,55.80284193548387,55.78643548387097,55.77099677419355,55.76997741935484
16,55.803064516129034,55.80282903225807,55.78548709677419,55.76995161290323,55.76905483870968
17,55.80295483870968,55.80282903225807,55.784867741935486,55.7693935483871,55.767616129032255
18,55.80295483870968,55.80247096774193,55.784248387096774,55.76895161290322,55.76628387096774
19,55.80295483870968,55.80185483870968,55.783303333333336,55.7680935483871,55.76561935483871
20,55.80295483870968,55.801645161290324,55.78250333333333,55.76766451612903,55.76458064516129
21,55.80295483870968,55.800787096774194,55.782243333333334,55.76691935483871,55.76356451612903
22,55.80295483870968,55.80063548387097,55.78178333333334,55.765903225806454,55.7623
23,55.802932258064516,55.80025806451613,55.78106,55.76482258064516,55.760893548387095
24,55.802932258064516,55.79991290322581,55.7803,55.76387741935484,55.7596064516129
25,55.802932258064516,55.799290322580646,55.77930333333333,55.76331290322581,55.75906451612903
26,55.80280322580645,55.79780967741935,55.77878,55.76301290322581,55.75843548387097
27,55.80280322580645,55.79703225806452,55.77807,55.76234516129032,55.75745806451613
28,55.80280322580645,55.7965,55.77771333333333,55.76194838709677,55.75556129032258
29,55.80280322580645,55.795296774193545,55.777253333333334,55.76134193548387,55.754812903225805
30,55.80280322580645,55.79463225806452,55.77654666666667,55.76075161290323,55.7540064516129
31,55.80280322580645,55.794116129032254,55.775776666666665,55.75989677419355,55.75247741935484
32,55.80280322580645,55.793248387096774,55.77498333333333,55.75934516129032,55.75167419354839
33,55.80280322580645,55.79152903225806,55.774766666666665,55.758574193548384,55.750754838709675
34,55.80280322580645,55.79108064516129,55.77425,55.7580064516129,55.749819354838706
35,55.80280322580645,55.790306451612906,55.77400333333333,55.75771612903226,55.74953225806451
36,55.80280322580645,55.788693548387094,55.77312333333333,55.7571129032258,55.74891612903226
37,55.80280322580645,55.788051612903224,55.772980000000004,55.75654838709677,55.74785806451613
38,55.802664516129035,55.78712258064516,55.77268333333333,55.75615806451613,55.74729677419355
39,55.802664516129035,55.785893548387094,55.77184666666667,55.755712903225806,55.746445161290325
40,55.802664516129035,55.78419032258064,55.77126,55.75474193548387,55.74573870967742
41,55.802664516129035,55.78338387096774,55.771006666666665,55.754358064516126,55.74521612903226
42,55.80253548387097,55.781064516129035,55.77030666666667,55.75317096774194,55.74386129032258
43,55.80253548387097,55.7802935483871,55.769800000000004,55.752270967741936,55.74248709677419
44,55.80253548387097,55.779229032258066,55.76967666666667,55.75167419354839,55.74194193548387
45,55.80253548387097,55.77779032258064,55.76920333333333,55.75106129032258,55.74076451612903
46,55.80253548387097,55.7763,55.768753333333336,55.750248387096775,55.740125806451616
47,55.80253548387097,55.7751870967742,55.76812666666667,55.749229032258064,55.738954838709674
48,55.80253548387097,55.774822580645164,55.76775333333333,55.74803225806452,55.738193548387095
49,55.80253548387097,55.773748387096774,55.7676,55.747809677419355,55.73776451612903
50,55.80239677419355,55.77360967741935,55.76752666666667,55.74755161290322,55.7371935483871
51,55.80239677419355,55.77186129032258,55.76724,55.74706774193548,55.736374193548386
52,55.80239677419355,55.771125806451614,55.76654666666667,55.74666129032258,55.7360064516129
53,55.80239677419355,55.77044838709677,55.76601333333333,55.74646129032258,55.73485806451613
54,55.80239677419355,55.76999032258065,55.765406666666664,55.74622258064516,55.73437419354838
55,55.80239677419355,55.76999032258065,55.76508,55.74533548387097,55.73327096774194
56,55.80239677419355,55.76972258064516,55.7648,55.7449935483871,55.7321064516129
57,55.80239677419355,55.76902903225806,55.7647,55.74435806451613,55.730883870967745
58,55.80239677419355,55.76902903225806,55.76435,55.743190322580645,55.72975483870968
59,55.80239677419355,55.76789354838709,55.76385666666667,55.74256451612903,55.72937419354839
60,55.80239677419355,55.76751612903226,55.763753333333334,55.7416,55.728809677419356
61,55.80239677419355,55.76696129032258,55.763463333333334,55.74042580645161,55.72799677419355
62,55.80229677419355,55.76686129032258,55.76307333333333,55.740029032258064,55.72687419354839
63,55.80229677419355,55.76675161290323,55.762836666666665,55.73922258064516,55.725525806451614
64,55.80219677419355,55.765690322580646,55.7626,55.73833548387097,55.724267741935485
65,55.80219677419355,55.76568064516129,55.76235333333334,55.73774193548387,55.72346774193549
66,55.80219677419355,55.765129032258066,55.76225,55.73675806451613,55.722674193548386
67,55.80219677419355,55.76502903225806,55.76184666666666,55.73617741935484,55.72184838709678
68,55.80219677419355,55.76496129032258,55.7612,55.73562903225807,55.72155806451613
69,55.80219677419355,55.76427419354839,55.7612,55.73498064516129,55.72061612903226
70,55.80219677419355,55.764187096774194,55.76079,55.73485161290323,55.72014193548387
71,55.80219677419355,55.76384838709677,55.76042,55.734593548387096,55.7192935483871
72,55.80206774193548,55.76356774193548,55.76018333333333,55.73368709677419,55.71816451612903
73,55.80206774193548,55.76306129032258,55.760036666666664,55.73295483870968,55.717116129032256
74,55.80206774193548,55.76261612903226,55.75926666666667,55.7324064516129,55.71594193548387
75,55.80206774193548,55.76261612903226,55.75924333333333,55.731822580645165,55.715132258064514
76,55.80206774193548,55.76237741935484,55.75924333333333,55.73119677419355,55.713912903225804
77,55.80206774193548,55.76223870967742,55.759006666666664,55.73069677419355,55.71272258064516
78,55.80195806451613,55.76177419354839,55.758873333333334,55.730293548387095,55.71215161290323
79,55.80195806451613,55.76158709677419,55.75874,55.729048387096775,55.71128709677419
80,55.80195806451613,55.76145806451613,55.75824,55.728109677419354,55.71073870967742
81,55.80195806451613,55.7612,55.757706666666664,55.72745806451613,55.70980967741936
82,55.80195806451613,55.76088387096774,55.7573,55.72708387096774,55.70849677419355
83,55.80195806451613,55.76067419354839,55.757176666666666,55.72661612903226,55.707551612903224
84,55.80195806451613,55.76053548387097,55.757176666666666,55.7261,55.706887096774196
85,55.80195806451613,55.76038387096774,55.75669333333333,55.72588387096774,55.70598064516129
86,55.80195806451613,55.76027419354839,55.75640666666667,55.72482580645161,55.70554193548387
87,55.80195806451613,55.7598935483871,55.75617333333334,55.724132258064515,55.70519032258065
88,55.80195806451613,55.75961612903226,55.75604333333334,55.723609677419354,55.704687096774194
89,55.80195806451613,55.75911935483871,55.75581666666667,55.723183870967745,55.703925806451615
90,55.80195806451613,55.75897096774194,55.75560333333333,55.72265806451613,55.70276129032258
91,55.80195806451613,55.75876129032258,55.75518,55.72225161290323,55.70186129032258
92,55.80195806451613,55.75876129032258,55.754956666666665,55.72134193548387,55.7007
93,55.80195806451613,55.75876129032258,55.75485333333334,55.720893548387096,55.69968064516129
94,55.80195806451613,55.75876129032258,55.75458666666667,55.72065483870968,55.698825806451616
95,55.80181935483871,55.7587,55.754463333333334,55.720274193548384,55.698448387096775
96,55.80181935483871,55.7587,55.754216666666665,55.71985483870968,55.6975935483871
97,55.80181935483871,55.75852258064516,55.75418666666667,55.71949677419355,55.6961
98,55.80181935483871,55.758454838709675,55.754083333333334,55.71914516129032,55.69557741935484
99,55.80181935483871,55.758135483870966,55.75395,55.718612903225804,55.69486774193548
100,55.80181935483871,55.758135483870966,55.753683333333335,55.71791612903226,55.694429032258064
101,55.80181935483871,55.758135483870966,55.753456666666665,55.716916129032256,55.69413225806451
102,55.80181935483871,55.75807741935484,55.753456666666665,55.716206451612905,55.69348387096774
103,55.80181935483871,55.75807741935484,55.753456666666665,55.715483870967745,55.692796774193546
104,55.80181935483871,55.75807741935484,55.75323,55.715251612903224,55.692264516129036
105,55.80181935483871,55.75807741935484,55.7532,55.71432258064516,55.691793548387096
106,55.80181935483871,55.75807741935484,55.752963333333334,55.71397419354839,55.69134516129032
107,55.80181935483871,55.75807741935484,55.75295333333333,55.7133,55.6905
108,55.80181935483871,55.75801612903226,55.75284,55.71227741935484,55.689409677419356
109,55.80181935483871,55.75801612903226,55.75284,55.71192258064516,55.68855483870968
110,55.80181935483871,55.75801612903226,55.75262333333333,55.71164516129032,55.68769677419355
111,55.80181935483871,55.75801612903226,55.752253333333336,55.71121290322581,55.68736451612903
112,55.80181935483871,55.75776774193548,55.75214,55.710822580645164,55.68661935483871
113,55.80168064516129,55.75763870967742,55.75189666666667,55.710406451612904,55.68619677419355
114,55.801551612903225,55.75751935483871,55.75153666666667,55.70998064516129,55.68561935483871
115,55.801551612903225,55.75751935483871,55.75141333333333,55.709190322580646,55.68531935483871
116,55.801551612903225,55.75688387096774,55.75106666666667,55.7091,55.68495806451613
117,55.801551612903225,55.756448387096775,55.75092333333333,55.70817741935484,55.68408387096774
118,55.801551612903225,55.756448387096775,55.75092333333333,55.70809677419355,55.68320322580645
119,55.801551612903225,55.75622903225806,55.7508,55.70788709677419,55.682806451612905
120,55.801551612903225,55.75622903225806,55.75054333333333,55.70733870967742,55.68243870967742
121,55.801551612903225,55.75622903225806,55.75054333333333,55.70683870967742,55.681909677419355
122,55.801551612903225,55.75610967741935,55.75042,55.70644193548387,55.68074193548387
123,55.801551612903225,55.75610967741935,55.75026666666667,55.70596451612903,55.6802935483871
124,55.80154193548387,55.75610967741935,55.749916666666664,55.70514838709678,55.67986774193548
125,55.80154193548387,55.75610967741935,55.749916666666664,55.70488064516129,55.6793064516129
126,55.80154193548387,55.75590967741935,55.74964,55.70464193548387,55.67892903225807
127,55.80154193548387,55.75588064516129,55.74942,55.70420322580645,55.67866451612903
128,55.80154193548387,55.7555935483871,55.749143333333336,55.704006451612905,55.678187096774195
129,55.80144193548387,55.755416129032255,55.74901,55.70346451612903,55.67783870967742
130,55.80144193548387,55.755416129032255,55.748763333333336,55.70301612903226,55.677232258064514
131,55.80144193548387,55.755416129032255,55.74849666666667,55.7028064516129,55.67625806451613
132,55.80144193548387,55.755416129032255,55.74824,55.702145161290325,55.675332258064515
133,55.80144193548387,55.755416129032255,55.74785,55.701409677419356,55.67430967741935
134,55.80144193548387,55.755416129032255,55.74759,55.70114838709677,55.673954838709676
135,55.80144193548387,55.7553,55.747436666666665,55.70102903225806,55.67368387096774
136,55.80144193548387,55.7553,55.74733333333333,55.70066129032258,55.67313870967742
137,55.80144193548387,55.755083870967745,55.74733333333333,55.700406451612906,55.67269032258064
138,55.80144193548387,55.755083870967745,55.74708666666667,55.70003870967742,55.67215806451613
139,55.80144193548387,55.755083870967745,55.74686,55.69962258064516,55.671758064516126
140,55.80144193548387,55.755016129032256,55.74661666666667,55.699451612903225,55.67146129032258
141,55.80144193548387,55.755016129032256,55.746226666666665,55.69917741935484,55.67110967741935
142,55.80132258064516,55.755016129032256,55.746,55.69825806451613,55.66965806451613
143,55.80132258064516,55.7545,55.745846666666665,55.697683870967744,55.66907096774194
144,55.80132258064516,55.7545,55.745846666666665,55.697551612903226,55.66864516129032
145,55.80132258064516,55.7545,55.745356666666666,55.69731612903226,55.668545161290325
146,55.80132258064516,55.7545,55.744976666666666,55.69666451612903,55.66817419354839
147,55.80132258064516,55.7545,55.74474,55.696438709677416,55.66765806451613
148,55.80132258064516,55.7545,55.74474,55.696116129032255,55.66705806451613
149,55.80132258064516,55.7545,55.74452333333333,55.695809677419355,55.66646451612903
150,55.80132258064516,55.7545,55.74452333333333,55.69525161290323,55.666225806451614
151,55.80132258064516,55.754467741935485,55.74441,55.69514193548387,55.66584193548387
152,55.80132258064516,55.75440967741935,55.74409333333333,55.695074193548386,55.665316129032256
153,55.80132258064516,55.754145161290324,55.74396,55.694845161290324,55.66454838709677
154,55.80132258064516,55.754145161290324,55.74396,55.69451612903226,55.66433225806452
155,55.80132258064516,55.754145161290324,55.74371333333333,55.69377096774193,55.66341612903226
156,55.80132258064516,55.754145161290324,55.743566666666666,55.69375161290323,55.66314516129032
157,55.80132258064516,55.753987096774196,55.74323666666667,55.69361935483871,55.66278064516129
158,55.80132258064516,55.753987096774196,55.74312333333333,55.69348064516129,55.66235161290322
159,55.80132258064516,55.753954838709674,55.74302,55.69331290322581,55.66177741935484
160,55.80132258064516,55.753954838709674,55.74287666666667,55.69281612903226,55.66120967741936
161,55.80132258064516,55.753954838709674,55.74287666666667,55.69269677419355,55.66081935483871
162,55.80132258064516,55.753954838709674,55.74285666666667,55.69257741935484,55.660509677419356
163,55.80132258064516,55.753954838709674,55.74280666666667,55.69189032258065,55.66021612903226
164,55.80132258064516,55.753954838709674,55.74280666666667,55.69160322580645,55.659796774193545
165,55.80132258064516,55.753954838709674,55.742416666666664,55.69134193548387,55.65928387096774
166,55.80132258064516,55.753954838709674,55.742313333333335,55.6911935483871,55.65914516129032
167,55.80132258064516,55.753754838709675,55.742086666666665,55.690893548387095,55.65842903225806
168,55.80132258064516,55.753754838709675,55.74183,55.69074193548387,55.65817096774194
169,55.80132258064516,55.753545161290326,55.74167666666666,55.69016451612903,55.65811935483871
170,55.80132258064516,55.753545161290326,55.74143,55.68996451612903,55.65750322580645
171,55.80132258064516,55.753545161290326,55.74111,55.689796774193546,55.656893548387096
172,55.80132258064516,55.753545161290326,55.741006666666664,55.689448387096775,55.6564935483871
173,55.80132258064516,55.753545161290326,55.74073666666667,55.689341935483874,55.655832258064514
174,55.80132258064516,55.753545161290326,55.740503333333336,55.68833225806452,55.65552258064516
175,55.80132258064516,55.753545161290326,55.7403,55.6881935483871,55.65528064516129
176,55.80132258064516,55.753545161290326,55.740053333333336,55.68807741935484,55.65512258064516
177,55.80132258064516,55.753545161290326,55.73993,55.68805806451613,55.654654838709675
178,55.80132258064516,55.753545161290326,55.73954,55.68796129032258,55.653667741935486
179,55.80132258064516,55.75323548387097,55.73954,55.68759677419355,55.65324516129032
