gen,GA,DE,GDE,CCHIHH (non-stable),CCHIHH (stable)
50,1.780049999999359e-05,0.0002300335999999916,6.909040000000106e-05,3.999759999999822e-05,3.562489999999279e-05
100,2.0122399999995706e-05,0.0007054603999999986,9.214639999999582e-05,7.096810000000409e-05,9.2479999999991e-05
150,2.0122399999995706e-05,0.0007648781000000818,6.096240000001788e-05,0.00014537199999998407,0.00010522210000001738
200,2.5508100000002172e-05,0.0008296109000000155,0.00011879410000003243,0.00018099599999998726,0.00011156290000000973
250,2.5508100000002172e-05,0.001021360899999964,0.00015996600000002618,0.00035103489999997457,0.00015773090000004348
300,2.767809999999692e-05,0.0010234144999999634,0.00020928959999999886,0.0004482465000000082,0.00016132199999999071
350,2.5522399999997765e-05,0.0012928395999999658,0.0002319440000000043,0.0006961129000000187,0.000184243600000019
400,3.074359999999977e-05,0.0017534860000001028,0.000258888899999946,0.0009225081000000283,0.00018344839999996353
450,2.9028000000000268e-05,0.0020840236000000036,0.00021406399999998247,0.0012139169000000075,0.00013734650000000694
500,2.9028000000000268e-05,0.0020938081000000195,0.000214966099999985,0.0015145964999999882,0.00018439449999998453
