instance,scenario_family,severity,baseline,cchihh_mean,baseline_mean,improvement_percent
T200,cloud_reduction,r10,CGA,0.0383727,0.0612958,37.3975052124289
T200,cloud_reduction,r10,IMOMA,0.0383727,0.0459045,16.4075417442734
T200,cloud_reduction,r10,DSAC-DE,0.0383727,0.0567309,32.360142356282
T200,cloud_reduction,r20,CGA,0.0410068,0.0634108,35.3315208134892
T200,cloud_reduction,r20,IMOMA,0.0410068,0.0494041,16.997172299465
T200,cloud_reduction,r20,DSAC-DE,0.0410068,0.0563714,27.2560198966142
T200,cloud_reduction,r30,CGA,0.0426277,0.0665125,35.9102424356324
T200,cloud_reduction,r30,IMOMA,0.0426277,0.0500765,14.8748414925165
T200,cloud_reduction,r30,DSAC-DE,0.0426277,0.0609315,30.0399629091685
T200,communication_inflation,p20,CGA,0.0410533,0.0599334,31.5018003317015
T200,communication_inflation,p20,IMOMA,0.0410533,0.0493581,16.8256071445214
T200,communication_inflation,p20,DSAC-DE,0.0410533,0.055127,25.5295952981298
T200,communication_inflation,p40,CGA,0.0420191,0.0630326,33.3375110657025
T200,communication_inflation,p40,IMOMA,0.0420191,0.0492408,14.666089909181
T200,communication_inflation,p40,DSAC-DE,0.0420191,0.0541844,22.4516650548867
T200,communication_inflation,p60,CGA,0.0386714,0.0677081,42.8851200964139
T200,communication_inflation,p60,IMOMA,0.0386714,0.051728,25.240875347974
T200,communication_inflation,p60,DSAC-DE,0.0386714,0.0579851,33.3080394791076
T200,device_reduction,r10,CGA,0.0385841,0.0600699,35.7679969502197
T200,device_reduction,r10,IMOMA,0.0385841,0.0465913,17.1860411707765
T200,device_reduction,r10,DSAC-DE,0.0385841,0.05498,29.8215714805384
T200,device_reduction,r20,CGA,0.0413932,0.0627894,34.0761338697296
T200,device_reduction,r20,IMOMA,0.0413932,0.0492709,15.9885449626453
T200,device_reduction,r20,DSAC-DE,0.0413932,0.0598635,30.8540262430362
T200,device_reduction,r30,CGA,0.0400412,0.0649435,38.3445610415207
T200,device_reduction,r30,IMOMA,0.0400412,0.0519796,22.9674718543429
T200,device_reduction,r30,DSAC-DE,0.0400412,0.0557723,28.2059373559993
T200,edge_reduction,r10,CGA,0.0391281,0.0575215,31.976565284285
T200,edge_reduction,r10,IMOMA,0.0391281,0.0406735,3.79952548956938
T200,edge_reduction,r10,DSAC-DE,0.0391281,0.0479794,18.4481256539265
T200,edge_reduction,r20,CGA,0.0345676,0.052176,33.7480834099969
T200,edge_reduction,r20,IMOMA,0.0345676,0.0405955,14.8486901257529
T200,edge_reduction,r20,DSAC-DE,0.0345676,0.0481228,28.1679370277706
T200,edge_reduction,r30,CGA,0.0306635,0.0484719,36.7396367792474
T200,edge_reduction,r30,IMOMA,0.0306635,0.0428709,28.4747929248045
T200,edge_reduction,r30,DSAC-DE,0.0306635,0.0432549,29.1097655988108
T200,nominal,nominal,CGA,0.0343943,0.0496065,30.6657393688327
T200,nominal,nominal,IMOMA,0.0343943,0.0561089,38.7008121706182
T200,nominal,nominal,DSAC-DE,0.0343943,0.0455815,24.5432905893838
T500,cloud_reduction,r10,CGA,0.0293852,0.0507328,42.078497540053
T500,cloud_reduction,r10,IMOMA,0.0293852,0.0415453,29.2694961884979
T500,cloud_reduction,r10,DSAC-DE,0.0293852,0.0463515,36.6035619127752
T500,cloud_reduction,r20,CGA,0.0299638,0.0517146,42.0593024020296
T500,cloud_reduction,r20,IMOMA,0.0299638,0.0397185,24.5595881012626
T500,cloud_reduction,r20,DSAC-DE,0.0299638,0.0472444,36.5770334685169
T500,cloud_reduction,r30,CGA,0.0285284,0.0535795,46.7550089119906
T500,cloud_reduction,r30,IMOMA,0.0285284,0.0406567,29.8309995646474
T500,cloud_reduction,r30,DSAC-DE,0.0285284,0.0489124,41.6745038068056
T500,communication_inflation,p20,CGA,0.0294501,0.0491003,40.020529406134
T500,communication_inflation,p20,IMOMA,0.0294501,0.0399062,26.2016929700147
T500,communication_inflation,p20,DSAC-DE,0.0294501,0.0459572,35.918419747069
T500,communication_inflation,p40,CGA,0.02985,0.0519411,42.531059219
T500,communication_inflation,p40,IMOMA,0.02985,0.0406249,26.5228960563595
T500,communication_inflation,p40,DSAC-DE,0.02985,0.0432939,31.0526425200779
T500,communication_inflation,p60,CGA,0.0297409,0.0539139,44.8363038103346
T500,communication_inflation,p60,IMOMA,0.0297409,0.0497276,40.1923680209783
T500,communication_inflation,p60,DSAC-DE,0.0297409,0.0494694,39.8802087755259
T500,device_reduction,r10,CGA,0.0280747,0.0488362,42.5125214492528
T500,device_reduction,r10,IMOMA,0.0280747,0.0398017,29.4635656265938
T500,device_reduction,r10,DSAC-DE,0.0280747,0.047699,41.1419526614814
T500,device_reduction,r20,CGA,0.0287938,0.0500673,42.4898087174663
T500,device_reduction,r20,IMOMA,0.0287938,0.0411626,30.0486363835132
T500,device_reduction,r20,DSAC-DE,0.0287938,0.0489025,41.1199836409182
T500,device_reduction,r30,CGA,0.0319535,0.0496358,35.6240858412678
T500,device_reduction,r30,IMOMA,0.0319535,0.0399388,19.9938405760814
T500,device_reduction,r30,DSAC-DE,0.0319535,0.0484621,34.06497035828
T500,edge_reduction,r10,CGA,0.0280452,0.0446853,37.2384206886829
T500,edge_reduction,r10,IMOMA,0.0280452,0.0360206,22.1412191912406
T500,edge_reduction,r10,DSAC-DE,0.0280452,0.0403409,30.479488558758
T500,edge_reduction,r20,CGA,0.026196,0.0429262,38.9743326919224
T500,edge_reduction,r20,IMOMA,0.026196,0.0418424,37.3936485478844
T500,edge_reduction,r20,DSAC-DE,0.026196,0.0393324,33.3984196235165
T500,edge_reduction,r30,CGA,0.0230712,0.038715,40.4075939558311
T500,edge_reduction,r30,IMOMA,0.0230712,0.0368919,37.4626950631439
T500,edge_reduction,r30,DSAC-DE,0.0230712,0.0359748,35.8684412422029
T500,nominal,nominal,CGA,0.027684,0.0397316,30.3224637316393
T500,nominal,nominal,IMOMA,0.027684,0.0468562,40.917103819772
T500,nominal,nominal,DSAC-DE,0.027684,0.0345515,19.8761269409432
