instance,scenario_family,severity,algorithm,nominal_mean,stress_mean,degradation_percent
T200,cloud_reduction,r10,CCHIHH,0.0343943,0.0383727,11.5670329095228
T200,cloud_reduction,r10,CGA,0.0496065,0.0612958,23.5640490661506
T200,cloud_reduction,r10,DSAC-DE,0.0455815,0.0567309,24.4603622083521
T200,cloud_reduction,r10,IMOMA,0.0561089,0.0459045,-18.1867760729581
T200,cloud_reduction,r20,CCHIHH,0.0343943,0.0410068,19.2255693530614
T200,cloud_reduction,r20,CGA,0.0496065,0.0634108,27.827603237479
T200,cloud_reduction,r20,DSAC-DE,0.0455815,0.0563714,23.6716650395446
T200,cloud_reduction,r20,IMOMA,0.0561089,0.0494041,-11.9496194008437
T200,cloud_reduction,r30,CCHIHH,0.0343943,0.0426277,23.938268841058
T200,cloud_reduction,r30,CGA,0.0496065,0.0665125,34.080211262637
T200,cloud_reduction,r30,DSAC-DE,0.0455815,0.0609315,33.675943090947
T200,cloud_reduction,r30,IMOMA,0.0561089,0.0500765,-10.7512355437373
T200,communication_inflation,p20,CCHIHH,0.0343943,0.0410533,19.3607661734648
T200,communication_inflation,p20,CGA,0.0496065,0.0599334,20.817634785764
T200,communication_inflation,p20,DSAC-DE,0.0455815,0.055127,20.9416100830381
T200,communication_inflation,p20,IMOMA,0.0561089,0.0493581,-12.0316028294976
T200,communication_inflation,p40,CCHIHH,0.0343943,0.0420191,22.1687895959505
T200,communication_inflation,p40,CGA,0.0496065,0.0630326,27.0652031487809
T200,communication_inflation,p40,DSAC-DE,0.0455815,0.0541844,18.8736658512774
T200,communication_inflation,p40,IMOMA,0.0561089,0.0492408,-12.2406605725651
T200,communication_inflation,p60,CCHIHH,0.0343943,0.0386714,12.4354907644581
T200,communication_inflation,p60,CGA,0.0496065,0.0677081,36.4903792849727
T200,communication_inflation,p60,DSAC-DE,0.0455815,0.0579851,27.2119171154964
T200,communication_inflation,p60,IMOMA,0.0561089,0.051728,-7.8078522302166
T200,device_reduction,r10,CCHIHH,0.0343943,0.0385841,12.1816696371201
T200,device_reduction,r10,CGA,0.0496065,0.0600699,21.0928003386653
T200,device_reduction,r10,DSAC-DE,0.0455815,0.05498,20.6191108234701
T200,device_reduction,r10,IMOMA,0.0561089,0.0465913,-16.9627278381861
T200,device_reduction,r20,CCHIHH,0.0343943,0.0413932,20.3490113187359
T200,device_reduction,r20,CGA,0.0496065,0.0627894,26.5749448156996
T200,device_reduction,r20,DSAC-DE,0.0455815,0.0598635,31.3328872459221
T200,device_reduction,r20,IMOMA,0.0561089,0.0492709,-12.1870148942503
T200,device_reduction,r30,CCHIHH,0.0343943,0.0400412,16.4181274222764
T200,device_reduction,r30,CGA,0.0496065,0.0649435,30.9173193029139
T200,device_reduction,r30,DSAC-DE,0.0455815,0.0557723,22.3573160163663
T200,device_reduction,r30,IMOMA,0.0561089,0.0519796,-7.35943852044863
T200,edge_reduction,r10,CCHIHH,0.0343943,0.0391281,13.7633270629145
T200,edge_reduction,r10,CGA,0.0496065,0.0575215,15.9555703385645
T200,edge_reduction,r10,DSAC-DE,0.0455815,0.0479794,5.26068690148416
T200,edge_reduction,r10,IMOMA,0.0561089,0.0406735,-27.5097177096682
T200,edge_reduction,r20,CCHIHH,0.0343943,0.0345676,0.503862558621615
T200,edge_reduction,r20,CGA,0.0496065,0.052176,5.17976474857126
T200,edge_reduction,r20,DSAC-DE,0.0455815,0.0481228,5.57528822000154
T200,edge_reduction,r20,IMOMA,0.0561089,0.0405955,-27.64873308869
T200,edge_reduction,r30,CCHIHH,0.0343943,0.0306635,-10.8471461841061
T200,edge_reduction,r30,CGA,0.0496065,0.0484719,-2.28720026609416
T200,edge_reduction,r30,DSAC-DE,0.0455815,0.0432549,-5.10426379123109
T200,edge_reduction,r30,IMOMA,0.0561089,0.0428709,-23.5934049678393
T200,nominal,nominal,CCHIHH,0.0343943,0.0343943,0
T200,nominal,nominal,CGA,0.0496065,0.0496065,0
T200,nominal,nominal,DSAC-DE,0.0455815,0.0455815,0
T200,nominal,nominal,IMOMA,0.0561089,0.0561089,0
T500,cloud_reduction,r10,CCHIHH,0.027684,0.0293852,6.1450657419448
T500,cloud_reduction,r10,CGA,0.0397316,0.0507328,27.6887917929306
T500,cloud_reduction,r10,DSAC-DE,0.0345515,0.0463515,34.1519181511656
T500,cloud_reduction,r10,IMOMA,0.0468562,0.0415453,-11.3344658764475
T500,cloud_reduction,r20,CCHIHH,0.027684,0.0299638,8.23508163560179
T500,cloud_reduction,r20,CGA,0.0397316,0.0517146,30.1598727461265
T500,cloud_reduction,r20,DSAC-DE,0.0345515,0.0472444,36.7361764322822
T500,cloud_reduction,r20,IMOMA,0.0468562,0.0397185,-15.2332028632284
T500,cloud_reduction,r30,CCHIHH,0.027684,0.0285284,3.05013726340124
T500,cloud_reduction,r30,CGA,0.0397316,0.0535795,34.8536177752721
T500,cloud_reduction,r30,DSAC-DE,0.0345515,0.0489124,41.5637526590741
T500,cloud_reduction,r30,IMOMA,0.0468562,0.0406567,-13.2309064755571
T500,communication_inflation,p20,CCHIHH,0.027684,0.0294501,6.37949718248808
T500,communication_inflation,p20,CGA,0.0397316,0.0491003,23.5799716094997
