algorithm,instance,scenario_family,severity,seed,best_fitness,runtime_sec,eval_budget
CCHIHH,T200,cloud_reduction,r10,1,0.0383727,19.391,400000
CGA,T200,cloud_reduction,r10,1,0.0612958,41.331,400000
DSAC-DE,T200,cloud_reduction,r10,1,0.0567309,84.909,400000
IMOMA,T200,cloud_reduction,r10,1,0.0459045,52.645,400000
CCHIHH,T200,cloud_reduction,r20,1,0.0410068,27.874,400000
CGA,T200,cloud_reduction,r20,1,0.0634108,42.665,400000
DSAC-DE,T200,cloud_reduction,r20,1,0.0563714,81.641,400000
IMOMA,T200,cloud_reduction,r20,1,0.0494041,49.982,400000
CCHIHH,T200,cloud_reduction,r30,1,0.0426277,31.179,400000
CGA,T200,cloud_reduction,r30,1,0.0665125,23.365,400000
DSAC-DE,T200,cloud_reduction,r30,1,0.0609315,85.994,400000
IMOMA,T200,cloud_reduction,r30,1,0.0500765,54.867,400000
CCHIHH,T200,communication_inflation,p20,1,0.0410533,31.7,400000
CGA,T200,communication_inflation,p20,1,0.0599334,43.763,400000
DSAC-DE,T200,communication_inflation,p20,1,0.055127,86.571,400000
IMOMA,T200,communication_inflation,p20,1,0.0493581,48.771,400000
CCHIHH,T200,communication_inflation,p40,1,0.0420191,31.892,400000
CGA,T200,communication_inflation,p40,1,0.0630326,41.149,400000
DSAC-DE,T200,communication_inflation,p40,1,0.0541844,86.019,400000
IMOMA,T200,communication_inflation,p40,1,0.0492408,51.128,400000
CCHIHH,T200,communication_inflation,p60,1,0.0386714,32.719,400000
CGA,T200,communication_inflation,p60,1,0.0677081,45.015,400000
DSAC-DE,T200,communication_inflation,p60,1,0.0579851,85.746,400000
IMOMA,T200,communication_inflation,p60,1,0.051728,50.889,400000
CCHIHH,T200,device_reduction,r10,1,0.0385841,32.522,400000
CGA,T200,device_reduction,r10,1,0.0600699,21.205,400000
DSAC-DE,T200,device_reduction,r10,1,0.05498,85.964,400000
IMOMA,T200,device_reduction,r10,1,0.0465913,46.664,400000
CCHIHH,T200,device_reduction,r20,1,0.0413932,32.377,400000
CGA,T200,device_reduction,r20,1,0.0627894,20.612,400000
DSAC-DE,T200,device_reduction,r20,1,0.0598635,86.049,400000
IMOMA,T200,device_reduction,r20,1,0.0492709,49.248,400000
CCHIHH,T200,device_reduction,r30,1,0.0400412,32.561,400000
CGA,T200,device_reduction,r30,1,0.0649435,46.519,400000
DSAC-DE,T200,device_reduction,r30,1,0.0557723,86.113,400000
IMOMA,T200,device_reduction,r30,1,0.0519796,26.589,400000
CCHIHH,T200,edge_reduction,r10,1,0.0391281,15.251,400000
CGA,T200,edge_reduction,r10,1,0.0575215,21.484,400000
DSAC-DE,T200,edge_reduction,r10,1,0.0479794,85.925,400000
IMOMA,T200,edge_reduction,r10,1,0.0406735,41.218,400000
CCHIHH,T200,edge_reduction,r20,1,0.0345676,32.043,400000
CGA,T200,edge_reduction,r20,1,0.052176,21.93,400000
DSAC-DE,T200,edge_reduction,r20,1,0.0481228,85.948,400000
IMOMA,T200,edge_reduction,r20,1,0.0405955,53.738,400000
CCHIHH,T200,edge_reduction,r30,1,0.0306635,32.164,400000
CGA,T200,edge_reduction,r30,1,0.0484719,21.207,400000
DSAC-DE,T200,edge_reduction,r30,1,0.0432549,86.26,400000
IMOMA,T200,edge_reduction,r30,1,0.0428709,53.117,400000
CCHIHH,T200,nominal,nominal,1,0.0343943,57.154,400000
CGA,T200,nominal,nominal,1,0.0496065,210.377,400000
DSAC-DE,T200,nominal,nominal,1,0.0455815,18.372,400000
IMOMA,T200,nominal,nominal,1,0.0561089,332.255,400000
