instance,scenario_family,severity,algorithm,num_seeds,mean_best_fitness,std_best_fitness,mean_runtime_sec,std_runtime_sec,mean±std
T200,cloud_reduction,r10,CCHIHH,1,0.0383727,0,19.391,,0.038373 ± 0.000000
T200,cloud_reduction,r10,CGA,1,0.0612958,0,41.331,,0.061296 ± 0.000000
T200,cloud_reduction,r10,DSAC-DE,1,0.0567309,0,84.909,,0.056731 ± 0.000000
T200,cloud_reduction,r10,IMOMA,1,0.0459045,0,52.645,,0.045905 ± 0.000000
T200,cloud_reduction,r20,CCHIHH,1,0.0410068,0,27.874,,0.041007 ± 0.000000
T200,cloud_reduction,r20,CGA,1,0.0634108,0,42.665,,0.063411 ± 0.000000
T200,cloud_reduction,r20,DSAC-DE,1,0.0563714,0,81.641,,0.056371 ± 0.000000
T200,cloud_reduction,r20,IMOMA,1,0.0494041,0,49.982,,0.049404 ± 0.000000
T200,cloud_reduction,r30,CCHIHH,1,0.0426277,0,31.179,,0.042628 ± 0.000000
T200,cloud_reduction,r30,CGA,1,0.0665125,0,23.365,,0.066513 ± 0.000000
T200,cloud_reduction,r30,DSAC-DE,1,0.0609315,0,85.994,,0.060931 ± 0.000000
T200,cloud_reduction,r30,IMOMA,1,0.0500765,0,54.867,,0.050077 ± 0.000000
T200,communication_inflation,p20,CCHIHH,1,0.0410533,0,31.7,,0.041053 ± 0.000000
T200,communication_inflation,p20,CGA,1,0.0599334,0,43.763,,0.059933 ± 0.000000
T200,communication_inflation,p20,DSAC-DE,1,0.055127,0,86.571,,0.055127 ± 0.000000
T200,communication_inflation,p20,IMOMA,1,0.0493581,0,48.771,,0.049358 ± 0.000000
T200,communication_inflation,p40,CCHIHH,1,0.0420191,0,31.892,,0.042019 ± 0.000000
T200,communication_inflation,p40,CGA,1,0.0630326,0,41.149,,0.063033 ± 0.000000
T200,communication_inflation,p40,DSAC-DE,1,0.0541844,0,86.019,,0.054184 ± 0.000000
T200,communication_inflation,p40,IMOMA,1,0.0492408,0,51.128,,0.049241 ± 0.000000
T200,communication_inflation,p60,CCHIHH,1,0.0386714,0,32.719,,0.038671 ± 0.000000
T200,communication_inflation,p60,CGA,1,0.0677081,0,45.015,,0.067708 ± 0.000000
T200,communication_inflation,p60,DSAC-DE,1,0.0579851,0,85.746,,0.057985 ± 0.000000
T200,communication_inflation,p60,IMOMA,1,0.051728,0,50.889,,0.051728 ± 0.000000
T200,device_reduction,r10,CCHIHH,1,0.0385841,0,32.522,,0.038584 ± 0.000000
T200,device_reduction,r10,CGA,1,0.0600699,0,21.205,,0.060070 ± 0.000000
T200,device_reduction,r10,DSAC-DE,1,0.05498,0,85.964,,0.054980 ± 0.000000
T200,device_reduction,r10,IMOMA,1,0.0465913,0,46.664,,0.046591 ± 0.000000
T200,device_reduction,r20,CCHIHH,1,0.0413932,0,32.377,,0.041393 ± 0.000000
T200,device_reduction,r20,CGA,1,0.0627894,0,20.612,,0.062789 ± 0.000000
T200,device_reduction,r20,DSAC-DE,1,0.0598635,0,86.049,,0.059864 ± 0.000000
T200,device_reduction,r20,IMOMA,1,0.0492709,0,49.248,,0.049271 ± 0.000000
T200,device_reduction,r30,CCHIHH,1,0.0400412,0,32.561,,0.040041 ± 0.000000
T200,device_reduction,r30,CGA,1,0.0649435,0,46.519,,0.064944 ± 0.000000
T200,device_reduction,r30,DSAC-DE,1,0.0557723,0,86.113,,0.055772 ± 0.000000
T200,device_reduction,r30,IMOMA,1,0.0519796,0,26.589,,0.051980 ± 0.000000
T200,edge_reduction,r10,CCHIHH,1,0.0391281,0,15.251,,0.039128 ± 0.000000
T200,edge_reduction,r10,CGA,1,0.0575215,0,21.484,,0.057522 ± 0.000000
T200,edge_reduction,r10,DSAC-DE,1,0.0479794,0,85.925,,0.047979 ± 0.000000
T200,edge_reduction,r10,IMOMA,1,0.0406735,0,41.218,,0.040674 ± 0.000000
T200,edge_reduction,r20,CCHIHH,1,0.0345676,0,32.043,,0.034568 ± 0.000000
T200,edge_reduction,r20,CGA,1,0.052176,0,21.93,,0.052176 ± 0.000000
T200,edge_reduction,r20,DSAC-DE,1,0.0481228,0,85.948,,0.048123 ± 0.000000
T200,edge_reduction,r20,IMOMA,1,0.0405955,0,53.738,,0.040595 ± 0.000000
T200,edge_reduction,r30,CCHIHH,1,0.0306635,0,32.164,,0.030663 ± 0.000000
T200,edge_reduction,r30,CGA,1,0.0484719,0,21.207,,0.048472 ± 0.000000
T200,edge_reduction,r30,DSAC-DE,1,0.0432549,0,86.26,,0.043255 ± 0.000000
T200,edge_reduction,r30,IMOMA,1,0.0428709,0,53.117,,0.042871 ± 0.000000
T200,nominal,nominal,CCHIHH,1,0.0343943,0,57.154,,0.034394 ± 0.000000
T200,nominal,nominal,CGA,1,0.0496065,0,210.377,,0.049606 ± 0.000000
T200,nominal,nominal,DSAC-DE,1,0.0455815,0,18.372,,0.045581 ± 0.000000
T200,nominal,nominal,IMOMA,1,0.0561089,0,332.255,,0.056109 ± 0.000000
T500,cloud_reduction,r10,CCHIHH,1,0.0293852,0,141.595,,0.029385 ± 0.000000
T500,cloud_reduction,r10,CGA,1,0.0507328,0,124.66,,0.050733 ± 0.000000
T500,cloud_reduction,r10,DSAC-DE,1,0.0463515,0,121.673,,0.046351 ± 0.000000
T500,cloud_reduction,r10,IMOMA,1,0.0415453,0,194.607,,0.041545 ± 0.000000
T500,cloud_reduction,r20,CCHIHH,1,0.0299638,0,135.088,,0.029964 ± 0.000000
T500,cloud_reduction,r20,CGA,1,0.0517146,0,123.523,,0.051715 ± 0.000000
T500,cloud_reduction,r20,DSAC-DE,1,0.0472444,0,120.026,,0.047244 ± 0.000000
T500,cloud_reduction,r20,IMOMA,1,0.0397185,0,199.325,,0.039718 ± 0.000000
T500,cloud_reduction,r30,CCHIHH,1,0.0285284,0,169.283,,0.028528 ± 0.000000
T500,cloud_reduction,r30,CGA,1,0.0535795,0,145.7,,0.053580 ± 0.000000
T500,cloud_reduction,r30,DSAC-DE,1,0.0489124,0,121.2,,0.048912 ± 0.000000
T500,cloud_reduction,r30,IMOMA,1,0.0406567,0,197.644,,0.040657 ± 0.000000
T500,communication_inflation,p20,CCHIHH,1,0.0294501,0,141.979,,0.029450 ± 0.000000
T500,communication_inflation,p20,CGA,1,0.0491003,0,149.343,,0.049100 ± 0.000000
T500,communication_inflation,p20,DSAC-DE,1,0.0459572,0,120.906,,0.045957 ± 0.000000
T500,communication_inflation,p20,IMOMA,1,0.0399062,0,193.379,,0.039906 ± 0.000000
T500,communication_inflation,p40,CCHIHH,1,0.02985,0,141.66,,0.029850 ± 0.000000
T500,communication_inflation,p40,CGA,1,0.0519411,0,147.989,,0.051941 ± 0.000000
T500,communication_inflation,p40,DSAC-DE,1,0.0432939,0,122.096,,0.043294 ± 0.000000
T500,communication_inflation,p40,IMOMA,1,0.0406249,0,188.478,,0.040625 ± 0.000000
T500,communication_inflation,p60,CCHIHH,1,0.0297409,0,142.369,,0.029741 ± 0.000000
T500,communication_inflation,p60,CGA,1,0.0539139,0,140.077,,0.053914 ± 0.000000
T500,communication_inflation,p60,DSAC-DE,1,0.0494694,0,121.437,,0.049469 ± 0.000000
T500,communication_inflation,p60,IMOMA,1,0.0497276,0,180.32,,0.049728 ± 0.000000
T500,device_reduction,r10,CCHIHH,1,0.0280747,0,146.654,,0.028075 ± 0.000000
T500,device_reduction,r10,CGA,1,0.0488362,0,158.247,,0.048836 ± 0.000000
T500,device_reduction,r10,DSAC-DE,1,0.047699,0,120.076,,0.047699 ± 0.000000
T500,device_reduction,r10,IMOMA,1,0.0398017,0,192.571,,0.039802 ± 0.000000
T500,device_reduction,r20,CCHIHH,1,0.0287938,0,145.205,,0.028794 ± 0.000000
T500,device_reduction,r20,CGA,1,0.0500673,0,153.594,,0.050067 ± 0.000000
T500,device_reduction,r20,DSAC-DE,1,0.0489025,0,120.757,,0.048903 ± 0.000000
T500,device_reduction,r20,IMOMA,1,0.0411626,0,188.551,,0.041163 ± 0.000000
T500,device_reduction,r30,CCHIHH,1,0.0319535,0,140.79,,0.031954 ± 0.000000
T500,device_reduction,r30,CGA,1,0.0496358,0,141.475,,0.049636 ± 0.000000
T500,device_reduction,r30,DSAC-DE,1,0.0484621,0,123.606,,0.048462 ± 0.000000
T500,device_reduction,r30,IMOMA,1,0.0399388,0,197.065,,0.039939 ± 0.000000
T500,edge_reduction,r10,CCHIHH,1,0.0280452,0,159.243,,0.028045 ± 0.000000
T500,edge_reduction,r10,CGA,1,0.0446853,0,148.603,,0.044685 ± 0.000000
T500,edge_reduction,r10,DSAC-DE,1,0.0403409,0,120.215,,0.040341 ± 0.000000
T500,edge_reduction,r10,IMOMA,1,0.0360206,0,198.873,,0.036021 ± 0.000000
T500,edge_reduction,r20,CCHIHH,1,0.026196,0,148.769,,0.026196 ± 0.000000
T500,edge_reduction,r20,CGA,1,0.0429262,0,159.802,,0.042926 ± 0.000000
T500,edge_reduction,r20,DSAC-DE,1,0.0393324,0,119.424,,0.039332 ± 0.000000
T500,edge_reduction,r20,IMOMA,1,0.0418424,0,171.807,,0.041842 ± 0.000000
T500,edge_reduction,r30,CCHIHH,1,0.0230712,0,143.31,,0.023071 ± 0.000000
T500,edge_reduction,r30,CGA,1,0.038715,0,157.139,,0.038715 ± 0.000000
T500,edge_reduction,r30,DSAC-DE,1,0.0359748,0,119.931,,0.035975 ± 0.000000
T500,edge_reduction,r30,IMOMA,1,0.0368919,0,176.481,,0.036892 ± 0.000000
T500,nominal,nominal,CCHIHH,1,0.027684,0,231.423,,0.027684 ± 0.000000
T500,nominal,nominal,CGA,1,0.0397316,0,742.435,,0.039732 ± 0.000000
T500,nominal,nominal,DSAC-DE,1,0.0345515,0,50.026,,0.034551 ± 0.000000
T500,nominal,nominal,IMOMA,1,0.0468562,0,1208.62,,0.046856 ± 0.000000
