instance,scenario_family,severity,baseline,num_pairs,cchihh_mean,baseline_mean,wilcoxon_stat,p_value,significant_p_lt_0_05
T200,cloud_reduction,r10,CGA,1,0.0383727,0.0612958,0,1,no
T200,cloud_reduction,r10,IMOMA,1,0.0383727,0.0459045,0,1,no
T200,cloud_reduction,r10,DSAC-DE,1,0.0383727,0.0567309,0,1,no
T200,cloud_reduction,r20,CGA,1,0.0410068,0.0634108,0,1,no
T200,cloud_reduction,r20,IMOMA,1,0.0410068,0.0494041,0,1,no
T200,cloud_reduction,r20,DSAC-DE,1,0.0410068,0.0563714,0,1,no
T200,cloud_reduction,r30,CGA,1,0.0426277,0.0665125,0,1,no
T200,cloud_reduction,r30,IMOMA,1,0.0426277,0.0500765,0,1,no
T200,cloud_reduction,r30,DSAC-DE,1,0.0426277,0.0609315,0,1,no
T200,communication_inflation,p20,CGA,1,0.0410533,0.0599334,0,1,no
T200,communication_inflation,p20,IMOMA,1,0.0410533,0.0493581,0,1,no
T200,communication_inflation,p20,DSAC-DE,1,0.0410533,0.055127,0,1,no
T200,communication_inflation,p40,CGA,1,0.0420191,0.0630326,0,1,no
T200,communication_inflation,p40,IMOMA,1,0.0420191,0.0492408,0,1,no
T200,communication_inflation,p40,DSAC-DE,1,0.0420191,0.0541844,0,1,no
T200,communication_inflation,p60,CGA,1,0.0386714,0.0677081,0,1,no
T200,communication_inflation,p60,IMOMA,1,0.0386714,0.051728,0,1,no
T200,communication_inflation,p60,DSAC-DE,1,0.0386714,0.0579851,0,1,no
T200,device_reduction,r10,CGA,1,0.0385841,0.0600699,0,1,no
T200,device_reduction,r10,IMOMA,1,0.0385841,0.0465913,0,1,no
T200,device_reduction,r10,DSAC-DE,1,0.0385841,0.05498,0,1,no
T200,device_reduction,r20,CGA,1,0.0413932,0.0627894,0,1,no
T200,device_reduction,r20,IMOMA,1,0.0413932,0.0492709,0,1,no
T200,device_reduction,r20,DSAC-DE,1,0.0413932,0.0598635,0,1,no
T200,device_reduction,r30,CGA,1,0.0400412,0.0649435,0,1,no
T200,device_reduction,r30,IMOMA,1,0.0400412,0.0519796,0,1,no
T200,device_reduction,r30,DSAC-DE,1,0.0400412,0.0557723,0,1,no
T200,edge_reduction,r10,CGA,1,0.0391281,0.0575215,0,1,no
T200,edge_reduction,r10,IMOMA,1,0.0391281,0.0406735,0,1,no
T200,edge_reduction,r10,DSAC-DE,1,0.0391281,0.0479794,0,1,no
T200,edge_reduction,r20,CGA,1,0.0345676,0.052176,0,1,no
T200,edge_reduction,r20,IMOMA,1,0.0345676,0.0405955,0,1,no
T200,edge_reduction,r20,DSAC-DE,1,0.0345676,0.0481228,0,1,no
T200,edge_reduction,r30,CGA,1,0.0306635,0.0484719,0,1,no
T200,edge_reduction,r30,IMOMA,1,0.0306635,0.0428709,0,1,no
T200,edge_reduction,r30,DSAC-DE,1,0.0306635,0.0432549,0,1,no
T200,nominal,nominal,CGA,1,0.0343943,0.0496065,0,1,no
