variant,scale,seed,best_fit,runtime_s,alpha,source,note,path,complete,monotonic_non_increasing
CCHIHH-full,T100,1,0.190472,19.274,0.2,new_rerun,,C:\Users\Hu\Desktop\CED_schedule_Final - 副本\results\rerun_alpha\cchihh_full_T100_a0.2_s1.log,True,True
CCHIHH-full,T100,2,0.193739,40.897,0.2,new_rerun,,C:\Users\Hu\Desktop\CED_schedule_Final - 副本\results\rerun_alpha\cchihh_full_T100_a0.2_s2.log,True,True
CCHIHH-full,T100,3,0.19008,38.283,0.2,new_rerun,,C:\Users\Hu\Desktop\CED_schedule_Final - 副本\results\rerun_alpha\cchihh_full_T100_a0.2_s3.log,True,True
CCHIHH-full,T100,4,0.187465,30.58,0.2,new_rerun,,C:\Users\Hu\Desktop\CED_schedule_Final - 副本\results\rerun_alpha\cchihh_full_T100_a0.2_s4.log,True,True
CCHIHH-full,T100,5,0.190112,21.659,0.2,new_rerun,,C:\Users\Hu\Desktop\CED_schedule_Final - 副本\results\rerun_alpha\cchihh_full_T100_a0.2_s5.log,True,True
CCHIHH-full,T100,6,0.190178,41.245,0.2,new_rerun,,C:\Users\Hu\Desktop\CED_schedule_Final - 副本\results\rerun_alpha\cchihh_full_T100_a0.2_s6.log,True,True
CCHIHH-full,T100,7,0.1874,44.237,0.2,new_rerun,,C:\Users\Hu\Desktop\CED_schedule_Final - 副本\results\rerun_alpha\cchihh_full_T100_a0.2_s7.log,True,True
CCHIHH-full,T100,8,0.193674,40.352,0.2,new_rerun,,C:\Users\Hu\Desktop\CED_schedule_Final - 副本\results\rerun_alpha\cchihh_full_T100_a0.2_s8.log,True,True
CCHIHH-full,T100,9,0.189982,41.433,0.2,new_rerun,,C:\Users\Hu\Desktop\CED_schedule_Final - 副本\results\rerun_alpha\cchihh_full_T100_a0.2_s9.log,True,True
CCHIHH-full,T100,10,0.189982,41.65,0.2,new_rerun,,C:\Users\Hu\Desktop\CED_schedule_Final - 副本\results\rerun_alpha\cchihh_full_T100_a0.2_s10.log,True,True
CCHIHH-full,T200,1,0.0304015,125.694,0.2,new_rerun,,C:\Users\Hu\Desktop\CED_schedule_Final - 副本\results\rerun_alpha\cchihh_full_T200_a0.2_s1.log,True,True
CCHIHH-full,T200,2,0.0306702,117.722,0.2,new_rerun,,C:\Users\Hu\Desktop\CED_schedule_Final - 副本\results\rerun_alpha\cchihh_full_T200_a0.2_s2.log,True,True
CCHIHH-full,T200,3,0.0300858,124.812,0.2,new_rerun,,C:\Users\Hu\Desktop\CED_schedule_Final - 副本\results\rerun_alpha\cchihh_full_T200_a0.2_s3.log,True,True
CCHIHH-full,T200,4,0.0371709,132.063,0.2,new_rerun,,C:\Users\Hu\Desktop\CED_schedule_Final - 副本\results\rerun_alpha\cchihh_full_T200_a0.2_s4.log,True,True
CCHIHH-full,T200,5,0.0313835,121.051,0.2,new_rerun,,C:\Users\Hu\Desktop\CED_schedule_Final - 副本\results\rerun_alpha\cchihh_full_T200_a0.2_s5.log,True,True
CCHIHH-full,T200,6,0.0313707,121.88,0.2,new_rerun,,C:\Users\Hu\Desktop\CED_schedule_Final - 副本\results\rerun_alpha\cchihh_full_T200_a0.2_s6.log,True,True
CCHIHH-full,T200,7,0.0333986,122.863,0.2,new_rerun,,C:\Users\Hu\Desktop\CED_schedule_Final - 副本\results\rerun_alpha\cchihh_full_T200_a0.2_s7.log,True,True
CCHIHH-full,T200,8,0.0360696,103.267,0.2,new_rerun,,C:\Users\Hu\Desktop\CED_schedule_Final - 副本\results\rerun_alpha\cchihh_full_T200_a0.2_s8.log,True,True
CCHIHH-full,T200,9,0.0306614,113.314,0.2,new_rerun,,C:\Users\Hu\Desktop\CED_schedule_Final - 副本\results\rerun_alpha\cchihh_full_T200_a0.2_s9.log,True,True
CCHIHH-full,T200,10,0.0319774,111.114,0.2,new_rerun,,C:\Users\Hu\Desktop\CED_schedule_Final - 副本\results\rerun_alpha\cchihh_full_T200_a0.2_s10.log,True,True
CCHIHH-full,T500,1,0.0288034,205.886,0.2,new_rerun,,C:\Users\Hu\Desktop\CED_schedule_Final - 副本\results\rerun_alpha\cchihh_full_T500_a0.2_s1.log,True,True
CCHIHH-full,T500,2,0.0247753,203.313,0.2,new_rerun,,C:\Users\Hu\Desktop\CED_schedule_Final - 副本\results\rerun_alpha\cchihh_full_T500_a0.2_s2.log,True,True
CCHIHH-full,T500,3,0.0252526,203.36,0.2,new_rerun,,C:\Users\Hu\Desktop\CED_schedule_Final - 副本\results\rerun_alpha\cchihh_full_T500_a0.2_s3.log,True,True
CCHIHH-full,T500,4,0.0264371,203.661,0.2,new_rerun,,C:\Users\Hu\Desktop\CED_schedule_Final - 副本\results\rerun_alpha\cchihh_full_T500_a0.2_s4.log,True,True
CCHIHH-full,T500,5,0.0285429,202.858,0.2,new_rerun,,C:\Users\Hu\Desktop\CED_schedule_Final - 副本\results\rerun_alpha\cchihh_full_T500_a0.2_s5.log,True,True
CCHIHH-full,T500,6,0.0261384,203.177,0.2,new_rerun,,C:\Users\Hu\Desktop\CED_schedule_Final - 副本\results\rerun_alpha\cchihh_full_T500_a0.2_s6.log,True,True
CCHIHH-full,T500,7,0.0296844,213.836,0.2,new_rerun,,C:\Users\Hu\Desktop\CED_schedule_Final - 副本\results\rerun_alpha\cchihh_full_T500_a0.2_s7.log,True,True
CCHIHH-full,T500,8,0.0247673,206.753,0.2,new_rerun,,C:\Users\Hu\Desktop\CED_schedule_Final - 副本\results\rerun_alpha\cchihh_full_T500_a0.2_s8.log,True,True
CCHIHH-full,T500,9,0.0574845,373.509,0.2,new_rerun,,C:\Users\Hu\Desktop\CED_schedule_Final - 副本\results\rerun_alpha\cchihh_full_T500_a0.2_s9.log,True,True
CCHIHH-full,T500,10,0.0260142,455.446,0.2,new_rerun,,C:\Users\Hu\Desktop\CED_schedule_Final - 副本\results\rerun_alpha\cchihh_full_T500_a0.2_s10.log,True,True
CCHIHH-full,T100,1,0.342282,20.949,0.5,new_rerun,,C:\Users\Hu\Desktop\CED_schedule_Final - 副本\results\rerun_full\cchihh_full_T100_s1.log,True,True
CCHIHH-full,T100,2,0.34122,20.43,0.5,new_rerun,,C:\Users\Hu\Desktop\CED_schedule_Final - 副本\results\rerun_full\cchihh_full_T100_s2.log,True,True
CCHIHH-full,T100,3,0.340096,21.243,0.5,new_rerun,,C:\Users\Hu\Desktop\CED_schedule_Final - 副本\results\rerun_full\cchihh_full_T100_s3.log,True,True
CCHIHH-full,T100,4,0.339586,20.843,0.5,new_rerun,,C:\Users\Hu\Desktop\CED_schedule_Final - 副本\results\rerun_full\cchihh_full_T100_s4.log,True,True
CCHIHH-full,T100,5,0.343119,21.085,0.5,new_rerun,,C:\Users\Hu\Desktop\CED_schedule_Final - 副本\results\rerun_full\cchihh_full_T100_s5.log,True,True
CCHIHH-full,T100,6,0.342629,21.943,0.5,new_rerun,,C:\Users\Hu\Desktop\CED_schedule_Final - 副本\results\rerun_full\cchihh_full_T100_s6.log,True,True
CCHIHH-full,T100,7,0.340648,21.333,0.5,new_rerun,,C:\Users\Hu\Desktop\CED_schedule_Final - 副本\results\rerun_full\cchihh_full_T100_s7.log,True,True
CCHIHH-full,T100,8,0.341567,20.776,0.5,new_rerun,,C:\Users\Hu\Desktop\CED_schedule_Final - 副本\results\rerun_full\cchihh_full_T100_s8.log,True,True
CCHIHH-full,T100,9,0.342629,21.875,0.5,new_rerun,,C:\Users\Hu\Desktop\CED_schedule_Final - 副本\results\rerun_full\cchihh_full_T100_s9.log,True,True
CCHIHH-full,T100,10,0.340934,20.572,0.5,new_rerun,,C:\Users\Hu\Desktop\CED_schedule_Final - 副本\results\rerun_full\cchihh_full_T100_s10.log,True,True
CCHIHH-full,T200,1,0.0343943,57.154,0.5,new_rerun,,C:\Users\Hu\Desktop\CED_schedule_Final - 副本\results\rerun_full\cchihh_full_T200_s1.log,True,True
CCHIHH-full,T200,2,0.0356493,54.753,0.5,new_rerun,,C:\Users\Hu\Desktop\CED_schedule_Final - 副本\results\rerun_full\cchihh_full_T200_s2.log,True,True
CCHIHH-full,T200,3,0.0354312,56.206,0.5,new_rerun,,C:\Users\Hu\Desktop\CED_schedule_Final - 副本\results\rerun_full\cchihh_full_T200_s3.log,True,True
CCHIHH-full,T200,4,0.0346693,56.891,0.5,new_rerun,,C:\Users\Hu\Desktop\CED_schedule_Final - 副本\results\rerun_full\cchihh_full_T200_s4.log,True,True
CCHIHH-full,T200,5,0.0332743,53.586,0.5,new_rerun,,C:\Users\Hu\Desktop\CED_schedule_Final - 副本\results\rerun_full\cchihh_full_T200_s5.log,True,True
CCHIHH-full,T200,6,0.0351331,54.469,0.5,new_rerun,,C:\Users\Hu\Desktop\CED_schedule_Final - 副本\results\rerun_full\cchihh_full_T200_s6.log,True,True
CCHIHH-full,T200,7,0.0390722,57.406,0.5,new_rerun,,C:\Users\Hu\Desktop\CED_schedule_Final - 副本\results\rerun_full\cchihh_full_T200_s7.log,True,True
CCHIHH-full,T200,8,0.0376777,55.356,0.5,new_rerun,,C:\Users\Hu\Desktop\CED_schedule_Final - 副本\results\rerun_full\cchihh_full_T200_s8.log,True,True
CCHIHH-full,T200,9,0.0397806,56.638,0.5,new_rerun,,C:\Users\Hu\Desktop\CED_schedule_Final - 副本\results\rerun_full\cchihh_full_T200_s9.log,True,True
CCHIHH-full,T200,10,0.0356928,54.604,0.5,new_rerun,,C:\Users\Hu\Desktop\CED_schedule_Final - 副本\results\rerun_full\cchihh_full_T200_s10.log,True,True
CCHIHH-full,T500,1,0.027684,231.423,0.5,new_rerun,,C:\Users\Hu\Desktop\CED_schedule_Final - 副本\results\rerun_full\cchihh_full_T500_s1.log,True,True
CCHIHH-full,T500,2,0.0246996,234.207,0.5,new_rerun,,C:\Users\Hu\Desktop\CED_schedule_Final - 副本\results\rerun_full\cchihh_full_T500_s2.log,True,True
CCHIHH-full,T500,3,0.0273726,236.589,0.5,new_rerun,,C:\Users\Hu\Desktop\CED_schedule_Final - 副本\results\rerun_full\cchihh_full_T500_s3.log,True,True
CCHIHH-full,T500,4,0.0284491,234.713,0.5,new_rerun,,C:\Users\Hu\Desktop\CED_schedule_Final - 副本\results\rerun_full\cchihh_full_T500_s4.log,True,True
CCHIHH-full,T500,5,0.0241066,232.031,0.5,new_rerun,,C:\Users\Hu\Desktop\CED_schedule_Final - 副本\results\rerun_full\cchihh_full_T500_s5.log,True,True
CCHIHH-full,T500,6,0.0262353,234.938,0.5,new_rerun,,C:\Users\Hu\Desktop\CED_schedule_Final - 副本\results\rerun_full\cchihh_full_T500_s6.log,True,True
CCHIHH-full,T500,7,0.0240134,232.738,0.5,new_rerun,,C:\Users\Hu\Desktop\CED_schedule_Final - 副本\results\rerun_full\cchihh_full_T500_s7.log,True,True
CCHIHH-full,T500,8,0.0263911,235.062,0.5,new_rerun,,C:\Users\Hu\Desktop\CED_schedule_Final - 副本\results\rerun_full\cchihh_full_T500_s8.log,True,True
CCHIHH-full,T500,9,0.0465149,231.214,0.5,new_rerun,,C:\Users\Hu\Desktop\CED_schedule_Final - 副本\results\rerun_full\cchihh_full_T500_s9.log,True,True
CCHIHH-full,T500,10,0.0258762,230.835,0.5,new_rerun,,C:\Users\Hu\Desktop\CED_schedule_Final - 副本\results\rerun_full\cchihh_full_T500_s10.log,True,True
CCHIHH-full,T100,1,0.493062,19.824,0.8,new_rerun,,C:\Users\Hu\Desktop\CED_schedule_Final - 副本\results\rerun_alpha\cchihh_full_T100_a0.8_s1.log,True,True
CCHIHH-full,T100,2,0.492474,41.605,0.8,new_rerun,,C:\Users\Hu\Desktop\CED_schedule_Final - 副本\results\rerun_alpha\cchihh_full_T100_a0.8_s2.log,True,True
CCHIHH-full,T100,3,0.493373,39.548,0.8,new_rerun,,C:\Users\Hu\Desktop\CED_schedule_Final - 副本\results\rerun_alpha\cchihh_full_T100_a0.8_s3.log,True,True
CCHIHH-full,T100,4,0.491992,29.152,0.8,new_rerun,,C:\Users\Hu\Desktop\CED_schedule_Final - 副本\results\rerun_alpha\cchihh_full_T100_a0.8_s4.log,True,True
CCHIHH-full,T100,5,0.492343,23.214,0.8,new_rerun,,C:\Users\Hu\Desktop\CED_schedule_Final - 副本\results\rerun_alpha\cchihh_full_T100_a0.8_s5.log,True,True
CCHIHH-full,T100,6,0.493274,40.859,0.8,new_rerun,,C:\Users\Hu\Desktop\CED_schedule_Final - 副本\results\rerun_alpha\cchihh_full_T100_a0.8_s6.log,True,True
CCHIHH-full,T100,7,0.493511,41.756,0.8,new_rerun,,C:\Users\Hu\Desktop\CED_schedule_Final - 副本\results\rerun_alpha\cchihh_full_T100_a0.8_s7.log,True,True
