=== CED_Schedule Configuration ===
Data directory: ".\\\\data"
Data file: data_matrix_100.txt
Generations: 10000
Population size: 40
Random seed: 9
Pini (heuristic prob): 0.4
Solver: CCHIHH
Migration: disabled
Stable mode: enabled
  resample_gate=15 reward_clip=0.2 eps0=0.2 eps_min=0.02 eps_k=0.01 lr0=0.05 lr_k=0.002
=================================
[Initial] Loading data from: ".\\\\data\\data_matrix_100.txt"

=== Running CC-HIHH-UCB Solver ===
[CC-HIHH] Initializing solver...
  CE_Tnum=100, M_Jnum=100, M_OPTnum=5, ops=500
  Nvar=1200, popsize=40, nSubpop=8
  Block 0 (offload): start=0, len=200
  Block 1 (seq): start=200, len=500
  Block 2 (dev): start=700, len=500
[CC-HIHH] Initial evaluation...
[CC-HIHH] Initial gbest_fit = 55.8125
Gen 50: best_fit = 55.7429
Gen 100: best_fit = 55.7105
Gen 150: best_fit = 55.6812
Gen 200: best_fit = 55.6569
Gen 250: best_fit = 55.6412
Gen 300: best_fit = 55.6141
Gen 350: best_fit = 55.6002
Gen 400: best_fit = 55.5848
Gen 450: best_fit = 55.5722
Gen 500: best_fit = 55.5516
Gen 550: best_fit = 55.5395
Gen 600: best_fit = 55.5257
Gen 650: best_fit = 55.5118
Gen 700: best_fit = 55.501
Gen 750: best_fit = 55.4884
Gen 800: best_fit = 55.4801
Gen 850: best_fit = 55.4724
Gen 900: best_fit = 55.4604
Gen 950: best_fit = 55.4496
Gen 1000: best_fit = 55.4419
Gen 1050: best_fit = 55.4354
Gen 1100: best_fit = 55.4308
Gen 1150: best_fit = 55.424
Gen 1200: best_fit = 55.4108
Gen 1250: best_fit = 55.4043
Gen 1300: best_fit = 55.3991
Gen 1350: best_fit = 55.3911
Gen 1400: best_fit = 55.3837
Gen 1450: best_fit = 55.3794
Gen 1500: best_fit = 55.375
Gen 1550: best_fit = 55.3673
Gen 1600: best_fit = 55.3627
Gen 1650: best_fit = 55.3587
Gen 1700: best_fit = 55.3467
Gen 1750: best_fit = 55.3384
Gen 1800: best_fit = 55.3381
Gen 1850: best_fit = 55.3347
Gen 1900: best_fit = 55.3298
Gen 1950: best_fit = 55.3258
Gen 2000: best_fit = 55.3258
Gen 2050: best_fit = 55.3208
Gen 2100: best_fit = 55.3205
Gen 2150: best_fit = 55.3193
