Command: 'C:\Users\Hu\Desktop\CED_schedule_Final_Branch2_åˆ†å—+HIHH_CLEAN\build\Release\CED_Schedule.exe' --solver CCHIHH --seed 5 --generations 10000 --log_every 50 --data_dir 'C:\Users\Hu\Desktop\CED_schedule_Final_Branch2_åˆ†å—+HIHH_CLEAN\data' --data_file data_matrix_100.txt
=== CED_Schedule Configuration ===
Data directory: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final_Branch2_·Ö¿é+HIHH_CLEAN\\data"
Data file: data_matrix_100.txt
Generations: 10000
Population size: 40
Random seed: 5
Pini (heuristic prob): 0.4
Solver: CCHIHH
Migration: disabled
=================================
[Initial] Loading data from: "C:\\Users\\Hu\\Desktop\\CED_schedule_Final_Branch2_·Ö¿é+HIHH_CLEAN\\data\\data_matrix_100.txt"

=== Running CC-HIHH-UCB Solver ===
[CC-HIHH] Initializing solver...
  CE_Tnum=100, M_Jnum=100, M_OPTnum=5, ops=500
  Nvar=1200, popsize=40, nSubpop=8
  Block 0 (offload): start=0, len=200
  Block 1 (seq): start=200, len=500
  Block 2 (dev): start=700, len=500
[CC-HIHH] Initial evaluation...
[CC-HIHH] Initial gbest_fit = 55.8115
Gen 50: best_fit = 55.7413
Gen 100: best_fit = 55.717
Gen 150: best_fit = 55.6902
Gen 200: best_fit = 55.6674
Gen 250: best_fit = 55.6464
Gen 300: best_fit = 55.6224
Gen 350: best_fit = 55.6021
Gen 400: best_fit = 55.5907
Gen 450: best_fit = 55.5707
Gen 500: best_fit = 55.558
Gen 550: best_fit = 55.5466
Gen 600: best_fit = 55.5386
Gen 650: best_fit = 55.5294
Gen 700: best_fit = 55.5223
Gen 750: best_fit = 55.5115
Gen 800: best_fit = 55.5026
Gen 850: best_fit = 55.4909
Gen 900: best_fit = 55.4829
Gen 950: best_fit = 55.4724
Gen 1000: best_fit = 55.4647
Gen 1050: best_fit = 55.4604
Gen 1100: best_fit = 55.453
Gen 1150: best_fit = 55.4459
Gen 1200: best_fit = 55.4425
Gen 1250: best_fit = 55.4348
Gen 1300: best_fit = 55.4274
Gen 1350: best_fit = 55.4225
Gen 1400: best_fit = 55.4191
Gen 1450: best_fit = 55.4139
Gen 1500: best_fit = 55.4114
Gen 1550: best_fit = 55.4031
Gen 1600: best_fit = 55.3951
