gen,offload_GA,offload_DE,offload_BITFLIP,offload_RESAMPLE,seq_GA,seq_SWAP,seq_VNS,seq_RESAMPLE,dev_DE,dev_GDE,dev_LEVY,dev_RESAMPLE,overall_GA,overall_DE,overall_GDE,overall_BITFLIP,overall_SWAP,overall_VNS,overall_LEVY,overall_RESAMPLE
50,0.02,0.96,0.02,0,0.2575,0.69,0.0375,0.015,0.06,0.8625,0.06,0.0175,0.0925,0.34,0.2875,0.00666667,0.23,0.0125,0.02,0.0108333
100,0,1,0,0,0.7325,0.0675,0.195,0.005,0.115,0.7675,0.115,0.0025,0.244167,0.371667,0.255833,0,0.0225,0.065,0.0383333,0.0025
150,0,1,0,0,0.475,0.09,0.4325,0.0025,0.1125,0.7875,0.0975,0.0025,0.158333,0.370833,0.2625,0,0.03,0.144167,0.0325,0.00166667
200,0,1,0,0,0.375,0.08,0.545,0,0.1325,0.8375,0.03,0,0.125,0.3775,0.279167,0,0.0266667,0.181667,0.01,0
250,0,1,0,0,0.2725,0.0775,0.65,0,0.11,0.86,0.03,0,0.0908333,0.37,0.286667,0,0.0258333,0.216667,0.01,0
300,0,1,0,0,0.27,0.105,0.625,0,0.1425,0.785,0.0725,0,0.09,0.380833,0.261667,0,0.035,0.208333,0.0241667,0
350,0,1,0,0,0.4675,0.0725,0.4575,0.0025,0.24,0.725,0.0325,0.0025,0.155833,0.413333,0.241667,0,0.0241667,0.1525,0.0108333,0.00166667
400,0.1,0.86,0.02,0.02,0.2775,0.09,0.63,0.0025,0.235,0.675,0.09,0,0.125833,0.365,0.225,0.00666667,0.03,0.21,0.03,0.0075
450,0.655,0.2075,0.135,0.0025,0.2125,0.19,0.585,0.0125,0.075,0.775,0.1475,0.0025,0.289167,0.0941667,0.258333,0.045,0.0633333,0.195,0.0491667,0.00583333
500,0.6575,0.2275,0.115,0,0.2075,0.1725,0.605,0.015,0.075,0.895,0.03,0,0.288333,0.100833,0.298333,0.0383333,0.0575,0.201667,0.01,0.005
550,0.645,0.2275,0.115,0.0125,0.2075,0.175,0.6075,0.01,0.1575,0.72,0.1175,0.005,0.284167,0.128333,0.24,0.0383333,0.0583333,0.2025,0.0391667,0.00916667
600,0.5425,0.325,0.1325,0,0.19,0.125,0.675,0.01,0.0175,0.955,0.0275,0,0.244167,0.114167,0.318333,0.0441667,0.0416667,0.225,0.00916667,0.00333333
650,0.64,0.3125,0.045,0.0025,0.23,0.1025,0.6625,0.005,0.0175,0.96,0.02,0.0025,0.29,0.11,0.32,0.015,0.0341667,0.220833,0.00666667,0.00333333
700,0.405,0.475,0.1175,0.0025,0.115,0.095,0.7875,0.0025,0.0075,0.98,0.0125,0,0.173333,0.160833,0.326667,0.0391667,0.0316667,0.2625,0.00416667,0.00166667
750,0.3225,0.59,0.0875,0,0.0325,0.1275,0.8375,0.0025,0.005,0.94,0.055,0,0.118333,0.198333,0.313333,0.0291667,0.0425,0.279167,0.0183333,0.000833333
