gen,op_id,w0,w1,w2,w3,w4,w5,w6,norm
50,0,0,0,0,7.719631394928445e-05,0,0.0007713615165873031,0.001542723033174606,0.001726543430454814
50,1,-6.663897875216135e-07,2.032164467537343e-07,1.157715798111676e-05,1.618957414931145e-05,0.000115421357243279,0.0001511317319484186,0.0002926727858569189,0.0003495952916747995
50,2,2.879390268124064e-08,8.589911784927445e-09,1.478056217213001e-06,7.165475875672432e-06,0.0001332278287191514,7.255880598954953e-05,0.0001439695134062032,0.0002092729917114224
50,3,0,0,0,0,0,0,0,0
100,0,0,0,0,7.719631394928445e-05,0,0.0007713615165873031,0.001542723033174606,0.001726543430454814
100,1,-1.365249077096552e-06,1.224185018171812e-07,1.14995588505786e-05,1.618719063343105e-05,5.964651131551886e-05,0.0001156794312369522,0.0002218643819444869,0.0002579910560169079
100,2,2.879390268124064e-08,8.589911784927445e-09,1.478056217213001e-06,7.165475875672432e-06,0.0001332278287191514,7.255880598954953e-05,0.0001439695134062032,0.0002092729917114224
100,3,0,0,0,0,0,0,0,0
150,0,0,0,0,7.719631394928445e-05,0,0.0007713615165873031,0.001542723033174606,0.001726543430454814
150,1,-1.813489590902384e-06,-1.248527594820806e-07,1.145055103850232e-05,1.618517316161591e-05,3.73922102196874e-05,9.68500111084165e-05,0.0001841312956994912,0.0002123177227055053
150,2,2.879390268124064e-08,8.589911784927445e-09,1.478056217213001e-06,7.165475875672432e-06,0.0001332278287191514,7.255880598954953e-05,0.0001439695134062032,0.0002092729917114224
150,3,0,0,0,0,0,0,0,0
200,0,0,0,0,7.719631394928445e-05,0,0.0007713615165873031,0.001542723033174606,0.001726543430454814
200,1,-1.849888924290978e-06,-1.432111640590685e-07,1.143422760855747e-05,1.618436044616793e-05,3.327612583754653e-05,9.338000320273543e-05,0.000177209398840168,0.0002040255235717295
200,2,2.879390268124064e-08,8.589911784927445e-09,1.478056217213001e-06,7.165475875672432e-06,0.0001332278287191514,7.255880598954953e-05,0.0001439695134062032,0.0002092729917114224
200,3,0,0,0,0,0,0,0,0
250,0,0,0,0,7.719631394928445e-05,0,0.0007713615165873031,0.001542723033174606,0.001726543430454814
250,1,-3.524214045539354e-06,-1.675278606097464e-07,1.141670086756747e-05,1.618115637525248e-05,5.77002759787673e-07,5.585446251562305e-05,0.0001021860062631474,0.000118180594099322
