task_id,type,assigned_tier,server_id,start_time,end_time,job_id,op_index
CE_0,CE,cloud,c0,416.704000,763.351969,,
CE_1,CE,edge,e44,0.000000,249.660377,,
CE_2,CE,cloud,c0,456.970000,925.949809,,
CE_3,CE,cloud,c0,0.000000,232.738804,,
CE_4,CE,edge,e61,0.000000,467.663380,,
CE_5,CE,edge,e91,0.000000,554.777632,,
CE_6,CE,cloud,c7,0.000000,377.352941,,
CE_7,CE,cloud,c0,0.000000,443.067102,,
CE_8,CE,cloud,c1,0.000000,783.518000,,
CE_9,CE,edge,e43,0.000000,489.069503,,
CE_10,CE,cloud,c4,0.000000,388.356409,,
CE_11,CE,cloud,c0,0.000000,327.070325,,
CE_12,CE,cloud,c0,419.676000,654.930279,,
CE_13,CE,cloud,c41,0.000000,458.428902,,
CE_14,CE,cloud,c2,0.000000,526.121864,,
CE_15,CE,cloud,c24,0.000000,397.116810,,
CE_16,CE,cloud,c0,0.000000,352.811671,,
CE_17,CE,cloud,c30,0.000000,198.744972,,
CE_18,CE,cloud,c0,440.920000,771.197074,,
CE_19,CE,cloud,c18,0.000000,453.986447,,
CE_20,CE,cloud,c32,0.000000,264.696705,,
CE_21,CE,cloud,c0,0.000000,313.183552,,
CE_22,CE,cloud,c9,589.488000,906.336428,,
CE_23,CE,cloud,c0,0.000000,261.378995,,
CE_24,CE,edge,e52,0.000000,648.440209,,
CE_25,CE,edge,e57,0.000000,429.692812,,
CE_26,CE,cloud,c38,0.000000,509.900920,,
CE_27,CE,cloud,c0,0.000000,475.436592,,
CE_28,CE,cloud,c0,509.312000,770.472596,,
CE_29,CE,edge,e9,426.768000,700.010328,,
CE_30,CE,cloud,c40,0.000000,146.001713,,
CE_31,CE,cloud,c22,0.000000,465.857679,,
CE_32,CE,cloud,c16,0.000000,307.804035,,
CE_33,CE,edge,e30,0.000000,309.465813,,
CE_34,CE,edge,e11,0.000000,260.833859,,
CE_35,CE,cloud,c13,0.000000,453.141810,,
CE_36,CE,cloud,c0,0.000000,219.073588,,
CE_37,CE,edge,e21,0.000000,855.892481,,
CE_38,CE,cloud,c95,0.000000,280.366209,,
CE_39,CE,cloud,c36,0.000000,390.945102,,
CE_40,CE,cloud,c81,0.000000,276.951972,,
CE_41,CE,cloud,c50,0.000000,521.152000,,
CE_42,CE,cloud,c0,0.000000,193.469246,,
CE_43,CE,cloud,c79,0.000000,244.160678,,
CE_44,CE,edge,e35,0.000000,311.665586,,
CE_45,CE,edge,e46,0.000000,270.588532,,
CE_46,CE,cloud,c57,0.000000,363.638397,,
CE_47,CE,cloud,c58,0.000000,537.993187,,
CE_48,CE,edge,e70,0.000000,232.659258,,
CE_49,CE,cloud,c56,417.816000,909.637640,,
CE_50,CE,edge,e0,419.830000,843.292287,,
CE_51,CE,cloud,c44,0.000000,792.528000,,
CE_52,CE,cloud,c25,740.950000,889.319238,,
CE_53,CE,cloud,c29,0.000000,897.930000,,
CE_54,CE,cloud,c0,0.000000,171.384771,,
CE_55,CE,cloud,c52,494.052000,831.065982,,
CE_56,CE,cloud,c77,425.540000,749.355267,,
CE_57,CE,cloud,c98,550.118000,754.179649,,
CE_58,CE,cloud,c89,0.000000,676.334000,,
CE_59,CE,cloud,c71,0.000000,718.494000,,
CE_60,CE,edge,e63,0.000000,745.510206,,
CE_61,CE,edge,e68,0.000000,392.284617,,
CE_62,CE,cloud,c0,440.658000,869.204751,,
CE_63,CE,cloud,c98,0.000000,417.897269,,
CE_64,CE,cloud,c37,0.000000,449.799743,,
CE_65,CE,cloud,c98,0.000000,211.069827,,
CE_66,CE,cloud,c88,408.898000,930.273183,,
CE_67,CE,cloud,c43,507.248000,828.429544,,
CE_68,CE,cloud,c63,0.000000,168.055830,,
CE_69,CE,cloud,c73,0.000000,509.978979,,
CE_70,CE,edge,e76,415.770000,852.464327,,
CE_71,CE,cloud,c98,0.000000,498.483680,,
CE_72,CE,cloud,c98,625.996000,846.532345,,
CE_73,CE,cloud,c98,0.000000,165.785977,,
CE_74,CE,cloud,c94,0.000000,344.092369,,
CE_75,CE,cloud,c68,0.000000,358.226106,,
CE_76,CE,edge,e95,0.000000,687.286604,,
CE_77,CE,cloud,c98,0.000000,395.389417,,
CE_78,CE,cloud,c98,387.458000,670.086525,,
CE_79,CE,cloud,c66,480.728000,924.622866,,
CE_80,CE,cloud,c86,0.000000,344.890513,,
