task_id,type,assigned_tier,server_id,start_time,end_time,job_id,op_index
CE_0,CE,cloud,c0,421.600000,768.274741,,
CE_1,CE,edge,e44,0.000000,249.830787,,
CE_2,CE,cloud,c31,329.576000,798.562638,,
CE_3,CE,cloud,c10,0.000000,232.691757,,
CE_4,CE,cloud,c8,0.000000,278.662300,,
CE_5,CE,edge,e91,0.000000,554.948779,,
CE_6,CE,cloud,c74,0.000000,377.342572,,
CE_7,CE,cloud,c30,0.000000,443.010799,,
CE_8,CE,cloud,c3,0.000000,887.680000,,
CE_9,CE,cloud,c45,0.000000,291.382489,,
CE_10,CE,cloud,c24,0.000000,388.348535,,
CE_11,CE,cloud,c14,0.000000,327.470819,,
CE_12,CE,cloud,c18,398.874000,634.356915,,
CE_13,CE,cloud,c26,0.000000,458.484927,,
CE_14,CE,cloud,c13,0.000000,526.130780,,
CE_15,CE,cloud,c28,0.000000,397.210061,,
CE_16,CE,cloud,c35,0.000000,352.718384,,
CE_17,CE,edge,e19,0.000000,333.643860,,
CE_18,CE,edge,e98,375.190000,929.734234,,
CE_19,CE,edge,e82,0.000000,763.031363,,
CE_20,CE,cloud,c58,0.000000,264.497311,,
CE_21,CE,cloud,c36,0.000000,313.141312,,
CE_22,CE,cloud,c42,465.374000,782.200014,,
CE_23,CE,cloud,c57,0.000000,261.398139,,
CE_24,CE,cloud,c6,0.000000,386.095340,,
CE_25,CE,cloud,c82,0.000000,255.760916,,
CE_26,CE,cloud,c19,0.000000,509.906017,,
CE_27,CE,cloud,c27,0.000000,475.644675,,
CE_28,CE,cloud,c22,490.830000,752.236600,,
CE_29,CE,cloud,c4,640.200000,803.184372,,
CE_30,CE,cloud,c23,0.000000,145.990820,,
CE_31,CE,cloud,c9,0.000000,466.101570,,
CE_32,CE,cloud,c0,0.000000,307.956530,,
CE_33,CE,cloud,c45,0.000000,184.240776,,
CE_34,CE,edge,e0,0.000000,260.815850,,
CE_35,CE,edge,e56,0.000000,760.980289,,
CE_36,CE,edge,e92,0.000000,368.217089,,
CE_37,CE,cloud,c68,0.000000,509.338228,,
CE_38,CE,cloud,c11,0.000000,280.318488,,
CE_39,CE,edge,e81,0.000000,656.433131,,
CE_40,CE,edge,e25,0.000000,464.915747,,
CE_41,CE,edge,e40,0.000000,675.387685,,
CE_42,CE,cloud,c9,0.000000,193.550082,,
CE_43,CE,cloud,c39,0.000000,244.174944,,
CE_44,CE,edge,e29,0.000000,311.894660,,
CE_45,CE,cloud,c60,0.000000,160.999582,,
CE_46,CE,cloud,c4,0.000000,363.651364,,
CE_47,CE,cloud,c94,0.000000,538.607204,,
CE_48,CE,cloud,c62,0.000000,139.057038,,
CE_49,CE,cloud,c2,444.060000,936.147489,,
CE_50,CE,cloud,c1,627.262000,880.363838,,
CE_51,CE,edge,e17,0.000000,434.258000,,
CE_52,CE,cloud,c49,547.912000,696.393526,,
CE_53,CE,cloud,c98,0.000000,506.924000,,
CE_54,CE,cloud,c99,0.000000,171.304402,,
CE_55,CE,edge,e28,348.208000,914.054450,,
CE_56,CE,cloud,c71,482.594000,804.829007,,
CE_57,CE,cloud,c55,603.208000,807.394313,,
CE_58,CE,cloud,c32,0.000000,515.440000,,
CE_59,CE,cloud,c61,0.000000,486.356000,,
CE_60,CE,cloud,c70,0.000000,443.669350,,
CE_61,CE,cloud,c72,0.000000,233.779527,,
CE_62,CE,cloud,c78,434.332000,863.456956,,
CE_63,CE,edge,e18,0.000000,702.084625,,
CE_64,CE,cloud,c67,0.000000,449.980947,,
CE_65,CE,cloud,c86,0.000000,211.128059,,
CE_66,CE,cloud,c20,402.656000,923.823754,,
CE_67,CE,cloud,c60,463.336000,784.614999,,
CE_68,CE,edge,e97,0.000000,282.624909,,
CE_69,CE,cloud,c69,0.000000,510.237530,,
CE_70,CE,cloud,c78,665.514000,925.393338,,
CE_71,CE,edge,e7,0.000000,838.245923,,
CE_72,CE,cloud,c53,495.068000,715.609065,,
CE_73,CE,edge,e66,0.000000,277.850820,,
CE_74,CE,cloud,c64,0.000000,344.020716,,
CE_75,CE,cloud,c88,0.000000,358.357261,,
CE_76,CE,edge,e46,0.000000,687.179990,,
CE_77,CE,cloud,c79,0.000000,395.615617,,
CE_78,CE,cloud,c83,493.612000,776.187910,,
CE_79,CE,cloud,c73,408.610000,852.495265,,
CE_80,CE,cloud,c82,0.000000,345.088312,,
CE_81,CE,cloud,c53,0.000000,195.307230,,
CE_82,CE,cloud,c57,0.000000,375.763617,,
CE_83,CE,cloud,c95,0.000000,279.700976,,
CE_84,CE,cloud,c79,0.000000,363.124107,,
CE_85,CE,edge,e2,0.000000,336.539683,,
CE_86,CE,cloud,c59,422.418000,660.528260,,
CE_87,CE,cloud,c19,0.000000,243.563238,,
CE_88,CE,cloud,c93,0.000000,808.050000,,
CE_89,CE,cloud,c84,0.000000,146.520507,,
CE_90,CE,cloud,c51,0.000000,645.288000,,
CE_91,CE,cloud,c86,0.000000,298.660979,,
CE_92,CE,cloud,c46,0.000000,490.385957,,
CE_93,CE,cloud,c84,595.612000,781.527617,,
CE_94,CE,cloud,c99,0.000000,344.398358,,
CE_95,CE,cloud,c66,0.000000,463.843869,,
CE_96,CE,cloud,c99,567.072000,868.898784,,
CE_97,CE,cloud,c98,0.000000,524.052571,,
CE_98,CE,cloud,c72,647.816000,886.777331,,
CE_99,CE,edge,e61,276.744000,843.402649,,
CE_100,CE,cloud,c0,0.000000,259.154294,,
CE_101,CE,edge,e12,0.000000,420.122128,,
CE_102,CE,cloud,c23,381.690000,545.974537,,
CE_103,CE,cloud,c36,0.000000,451.787531,,
CE_104,CE,cloud,c0,0.000000,401.002920,,
CE_105,CE,cloud,c12,0.000000,475.281930,,
CE_106,CE,cloud,c16,0.000000,328.813988,,
CE_107,CE,edge,e24,404.262000,756.434186,,
CE_108,CE,cloud,c21,455.890000,859.385554,,
CE_109,CE,cloud,c5,426.078000,940.722121,,
CE_110,CE,cloud,c7,0.000000,361.709891,,
CE_111,CE,edge,e69,529.368000,937.440051,,
CE_112,CE,cloud,c25,0.000000,348.480129,,
CE_113,CE,cloud,c21,410.652000,892.763173,,
CE_114,CE,cloud,c26,470.400000,938.058416,,
CE_115,CE,cloud,c1,0.000000,390.199404,,
CE_116,CE,edge,e11,0.000000,733.746416,,
CE_117,CE,edge,e9,0.000000,250.065002,,
CE_118,CE,edge,e6,0.000000,322.182157,,
CE_119,CE,edge,e67,625.890000,861.358095,,
CE_120,CE,cloud,c9,564.718000,883.431327,,
CE_121,CE,cloud,c18,0.000000,335.012687,,
CE_122,CE,cloud,c41,0.000000,710.416000,,
CE_123,CE,cloud,c18,0.000000,469.861298,,
CE_124,CE,cloud,c45,259.804000,617.077507,,
CE_125,CE,edge,e38,0.000000,726.826554,,
CE_126,CE,cloud,c38,0.000000,527.230360,,
CE_127,CE,edge,e83,0.000000,748.909415,,
CE_128,CE,edge,e13,0.000000,737.463672,,
CE_129,CE,edge,e20,0.000000,664.121120,,
CE_130,CE,cloud,c15,0.000000,348.930551,,
CE_131,CE,cloud,c40,0.000000,447.011666,,
CE_132,CE,cloud,c17,0.000000,453.291721,,
CE_133,CE,cloud,c56,0.000000,256.707202,,
CE_134,CE,cloud,c91,0.000000,461.934754,,
CE_135,CE,cloud,c29,0.000000,196.168799,,
CE_136,CE,cloud,c21,0.000000,352.321617,,
CE_137,CE,cloud,c45,0.000000,509.707969,,
CE_138,CE,edge,e53,0.000000,376.373300,,
CE_139,CE,cloud,c0,0.000000,498.033656,,
CE_140,CE,cloud,c54,0.000000,332.494884,,
CE_141,CE,cloud,c34,0.000000,432.076829,,
CE_142,CE,edge,e89,0.000000,331.195695,,
CE_143,CE,cloud,c53,0.000000,156.820581,,
CE_144,CE,cloud,c50,0.000000,238.060772,,
CE_145,CE,cloud,c39,0.000000,378.167593,,
CE_146,CE,cloud,c36,0.000000,498.519304,,
CE_147,CE,cloud,c57,0.000000,364.255066,,
CE_148,CE,cloud,c37,0.000000,347.492794,,
CE_149,CE,cloud,c75,0.000000,289.767655,,
CE_150,CE,cloud,c87,0.000000,339.007450,,
CE_151,CE,cloud,c63,0.000000,425.871169,,
CE_152,CE,cloud,c48,0.000000,487.978462,,
CE_153,CE,cloud,c43,0.000000,276.791576,,
CE_154,CE,cloud,c4,0.000000,409.902441,,
CE_155,CE,edge,e47,0.000000,464.594575,,
CE_156,CE,cloud,c79,0.000000,239.480080,,
CE_157,CE,cloud,c49,0.000000,158.132906,,
CE_158,CE,edge,e74,0.000000,504.338678,,
CE_159,CE,cloud,c78,0.000000,383.456899,,
CE_160,CE,cloud,c52,0.000000,342.175595,,
CE_161,CE,cloud,c46,0.000000,317.504738,,
CE_162,CE,edge,e30,0.000000,752.696895,,
CE_163,CE,cloud,c45,0.000000,320.147238,,
CE_164,CE,edge,e4,0.000000,699.133544,,
CE_165,CE,cloud,c1,0.000000,360.771948,,
CE_166,CE,cloud,c85,0.000000,520.880150,,
CE_167,CE,edge,e49,0.000000,455.093559,,
CE_168,CE,edge,e63,0.000000,529.262790,,
CE_169,CE,cloud,c92,0.000000,446.566191,,
CE_170,CE,cloud,c77,0.000000,256.460521,,
CE_171,CE,cloud,c98,0.000000,457.826074,,
CE_172,CE,cloud,c26,0.000000,266.816506,,
CE_173,CE,cloud,c86,0.000000,198.446714,,
CE_174,CE,cloud,c82,0.000000,358.049180,,
CE_175,CE,cloud,c39,0.000000,363.766396,,
CE_176,CE,cloud,c44,0.000000,259.244937,,
CE_177,CE,cloud,c60,0.000000,246.115553,,
CE_178,CE,cloud,c19,0.000000,540.713587,,
CE_179,CE,edge,e65,0.000000,571.753081,,
CE_180,CE,cloud,c96,0.000000,423.196035,,
CE_181,CE,cloud,c81,0.000000,306.227694,,
CE_182,CE,cloud,c52,0.000000,360.616458,,
CE_183,CE,edge,e42,0.000000,423.414263,,
CE_184,CE,edge,e15,0.000000,343.597165,,
CE_185,CE,cloud,c97,0.000000,473.473976,,
CE_186,CE,cloud,c33,0.000000,412.237227,,
CE_187,CE,cloud,c72,0.000000,259.511723,,
CE_188,CE,cloud,c90,0.000000,300.582631,,
CE_189,CE,cloud,c76,0.000000,363.598561,,
CE_190,CE,cloud,c84,0.000000,161.814745,,
CE_191,CE,edge,e80,0.000000,647.100247,,
CE_192,CE,cloud,c80,0.000000,538.954732,,
CE_193,CE,cloud,c65,0.000000,413.722884,,
CE_194,CE,cloud,c89,0.000000,325.564862,,
CE_195,CE,cloud,c82,0.000000,185.772414,,
CE_196,CE,cloud,c82,0.000000,354.182565,,
CE_197,CE,cloud,c52,0.000000,372.216357,,
CE_198,CE,cloud,c47,0.000000,418.672020,,
CE_199,CE,cloud,c46,0.000000,493.637568,,
MFG_j1_op1,MFG,device,d177,0.000000,97.630000,j1,1
MFG_j1_op2,MFG,device,d56,97.630000,204.676000,j1,2
MFG_j1_op3,MFG,device,d131,204.676000,312.204000,j1,3
MFG_j1_op4,MFG,device,d274,312.204000,421.600000,j1,4
MFG_j1_op5,MFG,device,d112,421.600000,506.970000,j1,5
MFG_j2_op1,MFG,device,d137,808.050000,949.216000,j2,1
MFG_j2_op2,MFG,device,d218,949.216000,1093.236000,j2,2
MFG_j2_op3,MFG,device,d82,1093.236000,1209.756000,j2,3
MFG_j2_op4,MFG,device,d291,702.068000,768.052000,j2,4
MFG_j2_op5,MFG,device,d206,768.052000,878.794000,j2,5
MFG_j3_op1,MFG,device,d21,878.794000,947.680000,j3,1
MFG_j3_op2,MFG,device,d142,947.680000,1032.866000,j3,2
MFG_j3_op3,MFG,device,d54,1032.866000,1101.276000,j3,3
MFG_j3_op4,MFG,device,d249,199.154000,329.576000,j3,4
MFG_j3_op5,MFG,device,d217,329.576000,481.798000,j3,5
MFG_j4_op1,MFG,device,d258,481.798000,595.612000,j4,1
MFG_j4_op2,MFG,device,d249,1577.146000,1679.250000,j4,2
MFG_j4_op3,MFG,device,d19,1679.250000,1767.986000,j4,3
MFG_j4_op4,MFG,device,d75,269.734000,362.636000,j4,4
MFG_j4_op5,MFG,device,d202,362.636000,457.636000,j4,5
MFG_j5_op1,MFG,device,d38,457.636000,564.602000,j5,1
MFG_j5_op2,MFG,device,d210,732.056000,812.746000,j5,2
MFG_j5_op3,MFG,device,d275,996.754000,1083.122000,j5,3
MFG_j5_op4,MFG,device,d220,206.920000,344.276000,j5,4
MFG_j5_op5,MFG,device,d88,344.276000,488.776000,j5,5
MFG_j6_op1,MFG,device,d7,488.776000,627.262000,j6,1
MFG_j6_op2,MFG,device,d12,898.600000,1009.144000,j6,2
MFG_j6_op3,MFG,device,d116,1009.144000,1078.174000,j6,3
MFG_j6_op4,MFG,device,d48,433.982000,524.066000,j6,4
MFG_j6_op5,MFG,device,d147,926.800000,1067.156000,j6,5
MFG_j7_op1,MFG,device,d141,1067.156000,1223.952000,j7,1
MFG_j7_op2,MFG,device,d92,1223.952000,1326.750000,j7,2
MFG_j7_op3,MFG,device,d244,1326.750000,1439.034000,j7,3
MFG_j7_op4,MFG,device,d226,946.960000,1061.462000,j7,4
MFG_j7_op5,MFG,device,d50,1061.462000,1147.954000,j7,5
MFG_j8_op1,MFG,device,d23,1147.954000,1265.280000,j8,1
MFG_j8_op2,MFG,device,d100,1330.086000,1418.512000,j8,2
MFG_j8_op3,MFG,device,d185,1935.958000,2072.130000,j8,3
MFG_j8_op4,MFG,device,d108,434.332000,547.920000,j8,4
MFG_j8_op5,MFG,device,d202,601.254000,719.060000,j8,5
MFG_j9_op1,MFG,device,d193,719.060000,848.626000,j9,1
MFG_j9_op2,MFG,device,d241,918.070000,1019.174000,j9,2
MFG_j9_op3,MFG,device,d244,1019.174000,1129.658000,j9,3
MFG_j9_op4,MFG,device,d154,382.684000,529.576000,j9,4
MFG_j9_op5,MFG,device,d244,749.090000,887.680000,j9,5
MFG_j10_op1,MFG,device,d232,887.680000,980.352000,j10,1
MFG_j10_op2,MFG,device,d255,980.352000,1073.704000,j10,2
MFG_j10_op3,MFG,device,d63,1073.704000,1210.342000,j10,3
MFG_j10_op4,MFG,device,d254,1210.342000,1346.612000,j10,4
MFG_j10_op5,MFG,device,d196,1346.612000,1463.956000,j10,5
MFG_j11_op1,MFG,device,d179,1463.956000,1627.936000,j11,1
MFG_j11_op2,MFG,device,d63,1627.936000,1704.466000,j11,2
MFG_j11_op3,MFG,device,d121,1704.466000,1829.666000,j11,3
MFG_j11_op4,MFG,device,d150,707.706000,814.314000,j11,4
MFG_j11_op5,MFG,device,d133,814.314000,909.082000,j11,5
MFG_j12_op1,MFG,device,d16,1043.604000,1197.678000,j12,1
MFG_j12_op2,MFG,device,d119,1271.872000,1413.294000,j12,2
MFG_j12_op3,MFG,device,d149,1828.348000,1916.266000,j12,3
MFG_j12_op4,MFG,device,d178,330.602000,455.652000,j12,4
MFG_j12_op5,MFG,device,d16,768.052000,905.940000,j12,5
MFG_j13_op1,MFG,device,d173,905.940000,1020.998000,j13,1
MFG_j13_op2,MFG,device,d82,1053.894000,1153.208000,j13,2
MFG_j13_op3,MFG,device,d173,1153.208000,1290.344000,j13,3
MFG_j13_op4,MFG,device,d227,298.084000,398.874000,j13,4
MFG_j13_op5,MFG,device,d170,398.874000,478.326000,j13,5
MFG_j14_op1,MFG,device,d263,562.714000,686.200000,j14,1
MFG_j14_op2,MFG,device,d250,686.200000,799.486000,j14,2
MFG_j14_op3,MFG,device,d164,799.486000,893.416000,j14,3
MFG_j14_op4,MFG,device,d150,1120.048000,1233.808000,j14,4
MFG_j14_op5,MFG,device,d38,1426.540000,1577.146000,j14,5
MFG_j15_op1,MFG,device,d122,1577.146000,1717.260000,j15,1
MFG_j15_op2,MFG,device,d155,1717.260000,1814.650000,j15,2
MFG_j15_op3,MFG,device,d34,1814.650000,1951.304000,j15,3
MFG_j15_op4,MFG,device,d255,910.632000,1015.702000,j15,4
MFG_j15_op5,MFG,device,d111,1245.560000,1340.852000,j15,5
MFG_j16_op1,MFG,device,d71,1340.852000,1467.392000,j16,1
MFG_j16_op2,MFG,device,d167,1467.392000,1592.516000,j16,2
MFG_j16_op3,MFG,device,d205,1592.516000,1730.886000,j16,3
MFG_j16_op4,MFG,device,d121,767.792000,895.866000,j16,4
MFG_j16_op5,MFG,device,d121,1068.060000,1188.458000,j16,5
MFG_j17_op1,MFG,device,d120,1745.724000,1844.174000,j17,1
MFG_j17_op2,MFG,device,d218,1924.092000,1998.588000,j17,2
MFG_j17_op3,MFG,device,d50,1998.588000,2112.050000,j17,3
MFG_j17_op4,MFG,device,d119,351.062000,428.268000,j17,4
MFG_j17_op5,MFG,device,d173,487.404000,642.828000,j17,5
MFG_j18_op1,MFG,device,d121,881.242000,980.202000,j18,1
MFG_j18_op2,MFG,device,d73,1402.950000,1511.608000,j18,2
MFG_j18_op3,MFG,device,d42,1511.608000,1641.300000,j18,3
MFG_j18_op4,MFG,device,d50,306.350000,399.606000,j18,4
MFG_j18_op5,MFG,device,d252,763.180000,898.600000,j18,5
MFG_j19_op1,MFG,device,d21,898.600000,993.098000,j19,1
MFG_j19_op2,MFG,device,d45,993.098000,1066.714000,j19,2
MFG_j19_op3,MFG,device,d53,1767.986000,1887.298000,j19,3
MFG_j19_op4,MFG,device,d255,282.900000,375.190000,j19,4
MFG_j19_op5,MFG,device,d52,375.190000,515.034000,j19,5
MFG_j20_op1,MFG,device,d146,949.216000,1058.672000,j20,1
MFG_j20_op2,MFG,device,d118,1058.672000,1120.048000,j20,2
MFG_j20_op3,MFG,device,d215,1417.800000,1471.724000,j20,3
MFG_j20_op4,MFG,device,d239,629.436000,704.374000,j20,4
MFG_j20_op5,MFG,device,d122,1008.718000,1122.564000,j20,5
MFG_j21_op1,MFG,device,d154,1122.564000,1242.518000,j21,1
MFG_j21_op2,MFG,device,d268,1925.170000,2009.260000,j21,2
MFG_j21_op3,MFG,device,d80,2009.260000,2085.336000,j21,3
MFG_j21_op4,MFG,device,d80,245.704000,345.744000,j21,4
MFG_j21_op5,MFG,device,d275,814.314000,960.426000,j21,5
MFG_j22_op1,MFG,device,d24,960.426000,1107.024000,j22,1
MFG_j22_op2,MFG,device,d27,1396.476000,1526.744000,j22,2
MFG_j22_op3,MFG,device,d25,1526.744000,1639.748000,j22,3
MFG_j22_op4,MFG,device,d218,668.750000,793.150000,j22,4
MFG_j22_op5,MFG,device,d185,793.150000,875.672000,j22,5
MFG_j23_op1,MFG,device,d55,875.672000,995.924000,j23,1
MFG_j23_op2,MFG,device,d195,1498.984000,1580.722000,j23,2
MFG_j23_op3,MFG,device,d147,2207.750000,2297.276000,j23,3
MFG_j23_op4,MFG,device,d218,286.552000,413.932000,j23,4
MFG_j23_op5,MFG,device,d119,465.374000,589.936000,j23,5
MFG_j24_op1,MFG,device,d272,589.936000,716.920000,j24,1
MFG_j24_op2,MFG,device,d263,1735.816000,1828.196000,j24,2
MFG_j24_op3,MFG,device,d270,1828.196000,1913.592000,j24,3
MFG_j24_op4,MFG,device,d121,629.436000,730.306000,j24,4
MFG_j24_op5,MFG,device,d114,730.306000,832.540000,j24,5
MFG_j25_op1,MFG,device,d224,832.540000,907.752000,j25,1
MFG_j25_op2,MFG,device,d185,1129.658000,1266.940000,j25,2
MFG_j25_op3,MFG,device,d239,1266.940000,1405.668000,j25,3
MFG_j25_op4,MFG,device,d248,316.734000,403.992000,j25,4
MFG_j25_op5,MFG,device,d24,455.890000,525.372000,j25,5
MFG_j26_op1,MFG,device,d95,1071.928000,1215.320000,j26,1
MFG_j26_op2,MFG,device,d150,1215.320000,1357.106000,j26,2
