gen,op_id,w0,w1,w2,w3,w4,w5,w6,norm
50,0,-5.420507325492557e-09,3.569240682293312e-09,9.021172588729581e-05,3.979400248976464e-05,-0.0001012486530384343,0.000138753590731811,0.0002360875966389705,0.0003081605427916994
50,1,-1.108949591201475e-09,2.10045568806163e-09,1.381107892743723e-05,5.237125349400832e-06,2.452998956772955e-05,5.12363626542617e-05,9.778386258748234e-05,0.0001140471061336783
50,2,1.34821915148596e-09,2.567158938816263e-09,2.614100094426952e-05,8.573836581924106e-06,9.105649436849062e-05,9.202784742479649e-05,0.0001760578270275377,0.0002202581007329556
50,3,0,0,0,0,0,0,0,0
100,0,-1.167640540617391e-08,4.249942920955558e-09,9.018375902669148e-05,4.063264106211612e-05,-0.0001256876658256723,0.0001128619346426961,0.0001843512154885979,0.0002688953297295978
100,1,1.189130254841749e-10,3.96474502973762e-09,1.381113207843856e-05,5.132322308904762e-06,2.845031583329513e-05,6.341925952557064e-05,0.0001221724665929144,0.0001413316053134847
100,2,-2.027540607221978e-09,2.310200824845834e-09,2.612543992665726e-05,8.367575851188485e-06,8.384240753357907e-05,7.763422340631089e-05,0.0001472883029760274,0.0001884224537705645
100,3,0,0,0,0,0,0,0,0
150,0,-1.063802181638312e-08,4.697385342457802e-09,9.01791978385743e-05,4.062439204467904e-05,-0.0001293103413430894,0.000114419159743586,0.0001874555245723204,0.0002733772325458355
150,1,-3.236104743017024e-09,3.466248696644795e-09,1.380347705582957e-05,5.103574170989162e-06,2.120373955330272e-05,4.969059993204621e-05,9.471169190931991e-05,0.0001100256395010443
150,2,-4.702445705025848e-09,2.427475565003857e-09,2.611649812959553e-05,8.288821595063859e-06,7.336515298787507e-05,6.790073325258939e-05,0.0001278241980585375,0.0001645683958859521
150,3,0,0,0,0,0,0,0,0
200,0,-8.899089386301841e-09,4.973332031610483e-09,9.017508898180976e-05,4.064722960388546e-05,-0.0001339502247873401,0.0001162848047729423,0.0001912032361414177,0.0002789394918327039
200,1,1.696409145998447e-10,3.699370692772948e-09,1.380108013541921e-05,5.104249879069287e-06,2.69056959149384e-05,5.879174358966874e-05,0.000112929678335322,0.00013095808882748
200,2,-5.337976069298775e-09,2.404742437415991e-09,2.6113877190971e-05,8.269327081869779e-06,7.214480091626436e-05,6.500771676328639e-05,0.0001220451987639061,0.00015835473616521
200,3,0,0,0,0,0,0,0,0
250,0,-1.947842371084565e-08,4.228585297506142e-09,9.016820247594583e-05,4.063424985724589e-05,-0.0001450341433544467,9.214334481322294e-05,0.0001429240423026857,0.0002444054581971539
250,1,-5.451029104858988e-09,3.48931313217939e-09,1.379481981146283e-05,5.090399687474976e-06,1.639408693324834e-05,4.53707830302433e-05,8.609424920800107e-05,9.977826942946899e-05
250,2,-8.270904032525674e-09,1.997630677753658e-09,2.61107207815531e-05,8.235932263386871e-06,6.894883888810528e-05,5.785187246681297e-05,0.000107740582586311,0.0001430329160030995
250,3,0,0,0,0,0,0,0,0
300,0,-2.564759136997458e-08,3.444952621153267e-09,9.016702726896963e-05,4.061447157251918e-05,-0.0001475252808925799,8.106149914500143e-05,0.0001207620540048783,0.000229559965174356
300,1,-8.736022915683786e-09,3.205346042793889e-09,1.379318627505702e-05,5.079161757681304e-06,1.346167758580301e-05,3.952279828727968e-05,7.439830449817941e-05,8.657035299949046e-05
300,2,-1.197362553019741e-08,1.759593674476685e-09,2.610929517282278e-05,8.22281730163293e-06,6.694163213780566e-05,5.119133828236365e-05,9.44211851710816e-05,0.0001294851559167531
300,3,0,0,0,0,0,0,0,0
350,0,-3.295019838817347e-08,2.719784764681382e-09,9.016619769478187e-05,4.060097093352612e-05,-0.0001494026155368514,6.964439018806751e-05,9.792817837559499e-05,0.000215730836633233
350,1,-1.235477282756417e-08,3.023185560209263e-09,1.379232780772396e-05,5.074732024646026e-06,1.121107576457858e-05,3.393307019397134e-05,6.321976040330114e-05,7.409359588585681e-05
