gen,op_id,w0,w1,w2,w3,w4,w5,w6,norm
50,0,-1.140606075494852e-08,-1.27464912128229e-09,7.441227254498916e-05,5.287889094644456e-05,-0.0001113487010256448,0.0001058959285305709,0.0002028718376601432,0.0002703753445856562
50,1,4.000839389331496e-09,4.419630914183973e-09,1.230164044501433e-05,3.287321235495092e-06,6.507836215470232e-05,0.000104230597192791,0.000208657905153192,0.0002424860178833132
50,2,3.670629422633323e-09,4.943523781418124e-09,5.5462025494204e-06,4.109167434324732e-06,4.890354213709653e-05,7.753303012796972e-05,0.0001534460921440673,0.000178875029130115
50,3,0,0,0,0,0,0,0,0
100,0,-1.327567984840039e-08,2.129084604766914e-10,7.437348468028699e-05,5.268270378679906e-05,-0.0001360413082896281,9.86547033511182e-05,0.0001884500318208818,0.0002684404686812471
100,1,9.419901857342656e-11,3.424133893500113e-09,1.226087911452148e-05,2.739533026950841e-06,3.132996683368815e-05,7.837394682942323e-05,0.0001570730566351308,0.0001787563193113029
100,2,1.447659595388531e-09,2.854961142731847e-09,5.54133760326673e-06,3.815309085396532e-06,4.494931866692711e-05,5.667586952254131e-05,0.0001117436793068082,0.0001332835635623421
100,3,0,0,0,0,0,0,0,0
150,0,-1.283218885411024e-08,-1.60481508540212e-10,7.437271490291761e-05,5.268046183052908e-05,-0.0001320892092697586,9.719835919420244e-05,0.0001855357198631966,0.0002638657149500654
150,1,4.276099907653628e-10,3.631454270148864e-09,1.225786738733196e-05,2.752431380705363e-06,3.018970688564672e-05,7.669409847388707e-05,0.0001537161788579601,0.000174871089634671
150,2,5.156129627734907e-09,3.483552130090912e-09,5.543037196886056e-06,3.832689308398072e-06,5.062804537979846e-05,7.015794351212813e-05,0.0001387065082038501,0.000163616155199773
150,3,0,0,0,0,0,0,0,0
200,0,-1.234556713601658e-08,-5.369910014438872e-11,7.436350138959574e-05,5.269500498732273e-05,-0.0001389756210315865,9.726672043264702e-05,0.0001856621197859092,0.0002674923455169987
200,1,-1.453300863721936e-09,2.945451873476982e-09,1.22511888531899e-05,2.747565658387731e-06,2.641115571429089e-05,6.976153393831725e-05,0.0001398508797218898,0.0001589972643749868
200,2,4.844617618500125e-09,2.208069560309832e-09,5.543014356699137e-06,3.816720897673144e-06,5.143111616686279e-05,6.787653833793178e-05,0.0001341319660763625,0.0001590253466757288
200,3,0,0,0,0,0,0,0,0
250,0,-2.881972616616441e-08,-2.451533765323298e-09,7.435731277890561e-05,5.264238935936695e-05,-0.0001466720514433521,6.002076110509143e-05,0.0001111694882880132,0.0002139487544301306
250,1,-9.328494484543121e-09,1.33997564160547e-09,1.224670370628116e-05,2.724122957743457e-06,2.00968949896951e-05,5.195474658032297e-05,0.0001042407211711444,0.0001188558434285305
250,2,-2.676284286702371e-09,1.503668618340263e-09,5.540288031327711e-06,3.762073765885939e-06,4.749063679738646e-05,5.110620791780916e-05,0.0001005917379449031,0.0001225999625360841
250,3,0,0,0,0,0,0,0,0
300,0,-2.325518299729433e-08,-1.32007231486664e-09,7.435702105121705e-05,5.265462221184128e-05,-0.0001466546921502443,7.009640406986124e-05,0.0001313266526036049,0.0002279676964828682
300,1,-9.083835523208747e-09,1.905885963310608e-09,1.22460339206055e-05,2.730804298958965e-06,1.877988848129179e-05,5.217577433182722e-05,0.0001046865829717116,0.0001191289176390052
300,2,3.793869978923773e-09,1.649206664226798e-09,5.543012945156966e-06,3.769560381788019e-06,5.271798696442935e-05,6.221424832853255e-05,0.0001228030153088972,0.0001475646096078553
300,3,0,0,0,0,0,0,0,0
350,0,-3.670405126721495e-08,-2.7946773639673e-09,7.435553545681935e-05,5.26348562849666e-05,-0.0001492697654371717,4.952019198833291e-05,9.01760481281941e-05,0.0002028906282913407
350,1,-1.313630743781189e-08,5.545026298844275e-10,1.224503798745805e-05,2.719928274406028e-06,1.689169509859206e-05,4.580221061843309e-05,9.194030934610954e-05,0.0001048500428302234
350,2,-5.192901666958175e-09,9.458942118975404e-10,5.539786441959253e-06,3.736901087352882e-06,4.718979650766181e-05,4.764739182323121e-05,9.367205019340663e-05,0.0001153960897121183
350,3,0,0,0,0,0,0,0,0
400,0,-3.572084284675586e-08,-2.754272629938464e-09,7.435571280629331e-05,5.263459700921532e-05,-0.0001491222278786461,5.098481697248865e-05,9.310534801581869e-05,0.0002044619044007339
