gen,offload_GA,offload_DE,offload_BITFLIP,offload_RESAMPLE,seq_GA,seq_SWAP,seq_VNS,seq_RESAMPLE,dev_DE,dev_GDE,dev_LEVY,dev_RESAMPLE,overall_GA,overall_DE,overall_GDE,overall_BITFLIP,overall_SWAP,overall_VNS,overall_LEVY,overall_RESAMPLE
50,0.6175,0.2125,0.17,0,0.605,0.2125,0.1675,0.015,0.5175,0.2025,0.265,0.015,0.4075,0.243333,0.0675,0.0566667,0.0708333,0.0558333,0.0883333,0.01
100,0.35,0.36,0.29,0,0.3875,0.28,0.305,0.0275,0.4875,0.3625,0.13,0.02,0.245833,0.2825,0.120833,0.0966667,0.0933333,0.101667,0.0433333,0.0158333
150,0.2725,0.495,0.2325,0,0.4625,0.41,0.115,0.0125,0.61,0.33,0.055,0.005,0.245,0.368333,0.11,0.0775,0.136667,0.0383333,0.0183333,0.00583333
200,0.2925,0.4825,0.225,0,0.5625,0.2475,0.185,0.005,0.41,0.375,0.205,0.01,0.285,0.2975,0.125,0.075,0.0825,0.0616667,0.0683333,0.005
250,0.2975,0.64,0.0625,0,0.4275,0.46,0.0975,0.015,0.315,0.585,0.09,0.01,0.241667,0.318333,0.195,0.0208333,0.153333,0.0325,0.03,0.00833333
300,0.2425,0.6575,0.1,0,0.3325,0.5325,0.1275,0.0075,0.41,0.4475,0.1325,0.01,0.191667,0.355833,0.149167,0.0333333,0.1775,0.0425,0.0441667,0.00583333
350,0.2075,0.5625,0.23,0,0.3175,0.5825,0.095,0.005,0.4525,0.385,0.1575,0.005,0.175,0.338333,0.128333,0.0766667,0.194167,0.0316667,0.0525,0.00333333
400,0.26,0.515,0.225,0,0.295,0.585,0.1175,0.0025,0.5175,0.325,0.15,0.0075,0.185,0.344167,0.108333,0.075,0.195,0.0391667,0.05,0.00333333
450,0.2725,0.45,0.2775,0,0.3525,0.48,0.1575,0.01,0.3175,0.46,0.2125,0.01,0.208333,0.255833,0.153333,0.0925,0.16,0.0525,0.0708333,0.00666667
500,0.31,0.365,0.325,0,0.205,0.48,0.315,0,0.2725,0.32,0.3975,0.01,0.171667,0.2125,0.106667,0.108333,0.16,0.105,0.1325,0.00333333
550,0.3425,0.355,0.3025,0,0.2875,0.5075,0.19,0.015,0.3325,0.415,0.235,0.0175,0.21,0.229167,0.138333,0.100833,0.169167,0.0633333,0.0783333,0.0108333
600,0.2625,0.43,0.3075,0,0.2875,0.565,0.1075,0.04,0.255,0.3725,0.325,0.0475,0.183333,0.228333,0.124167,0.1025,0.188333,0.0358333,0.108333,0.0291667
650,0.28,0.4275,0.2925,0,0.335,0.4375,0.125,0.1025,0.3525,0.415,0.155,0.0775,0.205,0.26,0.138333,0.0975,0.145833,0.0416667,0.0516667,0.06
700,0.3375,0.4,0.2625,0,0.3625,0.41,0.08,0.1475,0.3375,0.2575,0.2525,0.1525,0.233333,0.245833,0.0858333,0.0875,0.136667,0.0266667,0.0841667,0.1
750,0.175,0.4375,0.3875,0,0.3575,0.3575,0.145,0.14,0.31,0.3275,0.255,0.1075,0.1775,0.249167,0.109167,0.129167,0.119167,0.0483333,0.085,0.0825
800,0.3325,0.38,0.2875,0,0.345,0.3925,0.1175,0.145,0.215,0.3625,0.3325,0.09,0.225833,0.198333,0.120833,0.0958333,0.130833,0.0391667,0.110833,0.0783333
850,0.1975,0.3975,0.405,0,0.3475,0.415,0.1025,0.135,0.1925,0.2075,0.4475,0.1525,0.181667,0.196667,0.0691667,0.135,0.138333,0.0341667,0.149167,0.0958333
900,0.195,0.49,0.315,0,0.47,0.41,0.0475,0.0725,0.23,0.2775,0.355,0.1375,0.221667,0.24,0.0925,0.105,0.136667,0.0158333,0.118333,0.07
950,0.2725,0.3875,0.34,0,0.385,0.4225,0.0875,0.105,0.165,0.34,0.41,0.085,0.219167,0.184167,0.113333,0.113333,0.140833,0.0291667,0.136667,0.0633333
1000,0.25,0.3375,0.4125,0,0.4225,0.3925,0.0875,0.0975,0.285,0.2975,0.295,0.1225,0.224167,0.2075,0.0991667,0.1375,0.130833,0.0291667,0.0983333,0.0733333
1050,0.4325,0.3375,0.23,0,0.2775,0.4725,0.1075,0.1425,0.3425,0.2275,0.2875,0.1425,0.236667,0.226667,0.0758333,0.0766667,0.1575,0.0358333,0.0958333,0.095
1100,0.3325,0.4475,0.22,0,0.37,0.4875,0.0475,0.095,0.3425,0.32,0.2025,0.135,0.234167,0.263333,0.106667,0.0733333,0.1625,0.0158333,0.0675,0.0766667
1150,0.3825,0.345,0.2725,0,0.35,0.5025,0.025,0.1225,0.35,0.24,0.2,0.21,0.244167,0.231667,0.08,0.0908333,0.1675,0.00833333,0.0666667,0.110833
1200,0.46,0.3975,0.1425,0,0.335,0.485,0.035,0.145,0.3425,0.245,0.245,0.1675,0.265,0.246667,0.0816667,0.0475,0.161667,0.0116667,0.0816667,0.104167
1250,0.4,0.375,0.225,0,0.305,0.54,0.0225,0.1325,0.335,0.24,0.195,0.23,0.235,0.236667,0.08,0.075,0.18,0.0075,0.065,0.120833
1300,0.3675,0.35,0.2825,0,0.3625,0.4425,0.0325,0.1625,0.475,0.1975,0.1625,0.165,0.243333,0.275,0.0658333,0.0941667,0.1475,0.0108333,0.0541667,0.109167
1350,0.605,0.25,0.145,0,0.5225,0.37,0.035,0.0725,0.5275,0.2025,0.175,0.095,0.375833,0.259167,0.0675,0.0483333,0.123333,0.0116667,0.0583333,0.0558333
1400,0.6025,0.21,0.1875,0,0.525,0.3325,0.04,0.1025,0.4325,0.2625,0.125,0.18,0.375833,0.214167,0.0875,0.0625,0.110833,0.0133333,0.0416667,0.0941667
