Scale,Seed,BestFit,Runtime_s
T100,1,0.324112,51.721
T100,2,0.324049,81.808
T100,3,0.324112,82.921
T100,4,0.325029,81.414
T100,5,0.323606,80.283
T100,6,0.32388,77.054
T100,7,0.324522,75.322
T100,8,0.324418,76.56
T100,9,0.324102,75.063
T100,10,0.331466,73.884
T200,1,0.0448825,61.549
T200,2,0.0497108,92.882
T200,3,0.0474865,92.321
T200,4,0.0474923,93.515
T200,5,0.0500356,88.187
T200,6,0.0470895,86.363
T200,7,0.0471763,84.664
T200,8,0.047722,92.134
T200,9,0.0501768,83.89
T200,10,0.0472449,54.907
T500,1,0.0370766,99.807
T500,2,0.0376641,128.725
T500,3,0.0365433,128.536
T500,4,0.0369839,119.849
T500,5,0.0383196,100.411
T500,6,0.0359899,129.279
T500,7,0.0376187,127.937
T500,8,0.0371873,100.253
T500,9,0.0835949,128.502
T500,10,0.0364766,128.005
