Scale,Variant,Seed,BestFit
T100,full,1,0.342629
T100,full,2,0.341934
T100,full,3,0.341832
T100,full,4,0.343752
T100,full,5,0.34173
T100,full,6,0.341669
T100,full,7,0.342425
T100,full,8,0.340791
T100,full,9,0.343589
T100,full,10,0.342792
T100,sharedBandit,1,0.319761
T100,sharedBandit,2,0.320203
T100,sharedBandit,3,0.319297
T100,sharedBandit,4,0.320541
T100,sharedBandit,5,0.319972
T100,sharedBandit,6,0.320968
T100,sharedBandit,7,0.319529
T100,sharedBandit,8,0.320393
T100,sharedBandit,9,0.320309
T100,sharedBandit,10,0.321584
T200,full,1,0.0371113
T200,full,2,0.0380103
T200,full,3,0.0364965
T200,full,4,0.0368001
T200,full,5,0.0385649
T200,full,6,0.0368768
T200,full,7,0.0371497
T200,full,8,0.038311
T200,full,9,0.0414599
T200,full,10,0.0419295
T200,sharedBandit,1,0.0317237
T200,sharedBandit,2,0.031924
T200,sharedBandit,3,0.0309274
T200,sharedBandit,4,0.0316387
T200,sharedBandit,5,0.0323014
T200,sharedBandit,6,0.0317903
T200,sharedBandit,7,0.0319482
T200,sharedBandit,8,0.0312608
T200,sharedBandit,9,0.0317566
T200,sharedBandit,10,0.0312708
T500,full,1,0.0254842
T500,full,2,0.0277064
T500,full,3,0.02531
T500,full,4,0.0264753
T500,full,5,0.0258709
T500,full,6,0.0249303
T500,full,7,0.0259156
T500,full,8,0.0250476
T500,full,9,0.0263369
T500,full,10,0.0273569
T500,sharedBandit,1,0.0225792
T500,sharedBandit,2,0.0205244
T500,sharedBandit,3,0.021197
T500,sharedBandit,4,0.0203649
T500,sharedBandit,5,0.0217765
T500,sharedBandit,6,0.0235643
T500,sharedBandit,7,0.0208188
T500,sharedBandit,8,0.0227499
T500,sharedBandit,9,0.0472456
T500,sharedBandit,10,0.0218117
