gen,op_id,w0,w1,w2,w3,w4,w5,w6,norm
50,0,-3.075234815673523e-05,-3.254418297466654e-05,-0.005576119217178129,0.00260676911046748,-0.03736817870347438,0.003313905489923516,0.009602269068038667,0.03921041540223958
50,1,-3.764243847621371e-06,3.378985627163656e-06,4.331125045807976e-05,1.884572905658008e-05,-0.0002920425590342525,0.0004305333705292331,0.0008601329966458135,0.001006346473308757
50,2,1.621212066601464e-07,-1.599515587351262e-08,1.598716805664945e-05,3.002236140483617e-05,0.0002522374816911806,0.0003439152259441171,0.0006760046367175227,0.0008000254101812119
50,3,0,0,0,0,0,0,0,0
100,0,-5.694763417886119e-05,-5.115373597740888e-05,-0.005575468071076314,0.00259194135781088,-0.03748014460841204,0.001063773654939964,0.005099989265745756,0.03833683096864958
100,1,-5.140903593496057e-06,3.138682895618418e-06,4.33136574812215e-05,1.792924853348719e-05,-0.0003553595554570388,0.0003139051603712264,0.0006276292270196685,0.0007880159396034252
100,2,-5.848238490840457e-07,8.886262163902303e-07,1.510076299919948e-05,2.865822830691563e-05,0.0001283059371607953,0.0003150863999024215,0.0006201859397432165,0.00070811221676913
100,3,0,0,0,0,0,0,0,0
150,0,-6.37515634694194e-05,-5.483265536187716e-05,-0.005575289926472106,0.002590207672516235,-0.03740631637443918,0.0007666532331519816,0.004505737876632521,0.03818274531945525
150,1,-5.527354906031478e-06,3.042978473332375e-06,4.327977757453629e-05,1.777206550379718e-05,-0.0003632809663671892,0.0002953996668153586,0.0005905901341961212,0.0007551553000002815
150,2,-1.728073969008604e-06,8.95660245565934e-07,1.492230255082532e-05,2.802044326562377e-05,8.349280037169658e-05,0.0002696162576288126,0.000529803317743487,0.000601138202400096
150,3,0,0,0,0,0,0,0,0
200,0,-6.704859246748966e-05,-5.559676307281751e-05,-0.005575296513696514,0.002589239693741779,-0.03741087690591476,0.0006728589808437895,0.004318163725251598,0.03816370878146919
200,1,-5.47877628227842e-06,3.121048607591042e-06,4.324891491385561e-05,1.775483520965141e-05,-0.0003596057673568648,0.0003016562611170789,0.0006032084613775407,0.0007657667506580741
200,2,-2.616406986434665e-06,8.909734393203788e-07,1.487353555755872e-05,2.773808404910707e-05,5.868081561961238e-05,0.0002414441549073079,0.0004735835889335793,0.0005357409789756445
200,3,0,0,0,0,0,0,0,0
250,0,-6.96683874092694e-05,-5.631259268347608e-05,-0.005575281791579686,0.002588948943106045,-0.03739921165856213,0.0006122978749756257,0.004197038536731831,0.03813771784370783
250,1,-5.849938758430576e-06,3.102964848683789e-06,4.319530732464033e-05,1.766646156649354e-05,-0.0003662620979776334,0.0002927699522903854,0.0005855382571091647,0.0007516242469020078
250,2,-2.733892484467417e-06,8.695449126753082e-07,1.486034384497622e-05,2.768340082260297e-05,5.417104761351789e-05,0.0002378028967374438,0.0004662937528316383,0.0005271717128250017
250,3,0,0,0,0,0,0,0,0
300,0,-7.0667205333639e-05,-5.658913627846154e-05,-0.005575258006474602,0.002588821400025045,-0.03739248427957448,0.0005943427109223005,0.004161131911472439,0.03812689125676477
300,1,-6.306727537974255e-06,3.096545949941527e-06,4.318552144067253e-05,1.762580884058309e-05,-0.0003704714421147749,0.0002845617200809088,0.0005691429037694316,0.0007378164600207513
300,2,-2.795681254863034e-06,8.835159435744633e-07,1.485425659420701e-05,2.76503370645761e-05,5.542859758179431e-05,0.0002372038266300833,0.0004651144208948051,0.0005259878285996754
300,3,0,0,0,0,0,0,0,0
350,0,-7.306536308315711e-05,-5.69765026593139e-05,-0.005575259149970525,0.002588657293612335,-0.03739349312294092,0.0005568902135149409,0.004086226520353478,0.03811920707285527
350,1,-6.827987614731185e-06,3.064134082131255e-06,4.317873580943491e-05,1.757435706381056e-05,-0.0003734589820360692,0.000276605984733845,0.0005532337253659927,0.0007240713421488101
350,2,-3.117200931988798e-06,8.789256742465098e-07,1.484837568174147e-05,2.761577206499259e-05,5.171386560249827e-05,0.0002321712863138016,0.0004550558049309798,0.0005144387332468886
350,3,0,0,0,0,0,0,0,0
400,0,-7.414850516241454e-05,-5.714083799668634e-05,-0.005575258890935428,0.002588573280176018,-0.03739301194552423,0.0005418903794807672,0.004056224198228331,0.0381153109483809
