time_seconds,generation,best_fitness,best_f1,best_f2
0.0000000000,0,0.1107115458,0.0688536836,0.1211760113
0.0142907000,1,0.0938908240,0.0738386604,0.0989038649
0.0295414000,2,0.0931300443,0.0798893202,0.0964402254
0.0463642000,3,0.0902444593,0.0758666721,0.0938389061
0.0620726000,4,0.0887160899,0.0802661985,0.0908285628
0.0805931000,5,0.0851163731,0.0745476283,0.0877585593
0.0948150000,6,0.0846462795,0.0688992341,0.0885830409
0.1108924000,7,0.0846462795,0.0688992341,0.0885830409
0.1276128000,8,0.0846462795,0.0688992341,0.0885830409
0.1457284000,9,0.0846462795,0.0688992341,0.0885830409
0.1658392000,10,0.0844366280,0.0708996540,0.0878208714
0.1824922000,11,0.0827766097,0.0676990857,0.0865459907
0.2004224000,12,0.0819499876,0.0712615565,0.0846220953
0.2179298000,13,0.0819499876,0.0712615565,0.0846220953
0.2364748000,14,0.0819499876,0.0712615565,0.0846220953
0.2541287000,15,0.0816874451,0.0689289398,0.0848770715
0.2708930000,16,0.0816874451,0.0689289398,0.0848770715
0.2915941000,17,0.0787480696,0.0617036419,0.0830091765
0.3064981000,18,0.0787480696,0.0617036419,0.0830091765
0.3238738000,19,0.0787480696,0.0617036419,0.0830091765
0.3410123000,20,0.0770989494,0.0610944447,0.0811000756
0.3575361000,21,0.0770989494,0.0610944447,0.0811000756
0.3732791000,22,0.0770231366,0.0640552323,0.0802651127
0.3913681000,23,0.0770231366,0.0640552323,0.0802651127
0.4104554000,24,0.0745718276,0.0587774483,0.0785204224
0.4320389000,25,0.0745718276,0.0587774483,0.0785204224
0.4502272000,26,0.0745718276,0.0587774483,0.0785204224
0.4672769000,27,0.0745718276,0.0587774483,0.0785204224
0.4858784000,28,0.0745718276,0.0587774483,0.0785204224
0.5015257000,29,0.0745718276,0.0587774483,0.0785204224
0.5181452000,30,0.0745718276,0.0587774483,0.0785204224
0.5364614000,31,0.0741376194,0.0603561579,0.0775829848
0.5531813000,32,0.0739854764,0.0578266214,0.0780251901
0.5708729000,33,0.0739854764,0.0578266214,0.0780251901
0.5902892000,34,0.0737222561,0.0588617764,0.0774373761
0.6084328000,35,0.0736469079,0.0595127467,0.0771804482
0.6260415000,36,0.0734563634,0.0595127467,0.0769422676
0.6422529000,37,0.0731294383,0.0576544883,0.0769981759
0.6589592000,38,0.0730382924,0.0576544883,0.0768842434
0.6764791000,39,0.0730382924,0.0576544883,0.0768842434
0.6938548000,40,0.0729708434,0.0588617764,0.0764981101
0.7104105000,41,0.0726634048,0.0576544883,0.0764156339
0.7248829000,42,0.0726634048,0.0576544883,0.0764156339
0.7426907000,43,0.0726634048,0.0576544883,0.0764156339
0.7615013000,44,0.0721889397,0.0555610235,0.0763459187
0.7814115000,45,0.0721889397,0.0555610235,0.0763459187
0.7960755000,46,0.0721606773,0.0550459073,0.0764393698
0.8119759000,47,0.0718248918,0.0555610235,0.0758908589
0.8246919000,48,0.0716057458,0.0555610235,0.0756169263
0.8384905000,49,0.0715541623,0.0555610235,0.0755524470
0.8517083000,50,0.0714695230,0.0555610235,0.0754466479
0.8653820000,51,0.0714001231,0.0550459073,0.0754886770
0.8786605000,52,0.0714001231,0.0550459073,0.0754886770
0.8944697000,53,0.0713212189,0.0550459073,0.0753900468
0.9085948000,54,0.0713212189,0.0550459073,0.0753900468
0.9211965000,55,0.0713212189,0.0550459073,0.0753900468
0.9346027000,56,0.0713134449,0.0550459073,0.0753803293
0.9502742000,57,0.0713134449,0.0550459073,0.0753803293
0.9659343000,58,0.0713134449,0.0550459073,0.0753803293
0.9845072000,59,0.0713134449,0.0550459073,0.0753803293
1.0022265000,60,0.0713134449,0.0550459073,0.0753803293
1.0174608000,61,0.0713134449,0.0550459073,0.0753803293
1.0352439000,62,0.0713134449,0.0550459073,0.0753803293
1.0526186000,63,0.0713134449,0.0550459073,0.0753803293
1.0679028000,64,0.0713134449,0.0550459073,0.0753803293
1.0840270000,65,0.0712824272,0.0550459073,0.0753415572
1.1014156000,66,0.0712824272,0.0550459073,0.0753415572
1.1185945000,67,0.0712824272,0.0550459073,0.0753415572
1.1371004000,68,0.0712824272,0.0550459073,0.0753415572
1.1534029000,69,0.0712824272,0.0550459073,0.0753415572
1.1679493000,70,0.0712824272,0.0550459073,0.0753415572
1.1858306000,71,0.0712824272,0.0550459073,0.0753415572
1.2049329000,72,0.0712824272,0.0550459073,0.0753415572
1.2213488000,73,0.0712824272,0.0550459073,0.0753415572
1.2368677000,74,0.0712824272,0.0550459073,0.0753415572
1.2522347000,75,0.0712824272,0.0550459073,0.0753415572
1.2662408000,76,0.0712824272,0.0550459073,0.0753415572
1.2833543000,77,0.0712824272,0.0550459073,0.0753415572
1.3014644000,78,0.0712824272,0.0550459073,0.0753415572
1.3170980000,79,0.0712824272,0.0550459073,0.0753415572
1.3330328000,80,0.0712824272,0.0550459073,0.0753415572
1.3493624000,81,0.0712824272,0.0550459073,0.0753415572
1.3635537000,82,0.0712824272,0.0550459073,0.0753415572
1.3794415000,83,0.0712824272,0.0550459073,0.0753415572
1.3956850000,84,0.0712824272,0.0550459073,0.0753415572
1.4113637000,85,0.0712824272,0.0550459073,0.0753415572
1.4275677000,86,0.0712824272,0.0550459073,0.0753415572
1.4442595000,87,0.0712824272,0.0550459073,0.0753415572
1.4596211000,88,0.0712824272,0.0550459073,0.0753415572
1.4760642000,89,0.0712824272,0.0550459073,0.0753415572
1.4937459000,90,0.0712824272,0.0550459073,0.0753415572
1.5100457000,91,0.0712824272,0.0550459073,0.0753415572
1.5272738000,92,0.0712824272,0.0550459073,0.0753415572
1.5445671000,93,0.0712824272,0.0550459073,0.0753415572
1.5637894000,94,0.0712824272,0.0550459073,0.0753415572
1.5783010000,95,0.0712824272,0.0550459073,0.0753415572
1.5946435000,96,0.0712824272,0.0550459073,0.0753415572
1.6107939000,97,0.0712824272,0.0550459073,0.0753415572
1.6266552000,98,0.0712824272,0.0550459073,0.0753415572
1.6430596000,99,0.0712824272,0.0550459073,0.0753415572
1.6604649000,100,0.0712824272,0.0550459073,0.0753415572
1.6751188000,101,0.0712824272,0.0550459073,0.0753415572
1.6909243000,102,0.0712824272,0.0550459073,0.0753415572
1.7093907000,103,0.0712824272,0.0550459073,0.0753415572
1.7272369000,104,0.0712824272,0.0550459073,0.0753415572
1.7486543000,105,0.0712824272,0.0550459073,0.0753415572
1.7677988000,106,0.0712824272,0.0550459073,0.0753415572
1.7837861000,107,0.0712824272,0.0550459073,0.0753415572
1.8034008000,108,0.0712824272,0.0550459073,0.0753415572
1.8205098000,109,0.0712824272,0.0550459073,0.0753415572
1.8378095000,110,0.0712824272,0.0550459073,0.0753415572
1.8549838000,111,0.0712824272,0.0550459073,0.0753415572
1.8716475000,112,0.0712824272,0.0550459073,0.0753415572
1.8921753000,113,0.0712824272,0.0550459073,0.0753415572
1.9103973000,114,0.0712824272,0.0550459073,0.0753415572
1.9272673000,115,0.0712824272,0.0550459073,0.0753415572
1.9441042000,116,0.0712824272,0.0550459073,0.0753415572
1.9615612000,117,0.0712824272,0.0550459073,0.0753415572
1.9840047000,118,0.0712824272,0.0550459073,0.0753415572
2.0018212000,119,0.0712824272,0.0550459073,0.0753415572
2.0218362000,120,0.0712824272,0.0550459073,0.0753415572
2.0403413000,121,0.0712824272,0.0550459073,0.0753415572
2.0673081000,122,0.0712824272,0.0550459073,0.0753415572
2.0871077000,123,0.0712824272,0.0550459073,0.0753415572
2.1035995000,124,0.0712824272,0.0550459073,0.0753415572
2.1206805000,125,0.0712824272,0.0550459073,0.0753415572
2.1401959000,126,0.0712824272,0.0550459073,0.0753415572
2.1552765000,127,0.0712824272,0.0550459073,0.0753415572
2.1716740000,128,0.0712824272,0.0550459073,0.0753415572
2.1888660000,129,0.0712824272,0.0550459073,0.0753415572
2.2053587000,130,0.0712824272,0.0550459073,0.0753415572
2.2212562000,131,0.0712824272,0.0550459073,0.0753415572
2.2405004000,132,0.0712824272,0.0550459073,0.0753415572
2.2631544000,133,0.0712824272,0.0550459073,0.0753415572
2.2819490000,134,0.0712824272,0.0550459073,0.0753415572
2.3000849000,135,0.0712824272,0.0550459073,0.0753415572
2.3194281000,136,0.0712824272,0.0550459073,0.0753415572
2.3377450000,137,0.0712824272,0.0550459073,0.0753415572
2.3563171000,138,0.0712824272,0.0550459073,0.0753415572
2.3760654000,139,0.0712824272,0.0550459073,0.0753415572
2.3946603000,140,0.0712824272,0.0550459073,0.0753415572
2.4144222000,141,0.0712824272,0.0550459073,0.0753415572
2.4376978000,142,0.0712824272,0.0550459073,0.0753415572
2.4594268000,143,0.0712824272,0.0550459073,0.0753415572
2.4779434000,144,0.0712824272,0.0550459073,0.0753415572
2.4965416000,145,0.0712824272,0.0550459073,0.0753415572
2.5153666000,146,0.0712824272,0.0550459073,0.0753415572
2.5332910000,147,0.0712824272,0.0550459073,0.0753415572
2.5520878000,148,0.0712824272,0.0550459073,0.0753415572
2.5706116000,149,0.0712824272,0.0550459073,0.0753415572
2.5909716000,150,0.0712824272,0.0550459073,0.0753415572
2.6107502000,151,0.0712824272,0.0550459073,0.0753415572
2.6303889000,152,0.0712824272,0.0550459073,0.0753415572
2.6511142000,153,0.0712824272,0.0550459073,0.0753415572
2.6694457000,154,0.0712824272,0.0550459073,0.0753415572
2.6925953000,155,0.0712824272,0.0550459073,0.0753415572
2.7116149000,156,0.0712824272,0.0550459073,0.0753415572
2.7323182000,157,0.0712824272,0.0550459073,0.0753415572
