time_seconds,generation,best_fitness,best_f1,best_f2
0.0000000000,0,0.0797247277,1590.2516384370,531.4102087491
0.0038300000,1,0.0797247277,1590.2516384370,531.4102087491
0.0077370000,2,0.0797247277,1590.2516384370,531.4102087491
0.0117596000,3,0.0797247277,1590.2516384370,531.4102087491
0.0156122000,4,0.0797247277,1590.2516384370,531.4102087491
0.0192554000,5,0.0797247277,1590.2516384370,531.4102087491
0.0229920000,6,0.0797247277,1590.2516384370,531.4102087491
0.0267527000,7,0.0797247277,1590.2516384370,531.4102087491
0.0304164000,8,0.0797247277,1590.2516384370,531.4102087491
0.0342507000,9,0.0797247277,1590.2516384370,531.4102087491
0.0378506000,10,0.0797247277,1590.2516384370,531.4102087491
0.0412127000,11,0.0797247277,1590.2516384370,531.4102087491
0.0451652000,12,0.0797247277,1590.2516384370,531.4102087491
0.0490499000,13,0.0797247277,1590.2516384370,531.4102087491
0.0528793000,14,0.0797247277,1590.2516384370,531.4102087491
0.0567064000,15,0.0797247277,1590.2516384370,531.4102087491
0.0604876000,16,0.0797247277,1590.2516384370,531.4102087491
0.0643057000,17,0.0797247277,1590.2516384370,531.4102087491
0.0682451000,18,0.0797247277,1590.2516384370,531.4102087491
0.0720265000,19,0.0797247277,1590.2516384370,531.4102087491
0.0762805000,20,0.0797247277,1590.2516384370,531.4102087491
0.0808380000,21,0.0797247277,1590.2516384370,531.4102087491
0.0851749000,22,0.0797247277,1590.2516384370,531.4102087491
0.0894608000,23,0.0797247277,1590.2516384370,531.4102087491
0.0935419000,24,0.0797247277,1590.2516384370,531.4102087491
0.0973201000,25,0.0797247277,1590.2516384370,531.4102087491
0.1017783000,26,0.0797247277,1590.2516384370,531.4102087491
0.1060583000,27,0.0797247277,1590.2516384370,531.4102087491
0.1104244000,28,0.0797247277,1590.2516384370,531.4102087491
0.1146144000,29,0.0797247277,1590.2516384370,531.4102087491
0.1186850000,30,0.0797247277,1590.2516384370,531.4102087491
0.1230413000,31,0.0797247277,1590.2516384370,531.4102087491
0.1272300000,32,0.0797247277,1590.2516384370,531.4102087491
0.1310726000,33,0.0797247277,1590.2516384370,531.4102087491
0.1349870000,34,0.0797247277,1590.2516384370,531.4102087491
0.1390959000,35,0.0797247277,1590.2516384370,531.4102087491
0.1432031000,36,0.0797247277,1590.2516384370,531.4102087491
0.1471807000,37,0.0797247277,1590.2516384370,531.4102087491
0.1511174000,38,0.0797247277,1590.2516384370,531.4102087491
0.1554406000,39,0.0797247277,1590.2516384370,531.4102087491
0.1595308000,40,0.0797247277,1590.2516384370,531.4102087491
0.1637166000,41,0.0797247277,1590.2516384370,531.4102087491
0.1681391000,42,0.0797247277,1590.2516384370,531.4102087491
0.1722262000,43,0.0797247277,1590.2516384370,531.4102087491
0.1764723000,44,0.0797247277,1590.2516384370,531.4102087491
0.1805766000,45,0.0797247277,1590.2516384370,531.4102087491
0.1847731000,46,0.0797247277,1590.2516384370,531.4102087491
0.1891283000,47,0.0797247277,1590.2516384370,531.4102087491
0.1932604000,48,0.0797247277,1590.2516384370,531.4102087491
0.1974090000,49,0.0797247277,1590.2516384370,531.4102087491
0.2015995000,50,0.0797247277,1590.2516384370,531.4102087491
0.2058749000,51,0.0797247277,1590.2516384370,531.4102087491
