scale	seeds	mean	std	mean+-std
T500	1-1	0.0801083219	0.0000000000	0.0801083219 +- 0.0000000000
T500	2-2	0.0798364912	0.0000000000	0.0798364912 +- 0.0000000000
T500	3-3	0.0809765103	0.0000000000	0.0809765103 +- 0.0000000000
T500	4-4	0.0797524226	0.0000000000	0.0797524226 +- 0.0000000000
T500	5-5	0.0802633462	0.0000000000	0.0802633462 +- 0.0000000000
T500	5-5	0.0802633462	0.0000000000	0.0802633462 +- 0.0000000000
T500	6-6	0.0797935501	0.0000000000	0.0797935501 +- 0.0000000000
T500	6-6	0.0797935501	0.0000000000	0.0797935501 +- 0.0000000000
T500	7-7	0.0795966876	0.0000000000	0.0795966876 +- 0.0000000000
T500	7-7	0.0795966876	0.0000000000	0.0795966876 +- 0.0000000000
T500	8-8	0.0797247277	0.0000000000	0.0797247277 +- 0.0000000000
T500	9-9	0.1558018413	0.0000000000	0.1558018413 +- 0.0000000000
T500	10-10	0.0804244126	0.0000000000	0.0804244126 +- 0.0000000000
