time_seconds,generation,best_fitness,best_f1,best_f2
0.0000000000,0,0.0664112202,1872.6194055540,537.4467116462
0.0259813000,1,0.0638985469,1682.7670027801,532.0419872835
0.0486659000,2,0.0600404268,1643.9170727692,492.0450259992
0.0691573000,3,0.0579193693,1687.6584271628,461.8889004120
0.0942304000,4,0.0569887224,1687.5930949355,451.0734262980
0.1204365000,5,0.0569887224,1687.5930949355,451.0734262980
0.1468379000,6,0.0569887224,1687.5930949355,451.0734262980
0.1726356000,7,0.0569887224,1687.5930949355,451.0734262980
0.1983225000,8,0.0569887224,1687.5930949355,451.0734262980
0.2258884000,9,0.0567347660,1638.3903455959,454.2926811597
0.2513550000,10,0.0566220695,1680.3494726196,447.7179194042
0.2779615000,11,0.0566220695,1680.3494726196,447.7179194042
0.3038896000,12,0.0559982630,1621.8551076536,447.8014187321
0.3304016000,13,0.0559982630,1621.8551076536,447.8014187321
0.3562891000,14,0.0550641917,1777.2664092072,417.4404690040
0.3821369000,15,0.0538540161,1683.4035740442,415.1415652663
0.4074537000,16,0.0537763515,1664.9600000000,416.5521824135
0.4353725000,17,0.0537763515,1664.9600000000,416.5521824135
0.4613898000,18,0.0537763515,1664.9600000000,416.5521824135
0.4870840000,19,0.0537763515,1664.9600000000,416.5521824135
0.5117292000,20,0.0537763515,1664.9600000000,416.5521824135
0.5362542000,21,0.0537763515,1664.9600000000,416.5521824135
0.5617279000,22,0.0535501298,1711.1967396153,408.1204366982
0.5866560000,23,0.0529485896,1650.1891460772,408.7782008865
0.6112410000,24,0.0529485896,1650.1891460772,408.7782008865
0.6372820000,25,0.0529485896,1650.1891460772,408.7782008865
0.6615911000,26,0.0529485896,1650.1891460772,408.7782008865
0.6863309000,27,0.0529277186,1694.0377014402,403.0343528273
0.7092787000,28,0.0522093896,1640.5139362676,401.3949323322
0.7312181000,29,0.0522093896,1640.5139362676,401.3949323322
0.7547487000,30,0.0522093896,1640.5139362676,401.3949323322
0.7774572000,31,0.0522093896,1640.5139362676,401.3949323322
0.8004223000,32,0.0522093896,1640.5139362676,401.3949323322
0.8253753000,33,0.0522093896,1640.5139362676,401.3949323322
0.8492891000,34,0.0521065783,1693.7417599165,393.5214010436
0.8754573000,35,0.0519039556,1657.4572419460,395.7169955207
0.9001882000,36,0.0519039556,1657.4572419460,395.7169955207
0.9253825000,37,0.0519039556,1657.4572419460,395.7169955207
0.9497470000,38,0.0519039556,1657.4572419460,395.7169955207
0.9755243000,39,0.0510215089,1585.8600000000,394.4362886042
0.9988492000,40,0.0510215089,1585.8600000000,394.4362886042
1.0236321000,41,0.0504225955,1578.9324484861,388.3398771907
1.0473882000,42,0.0500509007,1578.9247430128,384.0179349531
1.0721154000,43,0.0500509007,1578.9247430128,384.0179349531
1.0951592000,44,0.0500509007,1578.9247430128,384.0179349531
1.1201920000,45,0.0497329850,1564.0088254029,382.1917991052
1.1434099000,46,0.0497329850,1564.0088254029,382.1917991052
1.1670689000,47,0.0497284439,1564.0088254029,382.1389854630
1.1906620000,48,0.0497284439,1564.0088254029,382.1389854630
1.2156274000,49,0.0491947478,1564.7684819570,375.8366537901
1.2405608000,50,0.0491947478,1564.7684819570,375.8366537901
1.2668848000,51,0.0491947478,1564.7684819570,375.8366537901
1.2911255000,52,0.0489301437,1564.0088254029,372.8545414617
1.3171890000,53,0.0489301437,1564.0088254029,372.8545414617
1.3453240000,54,0.0489301437,1564.0088254029,372.8545414617
1.3696023000,55,0.0489301437,1564.0088254029,372.8545414617
1.3935422000,56,0.0488396464,1521.1457429011,377.1795119694
1.4178617000,57,0.0484325107,1492.3900972670,376.0520158594
1.4421678000,58,0.0484028696,1492.3900972670,375.7072826221
1.4668808000,59,0.0484028696,1492.3900972670,375.7072826221
1.4904853000,60,0.0484028696,1492.3900972670,375.7072826221
1.5151835000,61,0.0484028696,1492.3900972670,375.7072826221
1.5399662000,62,0.0483800112,1492.3900972670,375.4414325007
1.5646072000,63,0.0483403368,1492.3900972670,374.9800094208
1.5900220000,64,0.0483403368,1492.3900972670,374.9800094208
1.6143671000,65,0.0482409717,1506.5744179423,372.0448427044
1.6370308000,66,0.0482409717,1506.5744179423,372.0448427044
1.6595886000,67,0.0479676858,1500.1937429011,369.6669568550
1.6857825000,68,0.0475345284,1445.7844179423,371.4552569939
1.7084684000,69,0.0475345284,1445.7844179423,371.4552569939
1.7343042000,70,0.0475345284,1445.7844179423,371.4552569939
1.7583225000,71,0.0475345284,1445.7844179423,371.4552569939
1.7815421000,72,0.0474954028,1442.4724179423,371.4157298140
1.8059701000,73,0.0474954028,1442.4724179423,371.4157298140
1.8293339000,74,0.0473695326,1445.7844179423,369.5363117288
1.8535617000,75,0.0470198843,1435.3444179423,366.7795812277
1.8782152000,76,0.0470198843,1435.3444179423,366.7795812277
1.9030183000,77,0.0470198843,1435.3444179423,366.7795812277
1.9272980000,78,0.0469012226,1435.3444179423,365.3995151937
1.9510535000,79,0.0468942581,1435.3444179423,365.3185151937
1.9744345000,80,0.0468849002,1435.3444179423,365.2096807141
1.9978819000,81,0.0468849002,1435.3444179423,365.2096807141
2.0225566000,82,0.0468849002,1435.3444179423,365.2096807141
2.0466371000,83,0.0468754126,1435.3444179423,365.0993376081
2.0712417000,84,0.0468754126,1435.3444179423,365.0993376081
2.0948440000,85,0.0467241718,1434.7984179423,363.4088661499
2.1187861000,86,0.0466877855,1435.3444179423,362.9171848651
2.1414180000,87,0.0466173009,1444.1475437947,360.9930150903
