problem,module,total_time_sec,percent_runtime
T100,decoding,REQUIRES RERUN,REQUIRES RERUN
T100,sequencing sort,REQUIRES RERUN,REQUIRES RERUN
T100,simulation / fitness evaluation,REQUIRES RERUN,REQUIRES RERUN
T100,contextual bandit state extraction,REQUIRES RERUN,REQUIRES RERUN
T100,operator scoring,REQUIRES RERUN,REQUIRES RERUN
T100,migration,REQUIRES RERUN,REQUIRES RERUN
T100,logging / others,REQUIRES RERUN,REQUIRES RERUN
T200,decoding,REQUIRES RERUN,REQUIRES RERUN
T200,sequencing sort,REQUIRES RERUN,REQUIRES RERUN
T200,simulation / fitness evaluation,REQUIRES RERUN,REQUIRES RERUN
T200,contextual bandit state extraction,REQUIRES RERUN,REQUIRES RERUN
T200,operator scoring,REQUIRES RERUN,REQUIRES RERUN
T200,migration,REQUIRES RERUN,REQUIRES RERUN
T200,logging / others,REQUIRES RERUN,REQUIRES RERUN
T500,decoding,REQUIRES RERUN,REQUIRES RERUN
T500,sequencing sort,REQUIRES RERUN,REQUIRES RERUN
T500,simulation / fitness evaluation,REQUIRES RERUN,REQUIRES RERUN
T500,contextual bandit state extraction,REQUIRES RERUN,REQUIRES RERUN
T500,operator scoring,REQUIRES RERUN,REQUIRES RERUN
T500,migration,REQUIRES RERUN,REQUIRES RERUN
T500,logging / others,REQUIRES RERUN,REQUIRES RERUN
