problem,algorithm_a,algorithm_b,seed,fitness_a,fitness_b
T100,CCHIHH-full,CCHIHH-noCC,1,0.342629,0.348102
T100,CCHIHH-full,CCHIHH-noCC,2,0.341934,0.344712
T100,CCHIHH-full,CCHIHH-noCC,3,0.341832,0.351615
T100,CCHIHH-full,CCHIHH-noCC,4,0.343752,0.361623
T100,CCHIHH-full,CCHIHH-noCC,5,0.34173,0.358539
T100,CCHIHH-full,CCHIHH-noCC,6,0.341669,0.353698
T100,CCHIHH-full,CCHIHH-noCC,7,0.342425,0.357436
T100,CCHIHH-full,CCHIHH-noCC,8,0.340791,0.344365
T100,CCHIHH-full,CCHIHH-noCC,9,0.343589,0.353719
T100,CCHIHH-full,CCHIHH-noCC,10,0.342792,0.354454
T100,CCHIHH-full,CCHIHH-noCB,1,0.342629,0.356599
T100,CCHIHH-full,CCHIHH-noCB,2,0.341934,0.353637
T100,CCHIHH-full,CCHIHH-noCB,3,0.341832,0.354597
T100,CCHIHH-full,CCHIHH-noCB,4,0.343752,0.354883
T100,CCHIHH-full,CCHIHH-noCB,5,0.34173,0.355741
T100,CCHIHH-full,CCHIHH-noCB,6,0.341669,0.354577
T100,CCHIHH-full,CCHIHH-noCB,7,0.342425,0.355843
T100,CCHIHH-full,CCHIHH-noCB,8,0.340791,0.3557
T100,CCHIHH-full,CCHIHH-noCB,9,0.343589,0.359785
T100,CCHIHH-full,CCHIHH-noCB,10,0.342792,0.354883
T100,CCHIHH-full,CCHIHH-noMig,1,0.342629,0.34992
T100,CCHIHH-full,CCHIHH-noMig,2,0.341934,0.347122
T100,CCHIHH-full,CCHIHH-noMig,3,0.341832,0.351084
T100,CCHIHH-full,CCHIHH-noMig,4,0.343752,0.348674
T100,CCHIHH-full,CCHIHH-noMig,5,0.34173,0.347449
T100,CCHIHH-full,CCHIHH-noMig,6,0.341669,0.347469
T100,CCHIHH-full,CCHIHH-noMig,7,0.342425,0.352003
T100,CCHIHH-full,CCHIHH-noMig,8,0.340791,0.34894
T100,CCHIHH-full,CCHIHH-noMig,9,0.343589,0.347939
T100,CCHIHH-full,CCHIHH-noMig,10,0.342792,0.347469
T100,CCHIHH-full,CGA,1,0.342629,0.354537
T100,CCHIHH-full,CGA,2,0.341934,0.353453
T100,CCHIHH-full,CGA,3,0.341832,0.352494
T100,CCHIHH-full,CGA,4,0.343752,0.352719
T100,CCHIHH-full,CGA,5,0.34173,0.351717
T100,CCHIHH-full,CGA,6,0.341669,0.350839
T100,CCHIHH-full,CGA,7,0.342425,0.354413
T100,CCHIHH-full,CGA,8,0.340791,0.355782
T100,CCHIHH-full,CGA,9,0.343589,0.352207
T100,CCHIHH-full,CGA,10,0.342792,0.354286
T100,CCHIHH-full,IMOMA,1,0.342629,0.37835
T100,CCHIHH-full,IMOMA,2,0.341934,0.376144
T100,CCHIHH-full,IMOMA,3,0.341832,0.377043
T100,CCHIHH-full,IMOMA,4,0.343752,0.377288
T100,CCHIHH-full,IMOMA,5,0.34173,0.376491
T100,CCHIHH-full,IMOMA,6,0.341669,0.380004
T100,CCHIHH-full,IMOMA,7,0.342425,0.377165
T100,CCHIHH-full,IMOMA,8,0.340791,0.378329
T100,CCHIHH-full,IMOMA,9,0.343589,0.37498
T100,CCHIHH-full,IMOMA,10,0.342792,0.378922
T100,CCHIHH-full,PPO,1,0.342629,0.3873770469
T100,CCHIHH-full,PPO,2,0.341934,0.3874587416
T100,CCHIHH-full,PPO,3,0.341832,0.3885411966
T100,CCHIHH-full,PPO,4,0.343752,0.3895215333
T100,CCHIHH-full,PPO,5,0.34173,0.3900117016
T100,CCHIHH-full,PPO,6,0.341669,0.3919111038
T100,CCHIHH-full,PPO,7,0.342425,0.3882552651
T100,CCHIHH-full,PPO,8,0.340791,0.3886024677
T100,CCHIHH-full,PPO,9,0.343589,0.3889905176
T100,CCHIHH-full,PPO,10,0.342792,0.3887862808
T100,CCHIHH-full,DSAC-DE,1,0.342629,0.324207
T100,CCHIHH-full,DSAC-DE,2,0.341934,0.323775
