problem,algorithm_a,algorithm_b,n,test_name,exact_or_asymptotic,sidedness,statistic,p_value,significant
T100,CCHIHH-full,CCHIHH-noCC,10,Wilcoxon signed-rank,exact,two-sided,0.0,0.001953125,True
T100,CCHIHH-full,CCHIHH-noCB,10,Wilcoxon signed-rank,exact,two-sided,0.0,0.001953125,True
T100,CCHIHH-full,CCHIHH-noMig,10,Wilcoxon signed-rank,exact,two-sided,0.0,0.001953125,True
T100,CCHIHH-full,CGA,10,Wilcoxon signed-rank,exact,two-sided,0.0,0.001953125,True
T100,CCHIHH-full,IMOMA,10,Wilcoxon signed-rank,exact,two-sided,0.0,0.001953125,True
T100,CCHIHH-full,PPO,10,Wilcoxon signed-rank,exact,two-sided,0.0,0.001953125,True
T100,CCHIHH-full,DSAC-DE,10,Wilcoxon signed-rank,exact,two-sided,0.0,0.001953125,True
T100,CCHIHH-noCC,CCHIHH-noCB,10,Wilcoxon signed-rank,exact,two-sided,14.0,0.193359375,False
T100,CCHIHH-noCC,CCHIHH-noMig,10,Wilcoxon signed-rank,exact,two-sided,9.0,0.064453125,False
T100,CCHIHH-noCC,CGA,10,Wilcoxon signed-rank,exact,two-sided,26.0,0.921875,False
T100,CCHIHH-noCC,IMOMA,10,Wilcoxon signed-rank,exact,two-sided,0.0,0.001953125,True
T100,CCHIHH-noCC,PPO,10,Wilcoxon signed-rank,exact,two-sided,0.0,0.001953125,True
T100,CCHIHH-noCC,DSAC-DE,10,Wilcoxon signed-rank,exact,two-sided,0.0,0.001953125,True
T100,CCHIHH-noCB,CCHIHH-noMig,10,Wilcoxon signed-rank,exact,two-sided,0.0,0.001953125,True
T100,CCHIHH-noCB,CGA,10,Wilcoxon signed-rank,exact,two-sided,1.0,0.00390625,True
T100,CCHIHH-noCB,IMOMA,10,Wilcoxon signed-rank,exact,two-sided,0.0,0.001953125,True
T100,CCHIHH-noCB,PPO,10,Wilcoxon signed-rank,exact,two-sided,0.0,0.001953125,True
T100,CCHIHH-noCB,DSAC-DE,10,Wilcoxon signed-rank,exact,two-sided,0.0,0.001953125,True
T100,CCHIHH-noMig,CGA,10,Wilcoxon signed-rank,exact,two-sided,0.0,0.001953125,True
T100,CCHIHH-noMig,IMOMA,10,Wilcoxon signed-rank,exact,two-sided,0.0,0.001953125,True
T100,CCHIHH-noMig,PPO,10,Wilcoxon signed-rank,exact,two-sided,0.0,0.001953125,True
T100,CCHIHH-noMig,DSAC-DE,10,Wilcoxon signed-rank,exact,two-sided,0.0,0.001953125,True
T100,CGA,IMOMA,10,Wilcoxon signed-rank,exact,two-sided,0.0,0.001953125,True
T100,CGA,PPO,10,Wilcoxon signed-rank,exact,two-sided,0.0,0.001953125,True
T100,CGA,DSAC-DE,10,Wilcoxon signed-rank,exact,two-sided,0.0,0.001953125,True
T100,IMOMA,PPO,10,Wilcoxon signed-rank,exact,two-sided,0.0,0.001953125,True
T100,IMOMA,DSAC-DE,10,Wilcoxon signed-rank,exact,two-sided,0.0,0.001953125,True
T100,PPO,DSAC-DE,10,Wilcoxon signed-rank,exact,two-sided,0.0,0.001953125,True
T200,CCHIHH-full,CCHIHH-noCC,10,Wilcoxon signed-rank,exact,two-sided,0.0,0.001953125,True
T200,CCHIHH-full,CCHIHH-noCB,10,Wilcoxon signed-rank,exact,two-sided,0.0,0.001953125,True
T200,CCHIHH-full,CCHIHH-noMig,10,Wilcoxon signed-rank,exact,two-sided,1.0,0.00390625,True
T200,CCHIHH-full,IMOMA,10,Wilcoxon signed-rank,exact,two-sided,0.0,0.001953125,True
T200,CCHIHH-full,PPO,10,Wilcoxon signed-rank,exact,two-sided,0.0,0.001953125,True
T200,CCHIHH-full,DSAC-DE,10,Wilcoxon signed-rank,exact,two-sided,0.0,0.001953125,True
T200,CCHIHH-noCC,CCHIHH-noCB,10,Wilcoxon signed-rank,exact,two-sided,0.0,0.001953125,True
T200,CCHIHH-noCC,CCHIHH-noMig,10,Wilcoxon signed-rank,exact,two-sided,0.0,0.001953125,True
T200,CCHIHH-noCC,IMOMA,10,Wilcoxon signed-rank,exact,two-sided,25.0,0.845703125,False
T200,CCHIHH-noCC,PPO,10,Wilcoxon signed-rank,exact,two-sided,0.0,0.001953125,True
T200,CCHIHH-noCC,DSAC-DE,10,Wilcoxon signed-rank,exact,two-sided,0.0,0.001953125,True
T200,CCHIHH-noCB,CCHIHH-noMig,10,Wilcoxon signed-rank,exact,two-sided,10.0,0.083984375,False
T200,CCHIHH-noCB,IMOMA,10,Wilcoxon signed-rank,exact,two-sided,0.0,0.001953125,True
T200,CCHIHH-noCB,PPO,10,Wilcoxon signed-rank,exact,two-sided,0.0,0.001953125,True
T200,CCHIHH-noCB,DSAC-DE,10,Wilcoxon signed-rank,exact,two-sided,15.0,0.232421875,False
T200,CCHIHH-noMig,IMOMA,10,Wilcoxon signed-rank,exact,two-sided,0.0,0.001953125,True
T200,CCHIHH-noMig,PPO,10,Wilcoxon signed-rank,exact,two-sided,0.0,0.001953125,True
T200,CCHIHH-noMig,DSAC-DE,10,Wilcoxon signed-rank,exact,two-sided,10.0,0.083984375,False
T200,IMOMA,PPO,10,Wilcoxon signed-rank,exact,two-sided,0.0,0.001953125,True
T200,IMOMA,DSAC-DE,10,Wilcoxon signed-rank,exact,two-sided,0.0,0.001953125,True
T200,PPO,DSAC-DE,10,Wilcoxon signed-rank,exact,two-sided,0.0,0.001953125,True
T500,CCHIHH-full,CCHIHH-noCC,10,Wilcoxon signed-rank,exact,two-sided,0.0,0.001953125,True
T500,CCHIHH-full,CCHIHH-noCB,10,Wilcoxon signed-rank,exact,two-sided,0.0,0.001953125,True
T500,CCHIHH-full,CCHIHH-noMig,10,Wilcoxon signed-rank,exact,two-sided,0.0,0.001953125,True
T500,CCHIHH-full,Gbest-DE,10,Wilcoxon signed-rank,exact,two-sided,27.0,1.0,False
T500,CCHIHH-full,CGA,10,Wilcoxon signed-rank,exact,two-sided,0.0,0.001953125,True
T500,CCHIHH-full,IMOMA,10,Wilcoxon signed-rank,exact,two-sided,0.0,0.001953125,True
T500,CCHIHH-full,PPO,10,Wilcoxon signed-rank,exact,two-sided,0.0,0.001953125,True
T500,CCHIHH-full,DSAC-DE,10,Wilcoxon signed-rank,exact,two-sided,0.0,0.001953125,True
T500,CCHIHH-noCC,CCHIHH-noCB,10,Wilcoxon signed-rank,exact,two-sided,0.0,0.001953125,True
T500,CCHIHH-noCC,CCHIHH-noMig,10,Wilcoxon signed-rank,exact,two-sided,0.0,0.001953125,True
T500,CCHIHH-noCC,Gbest-DE,10,Wilcoxon signed-rank,exact,two-sided,0.0,0.001953125,True
T500,CCHIHH-noCC,CGA,10,Wilcoxon signed-rank,exact,two-sided,1.0,0.00390625,True
T500,CCHIHH-noCC,IMOMA,10,Wilcoxon signed-rank,exact,two-sided,2.0,0.005859375,True
T500,CCHIHH-noCC,PPO,10,Wilcoxon signed-rank,exact,two-sided,0.0,0.001953125,True
T500,CCHIHH-noCC,DSAC-DE,10,Wilcoxon signed-rank,exact,two-sided,10.0,0.083984375,False
T500,CCHIHH-noCB,CCHIHH-noMig,10,Wilcoxon signed-rank,exact,two-sided,3.0,0.009765625,True
T500,CCHIHH-noCB,Gbest-DE,10,Wilcoxon signed-rank,exact,two-sided,0.0,0.001953125,True
T500,CCHIHH-noCB,CGA,10,Wilcoxon signed-rank,exact,two-sided,0.0,0.001953125,True
T500,CCHIHH-noCB,IMOMA,10,Wilcoxon signed-rank,exact,two-sided,0.0,0.001953125,True
T500,CCHIHH-noCB,PPO,10,Wilcoxon signed-rank,exact,two-sided,0.0,0.001953125,True
T500,CCHIHH-noCB,DSAC-DE,10,Wilcoxon signed-rank,exact,two-sided,7.0,0.037109375,True
T500,CCHIHH-noMig,Gbest-DE,10,Wilcoxon signed-rank,exact,two-sided,0.0,0.001953125,True
T500,CCHIHH-noMig,CGA,10,Wilcoxon signed-rank,exact,two-sided,13.0,0.16015625,False
T500,CCHIHH-noMig,IMOMA,10,Wilcoxon signed-rank,exact,two-sided,0.0,0.001953125,True
T500,CCHIHH-noMig,PPO,10,Wilcoxon signed-rank,exact,two-sided,0.0,0.001953125,True
T500,CCHIHH-noMig,DSAC-DE,10,Wilcoxon signed-rank,exact,two-sided,17.0,0.322265625,False
T500,Gbest-DE,CGA,10,Wilcoxon signed-rank,exact,two-sided,0.0,0.001953125,True
T500,Gbest-DE,IMOMA,10,Wilcoxon signed-rank,exact,two-sided,0.0,0.001953125,True
T500,Gbest-DE,PPO,10,Wilcoxon signed-rank,exact,two-sided,0.0,0.001953125,True
T500,Gbest-DE,DSAC-DE,10,Wilcoxon signed-rank,exact,two-sided,0.0,0.001953125,True
T500,CGA,IMOMA,10,Wilcoxon signed-rank,exact,two-sided,0.0,0.001953125,True
T500,CGA,PPO,10,Wilcoxon signed-rank,exact,two-sided,0.0,0.001953125,True
T500,CGA,DSAC-DE,10,Wilcoxon signed-rank,exact,two-sided,10.0,0.083984375,False
T500,IMOMA,PPO,10,Wilcoxon signed-rank,exact,two-sided,4.0,0.013671875,True
T500,IMOMA,DSAC-DE,10,Wilcoxon signed-rank,exact,two-sided,10.0,0.083984375,False
